Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__1,64,114,3.2679,14.7795,0.9811,0,0.0512,C,parental,1
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__2,16,66,2.2653,32.7982,0.9885,0,0.0275,C,parental,2
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__3,34,84,3.8288,71.2643,0.9905,0,0.0422,C,parental,3
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__4,92,142,2.0819,90.4095,0.9903,0,0.0232,C,parental,4
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__5,50,100,2.6213,-0.3262,0.9876,0,0.0331,C,parental,5
375,375,F,012424Parental,1,Parental_375C_F_012424Parental__6,75,125,3.28,30.4069,0.9876,0,0.0413,C,parental,6
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__1,4,54,3.3305,42.0576,0.9906,0,0.0364,R,parental,1
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__2,18,68,3.5341,38.5719,0.9783,0,0.0594,R,parental,2
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__3,0,50,2.3782,69.6122,0.948,0,0.0634,R,parental,3
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__4,55,105,2.4118,14.2217,0.9787,0,0.0401,R,parental,4
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__5,63,113,2.3193,49.8919,0.9938,0,0.0205,R,parental,5
375,375,F,012424Parental,1,Parental_375R_F_012424Parental__6,42,92,3.737,0.9959,0.9809,0,0.0589,R,parental,6
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__1,14,64,2.6132,35.8857,0.9874,0,0.0333,C,parental,1
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__2,55,105,2.2336,54.5291,0.9803,0,0.0357,C,parental,2
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__3,61,111,2.3828,108.8697,0.9456,0,0.0651,C,parental,3
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__4,64,114,2.5423,70.5771,0.9833,0,0.0373,C,parental,4
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__5,31,81,2.4973,38.4968,0.9516,0,0.064,C,parental,5
375,375,F,012424Parental,2,Parental_375C_F_012424Parental__6,33,83,2.6453,80.7725,0.9837,0,0.0383,C,parental,6
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__1,26,76,3.6459,38.264,0.9919,0,0.037,R,parental,1
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__2,4,54,3.1048,39.0358,0.9805,0,0.0494,R,parental,2
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__3,29,79,2.9507,16.4963,0.9926,0,0.0286,R,parental,3
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__4,4,54,3.3442,67.1425,0.9908,0,0.0363,R,parental,4
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__5,31,81,2.9736,34.4452,0.9896,0,0.0343,R,parental,5
375,375,F,012424Parental,2,Parental_375R_F_012424Parental__6,22,72,2.6375,31.6614,0.9925,0,0.0258,R,parental,6
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__1,71,121,3.3228,4.7987,0.9838,0,0.0481,C,parental,1
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__2,0,50,2.5828,40.7181,0.9871,0,0.0332,C,parental,2
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__3,23,73,4.0979,56.9223,0.9923,0,0.0406,C,parental,3
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__4,45,95,3.0188,65.4729,0.9977,0,0.0162,C,parental,4
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__5,60,110,2.8957,3.6856,0.9885,0,0.0352,C,parental,5
375,375,F,012424Parental,3,Parental_375C_F_012424Parental__6,60,110,3.0334,56.4386,0.9743,0,0.0556,C,parental,6
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__1,52,102,3.3469,50.849,0.9959,0,0.0241,R,parental,1
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__2,9,59,2.5738,32.8214,0.9874,0,0.0328,R,parental,2
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__3,31,81,2.8348,25.5009,0.991,0,0.0304,R,parental,3
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__4,47,97,2.7938,41.0222,0.9867,0,0.0365,R,parental,4
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__5,66,116,3.1853,24.774,0.9903,0,0.0354,R,parental,5
375,375,F,012424Parental,3,Parental_375R_F_012424Parental__6,45,95,3.1921,11.9049,0.9945,0,0.0268,R,parental,6
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__1,59,109,4.4982,14.5989,0.9519,0,0.1149,C,parental,1
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__2,0,50,3.798,110.1472,0.9764,0,0.0667,C,parental,2
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__3,12,62,3.3311,68.7378,0.9797,0,0.0541,C,parental,3
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__4,50,100,3.2873,119.1913,0.9813,0,0.0512,C,parental,4
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__5,51,101,2.3548,37.4044,0.9752,0,0.0424,C,parental,5
375,375,M,012424Parental,1,Parental_375C_M_012424Parental__6,54,104,3.037,70.1848,0.9812,0,0.0474,C,parental,6
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__1,26,76,3.5791,31.6706,0.9829,0,0.0532,R,parental,1
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__2,81,131,2.6782,48.3831,0.9699,0,0.0534,R,parental,2
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__3,67,117,2.3143,99.8278,0.9607,0,0.0531,R,parental,3
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__4,3,53,3.3743,68.8472,0.9899,0,0.0384,R,parental,4
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__5,5,55,3.6767,88.0048,0.9759,0,0.0653,R,parental,5
375,375,M,012424Parental,1,Parental_375R_M_012424Parental__6,88,138,2.3647,57.9942,0.9737,0,0.0439,R,parental,6
375,375,M,012424Parental,2,Parental_375C_M_012424Parental__1,13,63,2.9963,81.276,0.9494,0,0.0786,C,parental,1
375,375,M,012424Parental,2,Parental_375C_M_012424Parental__2,0,50,3.9929,89.403,0.9893,0,0.0467,C,parental,2
375,375,M,012424Parental,2,Parental_375C_M_012424Parental__3,3,53,3.6715,104.3578,0.9689,0,0.0744,C,parental,3
