Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_6,29,79,3.4065,43.0408,0.9775,0.0,0.0584
Bei11,375AC,M,Day,072924A,3,Bei11_375AC_M_Day_072924A_all,58,108,2.2631,57.2188,0.9912,0.0,0.024
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_1,25,75,2.8904,39.8793,0.9861,0.0,0.0387
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_2,22,72,2.4413,62.3789,0.9759,0.0,0.0433
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_3,20,70,2.5423,37.5124,0.9769,0.0,0.0441
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_4,7,57,2.7095,52.229,0.9890000000000001,0.0,0.0322
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_5,0,50,2.2921,53.0873,0.9435,0.0,0.0639
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_6,48,98,2.2477,67.0388,0.9539,0.0,0.0561
Bei11,375AR,F,Day,072924A,1,Bei11_375AR_F_Day_072924A_all,23,73,2.5479,51.9826,0.9901,0.0,0.0286
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_1,19,69,2.5544,27.374000000000002,0.9866,0.0,0.0335
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_2,8,58,2.2711,66.4462,0.9935,0.0,0.0206
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_3,65,115,3.4819,-16.9072,0.9775,0.0,0.0596
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_4,72,122,2.7311,50.7575,0.9867,0.0,0.0356
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_5,26,76,2.1946,64.2089,0.8917,0.0,0.0884
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_6,35,85,3.4607,30.0741,0.975,0.0,0.0626
Bei11,375AR,F,Day,072924A,2,Bei11_375AR_F_Day_072924A_all,3,53,2.0844,55.9286,0.9925,0.0,0.0204
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_1,50,100,3.4259,11.6291,0.9905,0.0,0.0378
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_2,60,110,3.0298,14.0315,0.9958,0.0,0.0221
Bei11,375AR,F,Day,072924A,3,Bei11_375AR_F_Day_072924A_3,35,85,3.1732,1.2902,0.9943,0.0,0.0271
