Mito,Nuc,Sex,Day,Day2,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_2,27,77,3.4488,31.3152,0.9841,0.0,0.0494
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_3,48,98,2.6998,39.6498,0.9465,0.0,0.0731
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_4,5,55,2.6735,75.9567,0.9727,0.0,0.0506
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_5,0,50,2.5132,75.4286,0.9606,0.0,0.0577
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_6,64,114,3.0512,31.2888,0.8674,0.0,0.1389
Bei23,375AC,M,Day,072924A,2,Bei23_375AC_M_Day_072924A_all,0,50,2.0245,81.726,0.9893,0.0,0.0237
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_1,10,60,1.5419,56.218999999999994,0.9779,0.0,0.0262
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_2,15,65,2.1973,64.7585,0.9734,0.0,0.040999999999999995
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_3,6,56,3.4006,69.5315,0.9819,0.0,0.052000000000000005
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_4,5,55,2.8159,60.4888,0.9856,0.0,0.0383
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_5,2,52,3.0919,97.5992,0.956,0.0,0.0753
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_6,12,62,2.1724,66.2992,0.9644,0.0,0.0473
Bei23,375AC,M,Day,072924A,3,Bei23_375AC_M_Day_072924A_all,5,55,2.3231,72.1485,0.9942,0.0,0.02
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_1,5,55,3.1716,38.0909,0.9838,0.0,0.0459
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_2,22,72,3.3845,49.1656,0.9897,0.0,0.0389
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_3,1,51,2.0205,49.1239,0.9885,0.0,0.0245
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_4,31,81,2.1659,73.9846,0.9789,0.0,0.0359
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_5,2,52,1.8630000000000002,48.4479,0.9763,0.0,0.0328
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_6,30,80,2.9912,46.2,0.9859,0.0,0.0403
Bei23,375AR,F,Day,072924A,1,Bei23_375AR_F_Day_072924A_all,16,66,2.6811,48.0489,0.9976,0.0,0.0147
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_1,4,54,3.5294,54.9497,0.9693,0.0,0.0711
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_2,92,142,2.9079,8.8714,0.9503,0.0,0.0756
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_3,68,118,3.517,5.7873,0.987,0.0,0.0454
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_4,8,58,2.4061,75.5316,0.9839,0.0,0.0347
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_5,3,53,2.1445,65.991,0.9672,0.0,0.0447
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_6,45,95,2.5767,38.9639,0.9794,0.0,0.0421
Bei23,375AR,F,Day,072924A,2,Bei23_375AR_F_Day_072924A_all,7,57,2.3697,62.618,0.9941,0.0,0.0206
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_1,90,140,2.2547,26.1417,0.909,0.0,0.08199999999999999
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_2,6,56,2.8996,52.2001,0.9858,0.0,0.0392
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_3,20,70,2.3191,72.9289,0.9749,0.0,0.042
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_4,7,57,3.1347,68.692,0.9888,0.0,0.0375
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_5,12,62,2.7095,45.7408,0.9901,0.0,0.0305
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_6,0,50,2.9552,52.986999999999995,0.9805,0.0,0.047
Bei23,375AR,F,Day,072924A,3,Bei23_375AR_F_Day_072924A_all,38,88,2.5029,62.909,0.9955,0.0,0.0189
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_1,5,55,3.6445,64.8094,0.9782,0.0,0.0614
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_2,4,54,3.6981,49.7179,0.9825,0.0,0.0556
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_3,49,99,3.6184,24.9301,0.9848,0.0,0.0506
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_4,34,84,3.4135,68.0623,0.983,0.0,0.0506
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_5,12,62,3.917,42.0502,0.9844,0.0,0.0556
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_6,17,67,2.6726,71.0575,0.9444,0.0,0.0739
Bei23,375AR,M,Day,072924A,1,Bei23_375AR_M_Day_072924A_all,8,58,3.2843,59.3275,0.993,0.0,0.031
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_1,84,134,2.3485,42.3334,0.9588,0.0,0.0552
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_2,16,66,3.1932,57.7153,0.9779,0.0,0.0541
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_3,31,81,2.7731,76.8859,0.9768,0.0,0.0482
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_4,1,51,3.082,105.6701,0.9595,0.0,0.0718
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_5,27,77,2.4048,86.5144,0.9309,0.0,0.0749
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_6,4,54,3.0436,66.3197,0.9763,0.0,0.0536
Bei23,375AR,M,Day,072924A,2,Bei23_375AR_M_Day_072924A_all,1,51,2.3312,93.9687,0.9891,0.0,0.0276
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_1,8,58,3.1345,70.078,0.9869,0.0,0.0407
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_2,0,50,1.5865,110.3901,0.875,0.0,0.0697
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_3,6,56,3.8160000000000003,93.863,0.9683,0.0,0.0781
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_4,35,85,2.7972,73.0279,0.9495,0.0,0.0734
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_5,7,57,1.1524,87.0146,0.9161,0.0,0.04
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_6,1,51,2.5927,81.7519,0.965,0.0,0.0559
Bei23,375AR,M,Day,072924A,3,Bei23_375AR_M_Day_072924A_all,8,58,2.3762,89.21600000000001,0.9903,0.0,0.0264
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_1,49,99,1.9222,17.768,0.9302,0.0,0.0602
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_2,13,63,1.0663,63.9232,0.7753,0.0,0.0689
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_3,83,133,0.4867,35.7144,0.971,0.0,0.0095
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_4,52,102,0.6127,61.1081,0.7586,0.0,0.0418
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_5,51,101,0.5004,51.1508,0.8286,0.0,0.0268
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_6,63,113,0.7981,30.8534,0.8895,0.0,0.0325
Bei23,OreAC,F,Day,072924A,1,Bei23_OreAC_F_Day_072924A_all,70,120,0.5063,58.3197,0.9526,0.0,0.0128
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_1,50,100,0.6998,32.5371,0.9632,0.0,0.0155
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_2,78,128,0.9808,21.340999999999998,0.6868,0.0,0.0824
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_3,92,142,0.1712,65.9009,0.539,0.0,0.0212
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_4,90,140,0.266,57.9997,0.7841,0.0,0.0167
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_5,57,107,0.1121,66.6176,0.3624,0.009000000000000001,0.0229
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_6,50,100,0.6356,30.5697,0.9424,0.0,0.0179
Bei23,OreAC,F,Day,072924A,2,Bei23_OreAC_F_Day_072924A_all,84,134,0.3137,53.9648,0.8828,0.0,0.0133
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_1,87,137,1.2919999999999998,2.1077,0.9429,0.0,0.0362
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_2,78,128,0.207,52.4708,0.6854,0.0,0.0174
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_3,92,142,0.3717,54.472,0.7147,0.0,0.0289
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_4,88,138,0.2848,47.5715,0.8211,0.0,0.0157
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_5,48,98,0.4136,57.3905,0.8559,0.0,0.0198
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_6,80,130,0.8755,35.9969,0.9585,0.0,0.0207
Bei23,OreAC,F,Day,072924A,3,Bei23_OreAC_F_Day_072924A_all,87,137,0.4115,50.5347,0.9747,0.0,0.0075
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_1,69,119,3.0348,7.0225,0.9722,0.0,0.057999999999999996
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_2,85,135,3.0305,-6.0158,0.9940000000000001,0.0,0.0264
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_3,85,135,2.1319,28.0383,0.9716,0.0,0.0412
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_4,31,81,2.6015,10.6509,0.9645,0.0,0.0565
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_5,91,141,2.9644,-18.4826,0.9954,0.0,0.0226
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_6,20,70,3.1313,23.1674,0.9882,0.0,0.0385
Bei23,OreAC,M,Day,072924A,1,Bei23_OreAC_M_Day_072924A_all,51,101,2.5834,16.9474,0.9945,0.0,0.0217
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_1,52,102,2.7457,-15.5709,0.9796,0.0,0.0447
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_2,68,118,2.8046,-50.3481,0.9879,0.0,0.0349
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_3,56,106,2.1096,-8.6285,0.9777,0.0,0.036000000000000004
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_4,47,97,1.6889,28.6137,0.968,0.0,0.0348
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_5,92,142,3.9994,-120.0729,0.9638,0.0,0.0878
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_6,77,127,4.2997,-91.4665,0.9896,0.0,0.0495
Bei23,OreAC,M,Day,072924A,2,Bei23_OreAC_M_Day_072924A_all,60,110,2.2946,-8.4433,0.99,0.0,0.0259
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_1,92,142,3.6905,-87.6548,0.9779,0.0,0.0625
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_2,78,128,2.3308,-9.9716,0.9121,0.0,0.0831
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_3,87,137,2.9142,-51.2455,0.981,0.0,0.0458
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_4,92,142,1.0258,36.9777,0.7628,0.0,0.069
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_5,79,129,3.2326,-60.2635,0.9757,0.0,0.0576
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_6,87,137,3.5276,-64.6862,0.9799,0.0,0.057
Bei23,OreAC,M,Day,072924A,3,Bei23_OreAC_M_Day_072924A_all,88,138,2.4772,-21.4045,0.9867,0.0,0.0323
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_1,75,125,1.1277,12.2476,0.96,0.0,0.0261
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_2,54,104,2.2198,15.8133,0.9629,0.0,0.0494
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_3,78,128,2.4658,-0.1151,0.9729,0.0,0.0465
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_4,76,126,3.0245,-16.2506,0.9928,0.0,0.028999999999999998
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_5,58,108,2.1713,33.2747,0.9765,0.0,0.038
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_6,50,100,1.3306,28.53,0.9637,0.0,0.0292
Bei23,OreAR,F,Day,072924A,1,Bei23_OreAR_F_Day_072924A_all,75,125,2.0594,13.2622,0.9916,0.0,0.0213
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_1,92,142,0.41600000000000004,32.3934,0.7968,0.0,0.025
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_2,42,92,1.1036,46.547,0.9603,0.0,0.0254
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_3,87,137,2.3938,-16.9947,0.992,0.0,0.0241
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_4,60,110,2.911,-32.6472,0.9902,0.0,0.0326
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_5,47,97,1.8545,6.6014,0.9659,0.0,0.0395
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_6,85,135,1.8630000000000002,-20.1142,0.987,0.0,0.0241
Bei23,OreAR,F,Day,072924A,2,Bei23_OreAR_F_Day_072924A_all,80,130,1.7897,0.3551,0.9901,0.0,0.0201
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_1,68,118,1.2177,3.5134,0.9499,0.0,0.0318
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_2,79,129,2.0975,-4.8252,0.9717,0.0,0.0405
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_3,87,137,2.8291,-40.3276,0.9776,0.0,0.0484
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_4,25,75,1.3237,43.7544,0.9642,0.0,0.0289
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_5,84,134,2.2909,-24.9617,0.961,0.0,0.0523
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_6,67,117,0.698,23.8213,0.9734,0.0,0.013000000000000001
Bei23,OreAR,F,Day,072924A,3,Bei23_OreAR_F_Day_072924A_all,39,89,0.8978,41.6778,0.9955,0.0,0.0068
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_1,65,115,2.6998,-36.5574,0.9778,0.0,0.046
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_2,41,91,2.8514,28.4158,0.948,0.0,0.076
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_3,16,66,1.6366,39.5176,0.9741,0.0,0.0301
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_4,16,66,2.3945,27.9957,0.9765,0.0,0.0419
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_5,45,95,3.1241,11.6089,0.9723,0.0,0.0596
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_6,7,57,1.6225,31.8289,0.9866,0.0,0.0213
Bei23,OreAR,M,Day,072924A,1,Bei23_OreAR_M_Day_072924A_all,42,92,2.1823,26.4229,0.9896,0.0,0.0252
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_1,37,87,3.4785,4.2895,0.983,0.0,0.0515
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_2,44,94,2.7014,35.874,0.9564,0.0,0.0654
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_3,20,70,2.0387,56.5386,0.9858,0.0,0.0275
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_4,25,75,2.5679,42.3619,0.9779,0.0,0.0436
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_5,25,75,3.4004,40.0367,0.9881,0.0,0.0419
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_6,19,69,2.6639999999999997,50.7295,0.9844,0.0,0.0378
Bei23,OreAR,M,Day,072924A,2,Bei23_OreAR_M_Day_072924A_all,33,83,2.5697,45.775,0.9949,0.0,0.0206
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_1,90,140,2.7482,-32.6684,0.9785,0.0,0.0459
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_2,43,93,2.0664,22.9339,0.9725,0.0,0.0393
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_3,70,120,3.2108,-34.3292,0.9959,0.0,0.0231
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_4,42,92,1.9427,22.3409,0.9798,0.0,0.0314
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_5,55,105,2.7549,6.8079,0.9617,0.0,0.0623
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_6,47,97,2.2885,0.33299999999999996,0.9884,0.0,0.0279
Bei23,OreAR,M,Day,072924A,3,Bei23_OreAR_M_Day_072924A_all,49,99,2.2333,11.0176,0.9955,0.0,0.0168
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_1,37,87,1.8630000000000002,69.7921,0.9596,0.0,0.0434
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_2,84,134,2.8897,27.2186,0.9937,0.0,0.0259
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_3,21,71,2.9410000000000003,52.9209,0.9912,0.0,0.0313
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_4,54,104,2.6869,43.1715,0.9505,0.0,0.0697
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_5,60,110,3.364,43.3288,0.9809,0.0,0.0529
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_6,14,64,2.5058,52.843999999999994,0.9928,0.0,0.024
Bei59,375AC,F,Day,072924A,1,Bei59_375AC_F_Day_072924A_all,25,75,2.3308,63.7141,0.9969,0.0,0.0146
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_1,35,85,1.93,65.125,0.9679,0.0,0.0398
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_2,27,77,2.9871,29.9573,0.9939,0.0,0.0264
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_3,76,126,3.2002,5.0088,0.9739,0.0,0.0592
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_4,0,50,2.2624,93.0195,0.9521,0.0,0.0577
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_5,16,66,2.5535,47.8577,0.9890000000000001,0.0,0.0303
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_6,28,78,2.9930000000000003,16.7209,0.9869,0.0,0.0388
Bei59,375AC,F,Day,072924A,2,Bei59_375AC_F_Day_072924A_all,3,53,1.8673,65.4162,0.9928,0.0,0.0179
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_1,55,105,2.6476,21.4913,0.9882,0.0,0.0326
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_2,36,86,2.6644,36.2203,0.9953,0.0,0.0207
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_3,78,128,3.4535,16.7548,0.9916,0.0,0.0358
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_4,23,73,2.515,49.4394,0.9448,0.0,0.0692
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_5,53,103,3.2123,20.0494,0.9885,0.0,0.039
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_6,12,62,2.4883,48.0174,0.9844,0.0,0.0352
Bei59,375AC,F,Day,072924A,3,Bei59_375AC_F_Day_072924A_all,37,87,2.6062,40.9422,0.9979,0.0,0.0133
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_1,29,79,3.3316,23.1617,0.9847,0.0,0.0468
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_2,0,50,0.7052,40.9914,0.9019,0.0,0.0268
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_3,36,86,3.3930000000000002,11.663,0.9786,0.0,0.0566
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_4,22,72,3.4236,53.2781,0.9726,0.0,0.065
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_5,7,57,2.2117,72.9054,0.9756,0.0,0.0395
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_6,1,51,2.8314,48.983999999999995,0.9746,0.0,0.0516
Bei59,375AC,M,Day,072924A,1,Bei59_375AC_M_Day_072924A_all,12,62,2.1521,54.9336,0.9928,0.0,0.0206
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_1,47,97,3.3709,8.8712,0.9724,0.0,0.0642
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_2,0,50,1.5658,66.7781,0.8859999999999999,0.0,0.065
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_3,22,72,4.6312,10.8589,0.9911,0.0,0.0493
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_4,57,107,2.4161,51.7195,0.9539,0.0,0.0603
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_5,70,120,2.7346,9.5068,0.9728,0.0,0.0517
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_6,14,64,2.6752,55.3163,0.9906,0.0,0.0293
Bei59,375AC,M,Day,072924A,2,Bei59_375AC_M_Day_072924A_all,15,65,2.2442,56.4351,0.9917,0.0,0.0231
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_1,48,98,3.0098,1.5324,0.9684,0.0,0.0616
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_2,2,52,1.942,77.0795,0.9423,0.0,0.0548
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_3,36,86,3.6891,-4.0961,0.9854,0.0,0.0506
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_4,3,53,1.9613,50.8443,0.9704,0.0,0.0387
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_5,30,80,3.9402,3.1845,0.9925,0.0,0.0386
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_6,65,115,4.007,-41.9523,0.9837,0.0,0.0581
Bei59,375AC,M,Day,072924A,3,Bei59_375AC_M_Day_072924A_all,23,73,1.9447,54.6172,0.9923,0.0,0.0192
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_1,11,61,3.0136,96.1033,0.9506,0.0,0.0781
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_2,11,61,1.3707,96.8964,0.9546,0.0,0.0339
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_3,30,80,1.9372,74.4467,0.9844,0.0,0.0275
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_4,46,96,3.1243,63.3914,0.9758,0.0,0.0556
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_5,78,128,2.8867,1.2074,0.9861,0.0,0.0386
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_6,65,115,3.0875,38.6149,0.9755,0.0,0.0552
Bei59,375AR,F,Day,072924A,1,Bei59_375AR_F_Day_072924A_all,92,142,2.1523,77.7641,0.9904,0.0,0.0239
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_1,31,81,2.5508,80.5985,0.9491,0.0,0.0672
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_2,81,131,2.7133,42.291000000000004,0.9836,0.0,0.0395
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_3,26,76,1.6846,48.9352,0.9769,0.0,0.0293
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_4,29,79,2.9621,28.2784,0.9815,0.0,0.0458
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_5,26,76,2.457,31.45,0.9838,0.0,0.0355
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_6,31,81,2.5704,28.3446,0.9835,0.0,0.0375
Bei59,375AR,F,Day,072924A,2,Bei59_375AR_F_Day_072924A_all,30,80,2.52,42.967,0.9936,0.0,0.0227
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_1,18,68,3.3327,65.473,0.9889,0.0,0.0398
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_2,92,142,3.3962,-28.5949,0.9688,0.0,0.069
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_3,16,66,2.1319,55.4703,0.9804,0.0,0.034
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_4,38,88,2.6024,33.4758,0.9866,0.0,0.0341
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_5,38,88,3.3703,7.3863,0.9902,0.0,0.0377
Bei59,375AR,F,Day,072924A,3,Bei59_375AR_F_Day_072924A_6,85,135,3.4461,-49.119,0.9884,0.0,0.042
