Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock,Set_adj,Pos_adj,Y_adj
375,375,F,1,2.1872,parental,1,1,Rotenone,375,2.20929814814815,2.28754854823603,2.26545040008788
375,375,F,1,2.3031,parental,2,1,Rotenone,375,2.20929814814815,2.28754854823603,2.38135040008788
375,375,F,1,2.3474,parental,3,1,Rotenone,375,2.20929814814815,2.28754854823603,2.42565040008788
375,375,F,1,2.5902,parental,4,1,Rotenone,375,2.20929814814815,2.28754854823603,2.66845040008788
375,375,F,1,2.7419,parental,5,1,Rotenone,375,2.20929814814815,2.28754854823603,2.82015040008788
375,375,F,1,2.4779,parental,6,1,Rotenone,375,2.20929814814815,2.28754854823603,2.55615040008788
375,375,F,2,3.2607,parental,1,1,Rotenone,375,2.20929814814815,2.28754854823603,3.33895040008788
375,375,F,2,2.3755,parental,2,1,Rotenone,375,2.20929814814815,2.28754854823603,2.45375040008788
375,375,F,2,2.2385,parental,3,1,Rotenone,375,2.20929814814815,2.28754854823603,2.31675040008788
375,375,F,2,3.7217,parental,4,1,Rotenone,375,2.20929814814815,2.28754854823603,3.79995040008788
375,375,F,2,2.7367,parental,5,1,Rotenone,375,2.20929814814815,2.28754854823603,2.81495040008788
375,375,F,2,2.8046,parental,6,1,Rotenone,375,2.20929814814815,2.28754854823603,2.88285040008788
375,375,F,3,2.4678,parental,1,1,Rotenone,375,2.20929814814815,2.28754854823603,2.54605040008788
375,375,F,3,3.0451,parental,2,1,Rotenone,375,2.20929814814815,2.28754854823603,3.12335040008788
375,375,F,3,2.7371,parental,3,1,Rotenone,375,2.20929814814815,2.28754854823603,2.81535040008788
375,375,F,3,3.0091,parental,4,1,Rotenone,375,2.20929814814815,2.28754854823603,3.08735040008788
375,375,F,3,2.1848,parental,5,1,Rotenone,375,2.20929814814815,2.28754854823603,2.26305040008788
375,375,F,3,3.4954,parental,6,1,Rotenone,375,2.20929814814815,2.28754854823603,3.57365040008788
375,375,F,1,2.8667,parental,1,1,Control,375,2.24363611111111,2.38280975378788,3.00587364267677
375,375,F,1,3.431,parental,2,1,Control,375,2.24363611111111,2.38280975378788,3.57017364267677
375,375,F,1,3.3871,parental,3,1,Control,375,2.24363611111111,2.38280975378788,3.52627364267677
375,375,F,1,2.5355,parental,4,1,Control,375,2.24363611111111,2.38280975378788,2.67467364267677
375,375,F,1,3.2369,parental,5,1,Control,375,2.24363611111111,2.38280975378788,3.37607364267677
375,375,F,1,3.1928,parental,6,1,Control,375,2.24363611111111,2.38280975378788,3.33197364267677
375,375,F,2,3.4956,parental,1,1,Control,375,2.24363611111111,2.38280975378788,3.63477364267677
375,375,F,2,2.4043,parental,2,1,Control,375,2.24363611111111,2.38280975378788,2.54347364267677
375,375,F,2,3.7438,parental,3,1,Control,375,2.24363611111111,2.38280975378788,3.88297364267677
375,375,F,2,3.1171,parental,4,1,Control,375,2.24363611111111,2.38280975378788,3.25627364267677
375,375,F,2,3.9037,parental,5,1,Control,375,2.24363611111111,2.38280975378788,4.04287364267677
375,375,F,2,2.6959,parental,6,1,Control,375,2.24363611111111,2.38280975378788,2.83507364267677
375,375,F,3,2.6303,parental,1,1,Control,375,2.24363611111111,2.38280975378788,2.76947364267677
375,375,F,3,2.8015,parental,2,1,Control,375,2.24363611111111,2.38280975378788,2.94067364267677
375,375,F,3,3.6808,parental,3,1,Control,375,2.24363611111111,2.38280975378788,3.81997364267677
375,375,F,3,2.6089,parental,4,1,Control,375,2.24363611111111,2.38280975378788,2.74807364267677
375,375,F,3,3.7323,parental,5,1,Control,375,2.24363611111111,2.38280975378788,3.87147364267677
375,375,F,3,4.0779,parental,6,1,Control,375,2.24363611111111,2.38280975378788,4.21707364267677
375,375,M,1,3.7937,parental,1,1,Rotenone,375,2.62182314814815,2.80100175109443,3.97287860294629
375,375,M,1,3.5062,parental,2,1,Rotenone,375,2.62182314814815,2.80100175109443,3.68537860294629
375,375,M,1,3.3233,parental,3,1,Rotenone,375,2.62182314814815,2.80100175109443,3.50247860294629
375,375,M,1,4.8897,parental,4,1,Rotenone,375,2.62182314814815,2.80100175109443,5.06887860294629
375,375,M,1,3.0022,parental,5,1,Rotenone,375,2.62182314814815,2.80100175109443,3.18137860294629
375,375,M,1,2.4203,parental,6,1,Rotenone,375,2.62182314814815,2.80100175109443,2.59947860294629
375,375,M,2,3.0544,parental,1,1,Rotenone,375,2.62182314814815,2.80100175109443,3.23357860294629
375,375,M,2,3.7859,parental,2,1,Rotenone,375,2.62182314814815,2.80100175109443,3.96507860294629
375,375,M,2,3.1275,parental,3,1,Rotenone,375,2.62182314814815,2.80100175109443,3.30667860294629
375,375,M,2,4.1821,parental,4,1,Rotenone,375,2.62182314814815,2.80100175109443,4.36127860294629
375,375,M,2,3.2809,parental,5,1,Rotenone,375,2.62182314814815,2.80100175109443,3.46007860294629
375,375,M,2,4.2599,parental,6,1,Rotenone,375,2.62182314814815,2.80100175109443,4.43907860294629
375,375,M,3,2.7126,parental,1,1,Rotenone,375,2.62182314814815,2.80100175109443,2.89177860294629
375,375,M,3,4.1643,parental,2,1,Rotenone,375,2.62182314814815,2.80100175109443,4.34347860294629
375,375,M,3,4.0775,parental,3,1,Rotenone,375,2.62182314814815,2.80100175109443,4.25667860294629
375,375,M,3,2.9975,parental,4,1,Rotenone,375,2.62182314814815,2.80100175109443,3.17667860294629
375,375,M,3,3.7202,parental,5,1,Rotenone,375,2.62182314814815,2.80100175109443,3.89937860294629
