Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__1,13,63,2.7846,42.8382,0.9776,0,0.0476,C,parental,1
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__2,67,117,2.9849,16.9511,0.9796,0,0.0486,C,parental,2
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__3,36,86,3.4067,54.0539,0.9662,0,0.0722,C,parental,3
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__4,4,54,1.8374,58.4517,0.9771,0,0.0317,C,parental,4
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__5,10,60,4.1584,50.8251,0.9771,0,0.0719,C,parental,5
375,375,F,110723Parental,1,Parental_375C_F_110723Parental__6,4,54,2.7086,25.3,0.9429,0,0.0759,C,parental,6
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__1,0,50,2.0547,46.2676,0.9832,0,0.0302,R,parental,1
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__2,48,98,3.1307,20.7733,0.9752,0,0.0564,R,parental,2
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__3,34,84,2.5607,23.3303,0.988,0,0.0318,R,parental,3
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__4,51,101,1.4917,17.1244,0.9337,0,0.0454,R,parental,4
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__5,44,94,2.772,12.3276,0.9786,0,0.0463,R,parental,5
375,375,F,110723Parental,1,Parental_375R_F_110723Parental__6,23,73,1.5205,25.5393,0.9653,0,0.0327,R,parental,6
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__1,37,87,3.8207,5.6799,0.9892,0,0.0448,C,parental,1
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__2,58,108,2.9192,-2.0451,0.9891,0,0.0345,C,parental,2
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__3,35,85,4.2008,30.7066,0.9885,0,0.0511,C,parental,3
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__4,3,53,2.1863,36.7039,0.9903,0,0.0243,C,parental,4
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__5,2,52,2.7949,44.487,0.9839,0,0.0403,C,parental,5
375,375,F,110723Parental,2,Parental_375C_F_110723Parental__6,5,55,2.8942,43.8105,0.9469,0,0.078,C,parental,6
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__1,13,63,2.8066,36.889,0.9812,0,0.0438,R,parental,1
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__2,10,60,2.5114,56.1697,0.9797,0,0.0408,R,parental,2
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__3,10,60,2.9414,50.6275,0.9935,0,0.0267,R,parental,3
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__4,43,93,1.6184,18.9242,0.955,0,0.0399,R,parental,4
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__5,14,64,3.6211,42.9895,0.9851,0,0.0502,R,parental,5
375,375,F,110723Parental,2,Parental_375R_F_110723Parental__6,42,92,3.0755,27.8038,0.9814,0,0.0478,R,parental,6
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__1,69,119,2.7277,34.268,0.9727,0,0.0517,C,parental,1
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__2,76,126,2.7403,54.8981,0.9899,0,0.0312,C,parental,2
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__3,20,70,2.2819,43.1218,0.9725,0,0.0434,C,parental,3
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__4,23,73,2.507,28.0897,0.9858,0,0.0339,C,parental,4
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__5,33,83,3.7271,38.839,0.9697,0,0.0745,C,parental,5
375,375,F,110723Parental,3,Parental_375C_F_110723Parental__6,47,97,3.1464,34.1077,0.8863,0,0.1305,C,parental,6
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__1,57,107,3.5032,-18.9798,0.9935,0,0.0318,R,parental,1
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__2,63,113,2.846,35.9181,0.9772,0,0.049,R,parental,2
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__3,68,118,3.4963,20.3097,0.9969,0,0.0217,R,parental,3
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__4,59,109,1.9143,39.9487,0.9566,0,0.0463,R,parental,4
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__5,13,63,2.624,43.0449,0.9749,0,0.0476,R,parental,5
375,375,F,110723Parental,3,Parental_375R_F_110723Parental__6,18,68,3.4389,51.9443,0.988,0,0.0427,R,parental,6
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__1,35,85,4.216,33.068,0.9832,0,0.0622,C,parental,1
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__2,45,95,3.7411,42.8486,0.9617,0,0.0847,C,parental,2
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__3,42,92,2.7119,72.9537,0.9523,0,0.0689,C,parental,3
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__4,15,65,2.6098,72.6627,0.9595,0,0.0608,C,parental,4
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__5,46,96,3.5509,54.8544,0.9819,0,0.0544,C,parental,5
375,375,M,110723Parental,1,Parental_375C_M_110723Parental__6,1,51,3.2751,63.391,0.9617,0,0.0741,C,parental,6
375,375,M,110723Parental,1,Parental_375R_M_110723Parental__1,19,69,4.6103,13.9757,0.9839,0,0.0665,R,parental,1
375,375,M,110723Parental,1,Parental_375R_M_110723Parental__2,42,92,3.2974,49.9914,0.9769,0,0.0572,R,parental,2
375,375,M,110723Parental,1,Parental_375R_M_110723Parental__3,0,50,3.3979,128.8037,0.9762,0,0.0599,R,parental,3
