Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc,Set_adj,Pos_adj,Total_treat,Y_adj,Larval_density
36B,5,Control,2,11.9833333333333,B,60,Bei11_375,Bei11,375,11.1182279598313,10.9056854257238,82.1832669322709,11.7707907992258,0.730075625363584
41A,1,Control,2,10.0833333333333,A,12,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,9.87079079922575,0.146015125072717
41A,3,Control,2,10.9251968503937,A,127,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.7126543162862,1.54532674035292
41A,5,Control,2,11.0952380952381,A,126,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.8826955611306,1.53315881326353
41B,1,Control,2,11.5485436893204,B,103,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,11.3360011552129,1.25329649020749
41B,3,Control,2,9.98484848484848,B,33,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,9.77230595074093,0.401541593949971
41B,5,Control,2,11.1421052631579,B,95,sm21_Ore,sm21,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.9295627290504,1.15595307349234
42A,1,Control,2,10.3809523809524,A,84,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.1684098468449,1.02210587550902
42A,3,Control,2,9.88983050847458,A,59,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,9.67728797436703,0.71790769827419
42A,5,Control,2,10.1326530612245,A,49,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,9.92011052711695,0.59622842738026
42B,1,Control,2,10.2666666666667,B,60,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.0541241325592,0.730075625363584
42B,3,Control,2,10.7884615384615,B,104,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.575919004354,1.26546441729688
42B,5,Control,2,10.7666666666667,B,90,yak_Ore,yak,Ore,11.1182279598313,10.9056854257238,82.1832669322709,10.5541241325592,1.09511343804538
45A,1,Control,2,10.5461538461538,A,65,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,10.3336113120463,0.790915260810549
45A,3,Control,2,11.4310344827586,A,116,sm21_375,sm21,375,11.1182279598313,10.9056854257238,82.1832669322709,11.2184919486511,1.41147954236959
