Stock,Vial,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,Treatment
34A,5,0,0,0,1,11,57,27,Rotenone
34B,1,0,0,0,1,25,29,24,Rotenone
34B,3,0,0,0,1,22,37,20,Rotenone
34B,5,0,0,0,1,10,39,16,Rotenone
36A,1,0,0,0,0,29,39,15,Rotenone
36A,3,0,0,0,0,33,28,21,Rotenone
36A,5,0,0,0,4,19,51,27,Rotenone
36B,1,0,0,0,1,15,21,60,Rotenone
36B,3,0,0,0,0,21,25,13,Rotenone
36B,5,0,0,0,0,10,39,20,Rotenone
41A,1,0,0,0,1,1,3,1,Rotenone
41A,3,0,0,0,12,16,18,12,Rotenone
41A,5,0,0,0,10,21,29,28,Rotenone
41B,1,0,0,0,8,20,13,5,Rotenone
41B,3,0,0,0,6,21,24,14,Rotenone
41B,5,0,0,0,7,17,5,4,Rotenone
42A,1,0,0,0,2,15,19,13,Rotenone
42A,3,0,0,0,2,10,23,10,Rotenone
42A,5,0,0,0,1,18,18,17,Rotenone
42B,1,0,0,0,3,14,7,2,Rotenone
42B,3,0,0,0,4,35,17,6,Rotenone
42B,5,0,0,0,4,25,12,5,Rotenone
45A,1,0,0,0,0,6,25,17,Rotenone
45A,3,0,0,0,0,1,9,14,Rotenone
45A,5,0,0,0,0,3,7,8,Rotenone
45B,1,0,0,0,2,11,29,21,Rotenone
45B,3,0,0,0,0,18,49,21,Rotenone
45B,5,0,0,0,0,13,29,23,Rotenone
46A,1,0,0,0,0,8,31,40,Rotenone
46A,3,0,0,0,0,21,26,26,Rotenone
46A,5,0,0,0,0,6,10,16,Rotenone
46B,1,0,0,0,0,7,13,49,Rotenone
46B,3,0,0,0,0,3,11,21,Rotenone
46B,5,0,0,0,0,8,19,39,Rotenone
Ore,1,0,0,0,0,60,36,21,Rotenone
Ore,3,0,0,0,0,50,41,27,Rotenone
Ore,5,0,0,0,0,37,58,40,Rotenone
375,1,0,0,0,2,0,0,0,Rotenone
375,3,0,0,0,0,4,5,4,Rotenone
375,5,0,0,0,0,4,24,31,Rotenone
10A,1,0,0,0,1,30,17,19,Rotenone
10A,3,0,0,0,0,25,62,24,Rotenone
10A,5,0,0,0,1,22,22,29,Rotenone
