Stock,Vial,1/11,1/12,1/13,1/14,1/15,1/16,1/17,Treatment
25A,1,0,0,6,20,15,21,15,Control
25A,2,0,0,1,32,26,13,10,Control
25A,3,0,0,1,21,18,18,13,Control
25B,1,0,0,2,35,44,17,8,Control
25B,2,0,0,2,45,30,144,14,Control
25B,3,0,0,1,47,33,14,14,Control
39A,1,0,0,0,1,55,18,14,Control
39A,2,0,0,0,5,28,25,22,Control
39A,3,0,0,0,5,44,23,16,Control
39B,1,0,0,15,11,8,4,9,Control
39B,2,0,0,11,18,14,12,5,Control
39B,3,0,0,12,11,6,4,2,Control
35A,1,0,0,2,16,17,18,22,Control
35A,2,0,0,0,12,21,18,12,Control
35A,3,0,0,0,7,24,18,8,Control
35B,1,0,0,0,19,27,25,14,Control
35B,2,0,0,1,7,43,17,9,Control
35B,3,0,0,2,13,11,24,6,Control
43A,1,0,0,0,5,13,34,31,Control
43A,2,0,0,0,8,19,36,28,Control
43A,3,0,0,0,8,32,25,19,Control
43B,1,0,0,0,0,5,24,22,Control
43B,2,0,0,0,1,2,20,34,Control
43B,3,0,0,0,1,6,22,34,Control
41A,1,0,0,2,48,22,23,13,Control
41A,2,0,0,1,53,23,20,6,Control
41A,3,0,0,2,44,21,19,12,Control
42A,1,0,0,0,6,38,17,12,Control
42A,2,0,0,5,10,37,14,15,Control
42A,3,0,0,1,12,34,19,17,Control
45A,1,0,0,0,9,26,16,16,Control
45A,2,0,0,0,1,11,23,13,Control
45A,3,0,0,0,2,28,29,24,Control
46A,1,0,0,0,0,1,12,41,Control
46A,2,0,0,0,0,0,20,39,Control
46A,3,0,0,0,0,0,10,41,Control
Ore,1,0,0,3,16,18,13,5,Control
Ore,2,0,0,0,16,16,7,2,Control
Ore,3,0,0,5,9,9,7,7,Control
375,1,0,0,0,0,3,18,23,Control
375,2,0,0,0,0,6,24,29,Control
375,3,0,0,0,0,3,16,33,Control
25A,1,0,0,1,24,37,13,12,Rotenone
25A,2,0,0,2,18,25,14,17,Rotenone
25A,3,0,0,0,25,21,17,14,Rotenone
25B,1,0,0,0,21,44,19,13,Rotenone
25B,2,0,0,0,22,41,16,11,Rotenone
25B,3,0,0,0,34,29,8,2,Rotenone
39A,1,0,0,0,4,23,43,24,Rotenone
39A,2,0,0,0,1,35,43,11,Rotenone
39A,3,0,0,0,2,53,24,18,Rotenone
39B,1,0,0,5,37,19,9,8,Rotenone
39B,2,0,0,10,1,5,3,3,Rotenone
39B,3,0,0,8,26,21,11,4,Rotenone
35A,1,0,0,0,5,13,21,17,Rotenone
35A,2,0,0,0,3,15,19,25,Rotenone
35A,3,0,0,0,5,13,20,14,Rotenone
35B,1,0,0,0,8,10,13,5,Rotenone
35B,2,0,0,1,7,13,19,15,Rotenone
35B,3,0,0,0,6,16,7,6,Rotenone
43A,1,0,0,0,3,19,39,21,Rotenone
43A,2,0,0,0,4,19,28,20,Rotenone
43A,3,0,0,0,4,25,30,34,Rotenone
43B,1,0,0,0,0,14,40,28,Rotenone
43B,2,0,0,0,1,36,30,17,Rotenone
43B,3,0,0,0,1,50,25,16,Rotenone
41A,1,0,0,1,25,37,22,17,Rotenone
41A,2,0,0,0,4,50,40,14,Rotenone
41A,3,0,0,0,12,43,22,15,Rotenone
42A,1,0,0,0,5,7,14,15,Rotenone
42A,2,0,0,0,4,15,12,5,Rotenone
42A,3,0,0,0,7,13,7,6,Rotenone
45A,1,0,0,0,0,22,28,25,Rotenone
45A,2,0,0,0,1,24,25,22,Rotenone
45A,3,0,0,0,2,20,21,16,Rotenone
46A,1,0,0,0,0,14,20,20,Rotenone
46A,2,0,0,0,0,5,37,21,Rotenone
46A,3,0,0,0,0,8,26,16,Rotenone
Ore,1,0,0,0,10,4,5,4,Rotenone
Ore,2,0,0,0,14,12,6,4,Rotenone
Ore,3,0,0,1,8,11,10,7,Rotenone
375,1,0,0,1,0,11,40,28,Rotenone
375,2,0,0,0,0,3,40,34,Rotenone
375,3,0,0,0,0,7,33,30,Rotenone
