Stock,Vial,day7,day8,day9,day10,day11,day12,day13,Treatment
6A,1,0,0,1,32,24,17,15,Control
6A,3,0,0,0,0,3,21,22,Control
6A,5,0,0,0,15,27,23,10,Control
6B,1,0,0,0,20,5,2,8,Control
6B,3,0,0,0,17,21,23,12,Control
6B,5,0,0,1,23,20,7,5,Control
15A,1,0,0,0,6,22,7,18,Control
15A,3,0,0,0,0,8,6,16,Control
15A,5,0,0,0,5,21,15,11,Control
15B,1,0,0,0,11,43,18,15,Control
15B,3,0,0,0,11,40,12,13,Control
15B,5,0,0,0,13,34,15,6,Control
27A,1,0,0,0,21,49,32,20,Control
27A,3,0,0,0,15,31,28,18,Control
27A,5,0,0,0,10,45,30,16,Control
27B,1,0,0,0,33,45,19,4,Control
27B,3,0,0,1,0,31,44,30,Control
27B,5,0,0,1,6,28,21,18,Control
37A,1,0,0,0,2,11,28,14,Control
37A,3,0,0,0,12,19,11,19,Control
37A,5,0,0,0,4,14,25,30,Control
37B,1,0,0,1,19,23,5,11,Control
37B,3,0,0,0,11,22,8,7,Control
37B,5,0,0,0,4,10,7,12,Control
41A,1,0,0,2,18,18,14,13,Control
41A,3,0,0,0,4,12,6,25,Control
41A,5,0,0,4,31,25,15,17,Control
42A,1,0,0,0,4,2,11,21,Control
42A,3,0,0,1,0,5,9,31,Control
42A,5,0,0,4,19,19,7,27,Control
45A,1,0,0,0,9,17,12,19,Control
45A,3,0,0,0,10,9,14,19,Control
45A,5,0,0,0,7,27,6,15,Control
46A,1,0,0,0,1,40,20,14,Control
46A,3,0,0,0,10,21,14,28,Control
46A,5,0,0,0,8,18,16,31,Control
Ore,1,0,0,6,15,17,7,6,Control
Ore,3,0,0,0,9,3,1,0,Control
Ore,5,0,0,5,19,9,7,2,Control
375,1,0,0,0,6,33,8,3,Control
375,3,0,0,0,0,2,1,0,Control
375,5,0,0,0,0,32,13,9,Control
5B,1,0,0,0,7,11,7,7,Control
5B,3,0,0,0,1,1,0,0,Control
5B,5,0,0,1,3,7,2,1,Control
13A,1,0,0,0,6,12,22,15,Control
13A,3,0,0,0,0,22,20,14,Control
13A,5,0,0,0,2,10,12,16,Control
6A,1,0,0,0,3,32,33,32,Rotenone
6A,3,0,0,0,24,32,31,23,Rotenone
6A,5,0,0,0,3,30,27,17,Rotenone
6B,1,0,0,0,24,8,2,10,Rotenone
6B,3,0,0,0,8,28,18,20,Rotenone
6B,5,0,0,0,39,52,21,19,Rotenone
15A,1,0,0,0,4,35,14,16,Rotenone
15A,3,0,0,0,0,16,15,15,Rotenone
15A,5,0,0,0,0,3,13,13,Rotenone
15B,1,0,0,0,11,39,11,11,Rotenone
15B,3,0,0,0,5,38,27,8,Rotenone
15B,5,0,0,0,1,16,23,23,Rotenone
27A,1,0,0,0,36,49,9,6,Rotenone
27A,3,0,0,0,11,4,5,16,Rotenone
27A,5,0,0,0,26,19,2,9,Rotenone
27B,1,0,0,1,22,11,6,13,Rotenone
27B,3,0,0,0,29,20,12,15,Rotenone
27B,5,0,0,0,25,43,14,2,Rotenone
37A,1,0,0,0,10,19,17,7,Rotenone
37A,3,0,0,0,3,10,38,25,Rotenone
37A,5,0,0,0,7,38,17,12,Rotenone
37B,1,0,0,0,27,10,13,11,Rotenone
37B,3,0,0,0,4,25,8,14,Rotenone
37B,5,0,0,0,21,15,8,16,Rotenone
41A,1,0,0,1,34,22,18,8,Rotenone
41A,3,0,0,0,29,30,27,7,Rotenone
41A,5,0,0,1,23,14,9,17,Rotenone
42A,1,0,0,0,19,35,24,21,Rotenone
42A,3,0,0,0,5,18,11,12,Rotenone
42A,5,0,0,0,3,13,8,12,Rotenone
45A,1,0,0,0,1,29,26,11,Rotenone
45A,3,0,0,1,5,25,16,20,Rotenone
45A,5,0,0,0,7,26,22,17,Rotenone
46A,1,0,0,0,3,21,19,31,Rotenone
46A,3,0,0,0,5,20,14,33,Rotenone
46A,5,0,0,0,7,27,17,23,Rotenone
Ore,1,0,0,1,18,4,0,1,Rotenone
Ore,3,0,0,1,14,8,2,2,Rotenone
Ore,5,0,0,0,18,10,9,3,Rotenone
375,1,0,0,0,0,2,18,36,Rotenone
375,3,0,0,0,0,2,18,26,Rotenone
375,5,0,0,0,2,12,6,9,Rotenone
5B,1,0,0,0,4,7,1,1,Rotenone
5B,3,0,0,0,1,10,5,1,Rotenone
5B,5,0,0,0,1,1,2,0,Rotenone
13A,1,0,0,0,10,16,12,14,Rotenone
13A,3,0,0,0,7,20,23,17,Rotenone
13A,5,0,0,0,6,19,21,19,Rotenone
