Stock,Vial,7/18,7/19,7/20,7/21,7/22,7/23,7/24,Treatment
3A,1,0,0,0,2,3,0,0,Control
3A,3,0,0,0,18,4,3,1,Control
3A,5,0,0,1,24,7,12,7,Control
5A,1,0,0,0,3,3,1,0,Control
5A,3,0,0,0,40,22,13,3,Control
5A,5,0,0,3,46,21,6,7,Control
21A,1,0,0,0,4,5,1,1,Control
21A,3,0,0,0,8,3,6,0,Control
21A,5,0,0,0,12,17,31,12,Control
22A,1,0,0,0,1,10,14,7,Control
22A,3,0,0,0,4,13,23,24,Control
22A,5,0,0,0,4,10,6,6,Control
41A,1,0,0,0,19,30,25,3,Control
41A,3,0,0,0,18,21,2,3,Control
41A,5,0,0,0,22,33,6,7,Control
42A,1,0,0,0,12,14,4,5,Control
42A,3,0,0,0,9,24,3,2,Control
42A,5,0,0,0,15,21,1,0,Control
12A,1,0,0,0,0,7,40,30,Control
12A,3,0,0,0,2,27,47,7,Control
12A,5,0,0,0,0,5,3,23,Control
14A,1,0,0,0,0,25,40,18,Control
14A,3,0,0,0,2,32,21,26,Control
14A,5,0,0,0,2,42,36,5,Control
31A,1,0,0,0,0,47,12,0,Control
31A,3,0,0,0,0,31,34,3,Control
31A,5,0,0,0,0,24,42,4,Control
32A,1,0,0,0,6,19,13,74,Control
32A,3,0,0,0,1,20,17,10,Control
32A,5,0,0,0,0,6,24,10,Control
45A,1,0,0,0,2,40,14,9,Control
45A,3,0,0,0,3,44,17,15,Control
45A,5,0,0,0,4,36,20,9,Control
46A,1,0,0,0,5,25,27,27,Control
46A,3,0,0,0,4,45,20,9,Control
46A,5,0,0,0,4,27,16,10,Control
3B,1,0,0,1,32,35,17,11,Control
3B,3,0,0,0,11,6,1,12,Control
3B,5,0,0,0,1,16,28,0,Control
5B,1,0,0,0,1,7,0,0,Control
5B,3,0,0,1,14,6,0,1,Control
5B,5,0,0,0,3,7,1,0,Control
21B,1,0,0,0,13,8,0,5,Control
21B,3,0,0,0,13,4,1,0,Control
21B,5,0,0,0,12,5,0,6,Control
22B,1,0,0,0,24,34,6,6,Control
22B,3,0,0,0,35,21,7,3,Control
22B,5,0,0,0,27,37,10,6,Control
41B,1,0,0,1,28,32,16,3,Control
41B,3,0,0,0,38,34,9,6,Control
41B,5,0,0,2,34,23,15,9,Control
42B,1,0,0,0,8,17,2,0,Control
42B,3,0,0,0,9,20,3,8,Control
42B,5,0,0,0,21,23,3,0,Control
12B,1,0,0,0,0,18,42,16,Control
12B,3,0,0,0,3,26,20,16,Control
12B,5,0,0,0,10,29,4,6,Control
14B,1,0,0,0,7,17,6,11,Control
14B,3,0,0,0,6,22,11,11,Control
14B,5,0,0,0,8,24,12,9,Control
31B,1,0,0,0,8,39,21,2,Control
31B,3,0,0,0,1,31,8,12,Control
31B,5,0,0,0,0,49,13,9,Control
32B,1,0,0,0,8,9,20,17,Control
32B,3,0,0,0,3,13,12,7,Control
32B,5,0,0,0,0,15,20,13,Control
45B,1,0,0,0,0,13,20,13,Control
45B,3,0,0,0,0,13,8,13,Control
45B,5,0,0,0,0,14,14,15,Control
46B,1,0,0,0,0,1,0,43,Control
46B,3,0,0,0,0,27,25,19,Control
46B,5,0,0,0,0,17,37,13,Control
Ore,1,0,0,0,12,22,23,3,Control
Ore,3,0,0,0,15,32,14,6,Control
Ore,5,0,0,0,9,27,12,13,Control
375,1,0,0,0,1,46,29,10,Control
375,3,0,0,0,2,34,26,10,Control
375,5,0,0,0,1,40,40,7,Control
Ore,1,0,0,0,0,12,15,11,Rotenone
Ore,3,0,0,0,0,16,18,12,Rotenone
Ore,5,0,0,0,0,40,21,7,Rotenone
375,1,0,0,0,0,14,33,4,Rotenone
375,3,0,0,0,0,4,32,16,Rotenone
375,5,0,0,0,0,4,54,15,Rotenone
3A,1,0,0,1,3,12,5,5,Rotenone
3A,3,0,0,0,4,15,6,4,Rotenone
3A,5,0,0,0,1,12,3,0,Rotenone
5A,1,0,0,0,1,38,10,2,Rotenone
5A,3,0,0,0,0,20,28,2,Rotenone
5A,5,0,0,1,1,42,21,10,Rotenone
21A,1,0,0,0,1,29,19,7,Rotenone
21A,3,0,0,0,3,17,7,4,Rotenone
21A,5,0,0,0,0,18,15,19,Rotenone
22A,1,0,0,0,0,5,8,1,Rotenone
22A,3,0,0,0,2,10,15,4,Rotenone
22A,5,0,0,0,0,17,2,4,Rotenone
41A,1,0,0,0,0,19,15,15,Rotenone
41A,3,0,0,0,0,35,19,5,Rotenone
41A,5,0,0,0,0,15,16,13,Rotenone
42A,1,0,0,0,1,9,5,3,Rotenone
42A,3,0,0,0,0,17,11,5,Rotenone
42A,5,0,0,0,0,6,3,3,Rotenone
12A,1,0,0,0,0,20,33,28,Rotenone
12A,3,0,0,0,0,12,17,9,Rotenone
12A,5,0,0,0,0,9,16,16,Rotenone
14A,1,0,0,0,0,12,36,16,Rotenone
14A,3,0,0,0,1,15,36,4,Rotenone
14A,5,0,0,0,0,7,30,14,Rotenone
31A,1,0,0,0,0,0,28,21,Rotenone
31A,3,0,0,0,0,5,30,14,Rotenone
31A,5,0,0,0,0,6,31,10,Rotenone
32A,1,0,0,0,1,9,43,20,Rotenone
32A,3,0,0,0,1,18,13,14,Rotenone
