Stock,Vial,day7,day8,day9,day10,day11,day12,day13,Treatment
8A,1,0,0,1,0,0,0,1,Control
8A,3,0,0,0,0,0,0,0,Control
8A,5,0,0,0,0,0,0,0,Control
8B,1,0,0,7,24,25,15,20,Control
8B,3,0,0,1,16,14,16,7,Control
8B,5,0,0,2,15,32,23,22,Control
17A,1,0,0,7,20,16,14,9,Control
17A,3,0,0,1,7,6,0,3,Control
17A,5,0,0,2,14,18,16,12,Control
17B,1,0,0,1,9,10,3,1,Control
17B,3,0,0,6,16,13,9,10,Control
17B,5,0,0,0,12,13,3,5,Control
28A,1,0,0,15,5,4,3,2,Control
28A,3,0,0,22,9,6,9,10,Control
28A,5,0,0,16,1,0,5,0,Control
28B,1,0,0,18,17,23,10,6,Control
28B,3,0,0,8,42,25,11,10,Control
28B,5,0,0,10,19,33,15,8,Control
38A,1,0,0,0,6,26,22,17,Control
38A,3,0,0,0,12,27,23,17,Control
38A,5,0,0,0,9,27,17,24,Control
38B,1,0,0,0,14,37,34,32,Control
38B,3,0,0,2,28,38,46,14,Control
38B,5,0,0,2,9,24,32,21,Control
41A,1,0,0,17,26,1,2,1,Control
41A,3,0,0,18,13,7,4,6,Control
41A,5,0,0,23,20,19,12,6,Control
42A,1,0,0,4,1,0,0,0,Control
42A,3,0,0,4,4,0,0,0,Control
42A,5,0,0,9,5,3,0,0,Control
45A,1,0,0,0,25,26,24,23,Control
45A,3,0,0,5,25,27,27,10,Control
45A,5,0,0,5,19,18,21,17,Control
46A,1,0,0,0,5,43,26,16,Control
46A,3,0,0,0,19,34,19,12,Control
46A,5,0,0,0,23,45,10,18,Control
Ore,1,0,0,0,23,32,19,15,Control
Ore,3,0,0,0,7,34,38,31,Control
Ore,5,0,0,2,43,42,17,7,Control
375,1,0,0,0,7,27,11,8,Control
375,3,0,0,0,1,30,15,10,Control
375,5,0,0,0,16,34,16,19,Control
5B,1,0,0,1,0,18,28,20,Control
5B,3,0,0,2,4,32,20,2,Control
5B,5,0,0,2,3,14,11,4,Control
8A,1,0,0,0,0,0,0,0,Rotenone
8A,3,0,0,7,2,2,1,0,Rotenone
8A,5,0,0,2,3,8,6,0,Rotenone
8B,1,0,0,3,11,13,14,11,Rotenone
8B,3,0,0,5,11,18,12,8,Rotenone
8B,5,0,0,3,7,19,21,16,Rotenone
17A,1,0,0,1,21,15,15,20,Rotenone
17A,3,0,0,0,7,21,20,12,Rotenone
17A,5,0,0,1,8,21,11,11,Rotenone
17B,1,0,0,0,11,9,9,18,Rotenone
17B,3,0,0,3,8,8,4,0,Rotenone
17B,5,0,0,0,12,17,7,15,Rotenone
28A,1,0,0,6,9,0,0,0,Rotenone
28A,3,0,0,7,13,23,14,13,Rotenone
28A,5,0,0,0,9,13,10,14,Rotenone
28B,1,0,0,2,19,18,17,5,Rotenone
28B,3,0,0,4,19,22,18,15,Rotenone
28B,5,0,0,3,27,25,17,20,Rotenone
38A,1,0,0,0,2,26,16,19,Rotenone
38A,3,0,0,0,15,15,14,13,Rotenone
38A,5,0,0,0,1,18,12,18,Rotenone
38B,1,0,0,0,8,31,14,12,Rotenone
38B,3,0,0,0,6,27,26,25,Rotenone
38B,5,0,0,0,12,26,20,22,Rotenone
41A,1,0,0,5,40,5,4,1,Rotenone
41A,3,0,0,3,21,22,21,16,Rotenone
41A,5,0,0,2,27,36,22,15,Rotenone
42A,1,0,0,3,24,6,3,1,Rotenone
42A,3,0,0,0,14,2,0,0,Rotenone
42A,5,0,0,0,0,0,0,0,Rotenone
45A,1,0,0,0,7,27,28,18,Rotenone
45A,3,0,0,0,6,27,13,23,Rotenone
45A,5,0,0,0,12,29,14,11,Rotenone
46A,1,0,0,0,0,6,17,23,Rotenone
46A,3,0,0,0,3,6,16,39,Rotenone
46A,5,0,0,0,0,0,13,37,Rotenone
Ore,1,0,0,0,13,30,17,5,Rotenone
Ore,3,0,0,0,19,46,10,2,Rotenone
Ore,5,0,0,0,24,43,6,3,Rotenone
375,1,0,0,0,13,22,13,12,Rotenone
375,3,0,0,0,1,28,21,10,Rotenone
375,5,0,0,0,4,16,21,16,Rotenone
5B,1,0,0,0,0,4,7,12,Rotenone
5B,3,0,0,0,7,11,7,4,Rotenone
5B,5,0,0,0,2,16,8,7,Rotenone
