"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0299601676603838
"F","375","Control",0.0371653040748882
"F","375","Control",0.0317119052900827
"F","375","Control",0.0373340022579978
"F","375","Control",0.0294613582725426
"F","375","Control",0.0384871922279183
"F","375","Control",0.0353125304903179
"F","375","Control",0.0258965150492556
"F","375","Control",0.0343838981325048
"F","375","Control",0.0411605651143067
"F","375","Control",0.0383409187953951
"F","375","Control",0.0348551024102741
"F","375","Control",0.0401249968391223
"F","375","Control",0.0404275372587672
"F","375","Control",0.0322835434953812
"F","375","Control",0.0353485850493984
"F","375","Control",0.0351107928263522
"F","375","Control",0.0316126272755393
"F","375","Control",0.0364007707964202
"F","375","Control",0.0339462161590343
"F","375","Control",0.038483887235643
"F","375","Control",0.04045118212655
"F","375","Control",0.0339031363380834
"F","375","Control",0.0329464822307974
"F","375","Control",0.0400314474548774
"F","375","Control",0.0361563560456642
"F","375","Control",0.0330920544094008
"F","375","Control",0.0274746386931969
"F","375","Control",0.0357354631190001
"F","375","Control",0.0268230100130461
"F","375","Control",0.0340755419199625
"F","375","Control",0.0387903986871343
"F","375","Control",0.0354270565221227
"F","375","Control",0.0387468703683339
"F","375","Control",0.0279312673887306
"F","375","Control",0.0341270193818515
"F","375","Control",0.0357563192866698
"F","375","Control",0.0398116250985582
"F","375","Control",0.03193334436216
"F","375","Control",0.0328061220529676
"F","375","Control",0.0313206259818466
"F","375","Control",0.031491306222
"F","375","Control",0.0364661784637963
"F","375","Control",0.036607286442878
"F","375","Control",0.0377587645571544
"F","375","Control",0.0300857281612182
"F","375","Control",0.0332747161847468
"F","375","Control",0.0299223039496376
"F","375","Control",0.0248081642161486
"F","375","Control",0.0394062028295548
"F","375","Control",0.0336369428082695
"F","375","Control",0.0269855828443531
"F","375","Control",0.0406079475099874
"F","375","Control",0.0395387615143102
"F","375","Control",0.034912685482013
"F","375","Control",0.0397045233688339
"F","375","Control",0.0335208580591631
"F","375","Control",0.0324687823234679
"F","375","Control",0.0367736982655077
"F","375","Control",0.0370644294627135
"F","375","Control",0.0312233320718745
"F","375","Control",0.0342167200296262
"F","375","Control",0.027842026967917
"F","375","Control",0.0303384998327383
"F","375","Control",0.0334188043244319
"F","375","Control",0.0282514357839417
"F","375","Control",0.0301651694158237
"F","375","Control",0.0265723615540425
"F","375","Control",0.0281999422018184
"F","375","Control",0.0257239068391967
"F","375","Control",0.0377783858667661
"F","375","Control",0.0351567350198686
"F","375","Control",0.0376440972918648
"F","375","Control",0.0361801352761357
"F","375","Control",0.034507830791902
"F","375","Control",0.0388309003841801
"F","375","Control",0.036077105189848
"F","375","Control",0.0417698404289807
"F","375","Control",0.0287383826985881
"F","375","Control",0.0431617241473136
"F","375","Control",0.0435722561452514
"F","375","Control",0.0267572070099636
"F","375","Control",0.0363285110787225
"F","375","Control",0.0346570410375275
"F","375","Control",0.0331648826909037
"F","375","Control",0.0279121092973548
"F","375","Control",0.0312216275427018
"F","375","Control",0.0335483064624914
"F","375","Control",0.034097746484476
"F","375","Control",0.0404123172050742
"F","375","Control",0.0377816803178476
"F","375","Control",0.0374152223638979
"F","375","Control",0.0357415361345486
"F","375","Control",0.0303822647374401
"F","375","Control",0.0400901549522476
"F","375","Control",0.0335529842643852
