"Trait","Sex","rho","S","df","ci_lower","ci_upper","p"
"Climbing","F",0.842375366568915,860,30,0.698999310286989,0.92064667424634,3.98328252776302e-07
"Climbing","M",0.631231671554252,2012,30,0.362277369665055,0.803147511310308,0.000150112277426621
"Weight","F",0.635630498533724,1988,30,0.368642685756394,0.805739864441186,0.000131195471791456
"Weight","M",0.506451612903226,2448,29,0.185378866013691,0.729820901662061,0.00407984433257866
"Development","MF",0.487903225806452,2794,30,0.167748048896655,0.714961562552132,0.0050815494552087
