"Mito","Nuc","Treatment","dev","weight_M","climb_M","flight_M","Mito_orig"
"375","375","Control",11.3258268964042,0.65645448070448,3.23073148148148,0.860384284582136,"375"
"375","375","Rotenone",11.4448531599639,0.603018083743901,3.33829320987654,0.851602550358396,"375"
"Bei04","375","Control",11.1233956447801,0.679520146520146,4.15670555555556,0.820762305743821,"Bei"
"Bei04","375","Rotenone",11.1946747974944,0.663436297036297,3.86001666666667,0.835535662455508,"Bei"
"Bei04","Ore","Control",9.95121676129951,0.760630443630446,2.25121111111111,0.774868930732128,"Bei"
"Bei04","Ore","Rotenone",10.7256190740166,0.760392385392382,2.56135,0.694482076920699,"Bei"
"Bei05","375","Control",11.141168000011,0.778503663003663,3.02641388888889,0.882248540068375,"Bei"
"Bei05","375","Rotenone",11.0082286858713,0.761932234432234,3.22698888888889,0.88529472170877,"Bei"
"Bei05","Ore","Control",11.0050855566996,0.755264957264958,2.70426666666667,0.81266884686478,"Bei"
"Bei05","Ore","Rotenone",10.6172903432585,0.779663919413919,2.56294444444444,0.804459826169033,"Bei"
"Bei11","375","Control",11.1244193704821,0.744550341933265,3.07318194444444,0.860564608425527,"Bei"
"Bei11","375","Rotenone",11.0315998181579,0.757028718855963,3.26316666666667,0.862942122186495,"Bei"
"Bei11","Ore","Control",10.5490796612668,0.838509596171804,2.6932,0.781752411575563,"Bei"
"Bei11","Ore","Rotenone",10.795873718817,0.837305420380273,2.18457361111111,0.817565797308563,"Bei"
"Bei12","375","Control",10.9311371231108,0.783545177045177,3.32537222222222,0.858861931209198,"Bei"
"Bei12","375","Rotenone",11.2166107190301,0.782820512820512,3.50558611111111,0.868829925627746,"Bei"
"Bei12","Ore","Control",10.6554855118229,0.717811965811964,1.88666388888889,0.832829841302769,"Bei"
"Bei12","Ore","Rotenone",10.642018816614,0.763631562881564,1.94544166666667,0.847432561792789,"Bei"
"Bei23","375","Control",11.015927738449,0.747124941702081,2.99227361111111,0.868890135738794,"Bei"
"Bei23","375","Rotenone",11.125269979082,0.776366921090602,2.90128194444444,0.860762316051353,"Bei"
"Bei23","Ore","Control",10.6821129193487,0.742568575851392,2.79788333333333,0.832882944516659,"Bei"
"Bei23","Ore","Rotenone",10.9491695787907,0.790671339947464,2.37156527777778,0.79225667820925,"Bei"
