"Sex","Nuc","Treatment","n","min","q1","median","q3","max","whisker_lower","whisker_upper","n_outliers"
"F","375","Control",1000,0.0541607848453765,0.0813589672358712,0.0899464331686774,0.0980939075404464,0.134889321897651,0.0576020324894907,0.122339146219235,3
"F","375","Rotenone",1000,0.0721404731264811,0.102566228286211,0.111949613511149,0.121660583589277,0.154945144175233,0.0741650963125757,0.150176729479445,9
"F","Ore","Control",1000,0.11084945880874,0.168331281861572,0.182457473123537,0.197658925653944,0.247303978880817,0.130246528319483,0.23796252300739,5
"F","Ore","Rotenone",1000,0.126936789026038,0.180472531703879,0.192596532202983,0.205271568509867,0.245464848603933,0.14436517644323,0.242226420056678,8
"M","375","Control",1000,0.0410758717338146,0.0846717299960756,0.0933654361397791,0.101261837256331,0.124782482538718,0.0610282867036096,0.124782482538718,10
"M","375","Rotenone",1000,0.046446565826347,0.0938488995870462,0.107167593061624,0.119248353904607,0.16069242001917,0.0570970426268279,0.153873936470947,3
"M","Ore","Control",1000,0.0649300220970206,0.1050672898328,0.115205406124526,0.124758249248808,0.153750045220598,0.0766520218469468,0.153750045220598,6
"M","Ore","Rotenone",1000,0.1062745946312,0.150438442494763,0.1635133757025,0.175353594947463,0.221571490153015,0.114217150234155,0.211101890669873,8
