"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"ZH26","375","F","A","Control",1.29768070107568,"B",1.37079886069384
"ZH26","375","F","A","Rotenone",1.32397446929458,"B",1.35968875500889
"ZH26","375","M","A","Control",0.815062862514778,"B",0.841997416849334
"ZH26","375","M","A","Rotenone",0.85348358521099,"B",0.929408045935452
"ZH26","Ore","F","A","Control",1.27131812383811,"B",1.24969080208579
"ZH26","Ore","F","A","Rotenone",1.16071278838291,"B",1.40650780262794
"ZH26","Ore","M","A","Control",0.828674151688568,"B",0.779937099389014
"ZH26","Ore","M","A","Rotenone",0.708422707200114,"B",0.940341643819037
"ZH33","375","F","A","Control",1.02849727127707,"B",0.999256636602142
"ZH33","375","F","A","Rotenone",1.03511638190325,"B",0.900443048569923
"ZH33","375","M","A","Control",0.566071521338183,"B",0.584712974972269
"ZH33","375","M","A","Rotenone",0.698516068471338,"B",0.679406808065418
"ZH33","Ore","F","A","Control",1.1852518371034,"B",1.17991572020859
"ZH33","Ore","F","A","Rotenone",1.09987717280826,"B",1.11789073985353
"ZH33","Ore","M","A","Control",0.658976425264665,"B",0.680527652843416
"ZH33","Ore","M","A","Rotenone",0.765553577931259,"B",0.669691823545292
"ZH42","375","F","A","Control",1.0124003258953,"B",1.10349190098689
"ZH42","375","F","A","Rotenone",0.999591265461388,"B",1.03632320019332
"ZH42","375","M","A","Control",0.699794575708993,"B",0.701332260246677
"ZH42","375","M","A","Rotenone",0.653191608669016,"B",0.658001376678786
"ZH42","Ore","F","A","Control",1.11724672394169,"B",1.36529116838615
"ZH42","Ore","F","A","Rotenone",1.15866072933086,"B",1.1018103796805
"ZH42","Ore","M","A","Control",0.618315451129876,"B",0.804233969648384
"ZH42","Ore","M","A","Rotenone",0.698623843101254,"B",0.769085381562785
"ZW09","375","F","A","Control",1.18303982112661,"B",1.28791380572044
"ZW09","375","F","A","Rotenone",1.19098570489136,"B",1.17772029135752
"ZW09","375","M","A","Control",0.711761134296599,"B",0.722954618005873
"ZW09","375","M","A","Rotenone",0.786204402231751,"B",0.734929892427834
"ZW09","Ore","F","A","Control",1.20376183203624,"B",1.17146369522722
"ZW09","Ore","F","A","Rotenone",1.25790590691156,"B",1.26291972810497
"ZW09","Ore","M","A","Control",0.809574316148287,"B",0.768722168552657
"ZW09","Ore","M","A","Rotenone",0.77984217312959,"B",0.803091582302434
"ZW133","375","F","A","Control",0.983611773219907,"B",1.02096633544819
"ZW133","375","F","A","Rotenone",1.0196572669543,"B",1.00412796085063
"ZW133","375","M","A","Control",0.614604631770429,"B",0.6138682318645
"ZW133","375","M","A","Rotenone",0.654722445524364,"B",0.691587876176873
"ZW133","Ore","F","A","Control",1.17624493517663,"B",1.24246008157822
"ZW133","Ore","F","A","Rotenone",1.09273271022405,"B",1.16788096873265
"ZW133","Ore","M","A","Control",0.633612761386831,"B",0.685803962121514
"ZW133","Ore","M","A","Rotenone",0.736419463238334,"B",0.823283753369857
"ZW140","375","F","A","Control",1.11991797238711,"B",1.33771209003417
"ZW140","375","F","A","Rotenone",1.28011427631993,"B",1.25058570489137
"ZW140","375","M","A","Control",0.684599981414399,"B",0.753880933795359
"ZW140","375","M","A","Rotenone",0.820086755172935,"B",0.809455176225568
"ZW140","Ore","F","A","Control",1.19275130572044,"B",1.33268781365696
"ZW140","Ore","F","A","Rotenone",1.25538570489135,"B",1.27377544848111
"ZW140","Ore","M","A","Control",0.786783272976639,"B",0.806996723269036
"ZW140","Ore","M","A","Rotenone",0.77830580279198,"B",0.81133675517293
"ZW142","375","F","A","Control",1.25972025202009,"B",1.02264329983571
"ZW142","375","F","A","Rotenone",1.15788483366993,"B",1.07959762815614
"ZW142","375","M","A","Control",0.68896688775668,"B",0.51308732217606
"ZW142","375","M","A","Rotenone",0.716702681096185,"B",0.672101692977554
"ZW142","Ore","F","A","Control",1.2064899330855,"B",1.08131172088834
"ZW142","Ore","F","A","Rotenone",1.17518911938422,"B",1.21482040143549
"ZW142","Ore","M","A","Control",0.718124285417496,"B",0.761068664502464
"ZW142","Ore","M","A","Rotenone",0.721076445572737,"B",0.629265436415055
"ZW144","375","F","A","Control",1.13681044127228,"B",1.26906842617738
"ZW144","375","F","A","Rotenone",1.07280000050859,"B",1.35421342622976
"ZW144","375","M","A","Control",0.68655053942568,"B",1.19839781762424
"ZW144","Ore","F","A","Control",0.894245049553996,"B",1.33214504955399
"ZW144","Ore","F","A","Rotenone",1.26163986733251,"B",1.45594939114203
