"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0863572169262274
"F","375","Control",0.0773080125874287
"F","375","Control",0.0783155185680664
"F","375","Control",0.0629855988468612
"F","375","Control",0.0770845110454881
"F","375","Control",0.0737060504997018
"F","375","Control",0.0763434442819685
"F","375","Control",0.0737845048098073
"F","375","Control",0.0569499818014302
"F","375","Control",0.0702100701953421
"F","375","Control",0.078767974148565
"F","375","Control",0.0688058527344007
"F","375","Control",0.0667285770861364
"F","375","Control",0.0818628882829865
"F","375","Control",0.091615103833933
"F","375","Control",0.0780357777235221
"F","375","Control",0.0908316016138292
"F","375","Control",0.0797382210909545
"F","375","Control",0.0713623694465316
"F","375","Control",0.0671829476693065
"F","375","Control",0.0846637574016176
"F","375","Control",0.0639595860699777
"F","375","Control",0.094985959941362
"F","375","Control",0.0784119125718013
"F","375","Control",0.0849477103863186
"F","375","Control",0.0747065114556846
"F","375","Control",0.0669686330883993
"F","375","Control",0.0524153264609111
"F","375","Control",0.0649257565511491
"F","375","Control",0.0861787620479017
"F","375","Control",0.0840963780384841
"F","375","Control",0.0791823320946702
"F","375","Control",0.0667475128621131
"F","375","Control",0.0650727937100763
"F","375","Control",0.0687267231274608
"F","375","Control",0.0527595930960131
"F","375","Control",0.0863281066232138
"F","375","Control",0.0812708900764436
"F","375","Control",0.0698057997375566
"F","375","Control",0.0613889320873414
"F","375","Control",0.0769549574685465
"F","375","Control",0.0709340816828426
"F","375","Control",0.0931067847064172
"F","375","Control",0.078206439481105
"F","375","Control",0.0881642096500139
"F","375","Control",0.0851278241615831
"F","375","Control",0.0728670520566296
"F","375","Control",0.0753471163135383
"F","375","Control",0.070106841441091
"F","375","Control",0.0641356696191675
"F","375","Control",0.0803656938722028
"F","375","Control",0.0800919313414632
"F","375","Control",0.0726940345173711
"F","375","Control",0.0886597113360089
"F","375","Control",0.0652486688421488
"F","375","Control",0.0699060423045229
"F","375","Control",0.0773570497510396
"F","375","Control",0.0708191878561698
"F","375","Control",0.0862346332189851
"F","375","Control",0.07292479197848
"F","375","Control",0.0647925378935061
"F","375","Control",0.0694943334463106
"F","375","Control",0.0756885098407642
"F","375","Control",0.0586186612054426
"F","375","Control",0.0850574938631372
"F","375","Control",0.0778819142904707
"F","375","Control",0.073228484715182
"F","375","Control",0.0953772577417444
"F","375","Control",0.0717107023722536
"F","375","Control",0.0638707014577015
"F","375","Control",0.0711690811235761
"F","375","Control",0.0684130051016806
"F","375","Control",0.0742766434870955
"F","375","Control",0.05982604828156
"F","375","Control",0.0733613680456147
"F","375","Control",0.0645173780550022
"F","375","Control",0.0665261923404501
"F","375","Control",0.0681690595989093
"F","375","Control",0.0726282959040009
"F","375","Control",0.0682372070254802
"F","375","Control",0.0690264953457704
"F","375","Control",0.065117796016176
"F","375","Control",0.0691940906276028
"F","375","Control",0.0654162175488583
"F","375","Control",0.0743634846648663
"F","375","Control",0.0650296856807832
"F","375","Control",0.079813057746719
"F","375","Control",0.0820187717566198
"F","375","Control",0.0711596427657544
"F","375","Control",0.0701993038132578
"F","375","Control",0.0850391296609431
"F","375","Control",0.070493686561471
"F","375","Control",0.0770488091626022
"F","375","Control",0.0848013558876675
"F","375","Control",0.0681867915846978
"F","375","Control",0.0757158666720111
"F","375","Control",0.0772000181126859
"F","375","Control",0.0766326954326544
"F","375","Control",0.0647912527313266
"F","375","Control",0.0893377632249142
"F","375","Control",0.06371833097585
"F","375","Control",0.0887865029138703
"F","375","Control",0.0716304652502478
"F","375","Control",0.0742624682963478
"F","375","Control",0.0620749974664261
"F","375","Control",0.0760450020074231
"F","375","Control",0.0738588069047429
"F","375","Control",0.0672655891547982
"F","375","Control",0.0757894696081487
"F","375","Control",0.0775420709235176
"F","375","Control",0.0730194871139326
"F","375","Control",0.0679434557193079
"F","375","Control",0.0861703306558017
"F","375","Control",0.076105061261373
"F","375","Control",0.0819242358855312
"F","375","Control",0.0527085411770192
"F","375","Control",0.0711196165136275
"F","375","Control",0.101605387643742
"F","375","Control",0.0800921770471851
"F","375","Control",0.0953987308755892
"F","375","Control",0.0590126337437257
"F","375","Control",0.0731503080393083
"F","375","Control",0.0877835594453353
"F","375","Control",0.0638260964294092
"F","375","Control",0.0692358428477511
"F","375","Control",0.0715469935421342
"F","375","Control",0.0861984025230784
"F","375","Control",0.0783222920158031
"F","375","Control",0.0738867476255308
"F","375","Control",0.06367492567549
"F","375","Control",0.0765687996047929
"F","375","Control",0.0700720541494268
"F","375","Control",0.0737438114110445
"F","375","Control",0.0677443369098916
"F","375","Control",0.0550540973578979
"F","375","Control",0.0829716702681141
"F","375","Control",0.0736048810072942
"F","375","Control",0.0892394598475768
"F","375","Control",0.0908610297468267
"F","375","Control",0.056720834522995
"F","375","Control",0.0718872959232605
"F","375","Control",0.0809397150792295
"F","375","Control",0.0721586077168194
"F","375","Control",0.0678583569617466
"F","375","Control",0.0927295316734992
"F","375","Control",0.0702818424261091
"F","375","Control",0.0808436042548842
"F","375","Control",0.0888098667596985
"F","375","Control",0.0772061252377059
"F","375","Control",0.0729508103551545
"F","375","Control",0.0839932093601166
"F","375","Control",0.0596826490378042
"F","375","Control",0.0778327298237496
"F","375","Control",0.081871381556055
"F","375","Control",0.071638572221198
"F","375","Control",0.0639328299430375
