"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"Bei04","Ore","A",5,"Rotenone","M",0.000875393231120631,0.633087845968714
"Bei04","Ore","A",5,"Control","M",0.000779891922343842,0.433989399521686
"Bei04","Ore","B",6,"Control","M",0.000807920183434601,1.31819210135092
"Bei04","Ore","B",5,"Control","M",0.000765579956531877,1.03427380259841
"Bei04","Ore","B",5,"Rotenone","M",0.000878863316590716,1.11636101083032
"Bei04","Ore","B",6,"Rotenone","M",0.000781578495855897,1.45465222623345
"Bei59","375","A",9,"Control","M",0.000595274487085884,0.880146726132764
"Bei59","375","A",9,"Rotenone","M",0.00063965568533882,0.826397111913357
"Bei59","375","B",9,"Control","M",0.00057929217427772,1.46015125072717
"Bei59","375","B",9,"Rotenone","M",0.000672335362472832,1.73495066185319
"ZW142","Ore","A",9,"Control","M",0.00067643544913152,1.45203929933424
"ZW142","Ore","A",9,"Rotenone","M",0.000721076445572737,1.59480144404332
"ZW142","Ore","B",9,"Control","M",0.000683184523205595,1.49665503199534
"ZW142","Ore","B",9,"Rotenone","M",0.000808151396839792,1.00520818291215
"Bei52","375","A",3,"Rotenone","M",0.000692310997597175,0.700746089049338
"Bei52","375","A",3,"Control","M",0.000825713286736527,0.799027212203477
"Bei52","375","B",3,"Control","M",0.000683891460111136,0.78280330941762
"Bei52","375","B",3,"Rotenone","M",0.000713298876385051,0.8988880866426
"Bei42","375","A",3,"Control","M",0.00066926426712868,0.81119513929287
"Bei42","375","A",3,"Rotenone","M",0.000699175644061829,0.802233453670276
"Bei42","375","B",3,"Control","M",0.000673830933795349,0.555668670415616
"Bei42","375","B",3,"Rotenone","M",0.000703300377463951,0.753906137184115
"Bei38","375","A",6,"Rotenone","M",0.000733463344340749,0.676582430806258
"Bei38","375","A",6,"Control","M",0.000727746878961298,0.892314653222158
"Bei38","375","B",6,"Rotenone","M",0.000758790617068026,0.787735258724428
"Bei38","375","B",6,"Control","M",0.00076212869714311,0.762523430935298
"Bei23","375","A",2,"Rotenone","M",0.000754501147814076,1.38699398315283
"Bei23","375","A",9,"Rotenone","M",0.000692115695211984,0.889222623345367
"Bei23","375","A",2,"Control","M",0.000154104850344844,1.15189709779588
"Bei23","375","A",9,"Control","M",0.000642469047015118,0.892314653222158
"Bei23","375","B",2,"Rotenone","M",0.0008815815571708,1.08736462093863
"Bei23","375","B",2,"Control","M",0.000455102676431802,0.884202701829228
"Bei23","375","B",9,"Control","M",0.000641582413765327,1.03832977829487
"Bei23","375","B",9,"Rotenone","M",0.000727558316917761,1.22268110709988
"Bei12","375","A",7,"Rotenone","M",0.000806863046952952,0.821564380264741
"Bei12","375","A",7,"Control","M",0.000823527312416728,0.790915260810549
"Bei12","375","B",7,"Rotenone","M",0.000820709200799112,0.608924187725632
"Bei12","375","B",7,"Control","M",0.000851548069437489,0.884202701829229
"Bei11","375","A",2,"Control","M",0.000719423436665719,1.07888953525952
"Bei11","375","A",2,"Rotenone","M",0.000845918023336219,1.28550661853189
"Bei11","375","A",9,"Rotenone","M",0.000711593404637063,1.18885198555957
"Bei11","375","A",9,"Control","M",0.000590344249727782,1.1032253894383
"Bei11","375","B",2,"Control","M",0.000755286009765134,0.827419042078729
"Bei11","375","B",9,"Control","M",0.000588473207416123,1.28168832008274
"Bei11","375","B",9,"Rotenone","M",0.000701052542678244,1.5271432009627
"Bei11","375","B",2,"Rotenone","M",0.000704015767697119,1.08736462093863
"375","375","parental",5,"Control","M",0.000646695341147257,0.786859285114084
"375","375","parental",2,"Control","M",0.000666569343098467,0.644900135737832
"375","375","parental",7,"Rotenone","M",0.000631010055499962,1.09703008423586
"375","375","parental",6,"Control","M",0.000680644237158653,0.912594531704478
"375","375","parental",5,"Rotenone","M",0.000722542193269598,0.855393501805054
"375","375","parental",4,"Control","M",0.000659850131264546,0.433989399521686
"375","375","parental",7,"Control","M",0.000617810695700114,0.628676232951975
"375","375","parental",6,"Rotenone","M",0.000675468250545655,0.797400722021661
"375","375","parental",2,"Rotenone","M",0.000438014890504136,0.357622141997593
"375","375","parental",4,"Rotenone","M",0.000667734565711975,0.633087845968712
"375","375","parental",3,"Rotenone","M",0.000692321940358116,0.850560770156437
"375","375","parental",3,"Control","M",0.000703908206522623,0.99777002133023
"Bei05","375","A",4,"Control","M",0.000765789525203945,0.766579406631763
"Bei05","375","A",4,"Rotenone","M",0.000757382084859489,0.981044524669075
"Bei05","375","B",4,"Control","M",0.00074879685121127,0.567836597505009
"Bei05","375","B",4,"Rotenone","M",0.000744345454822859,0.831229843561973
"Bei04","375","A",5,"Rotenone","M",0.000750263804991203,0.816731648616125
"Bei04","375","A",5,"Control","M",0.000702644059095978,0.920706483097408
"Bei04","375","B",5,"Control","M",0.000676556147008062,1.35063990692263
"Bei04","375","B",5,"Rotenone","M",0.00075450636243377,1.10669554753309
