"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"ZH23","Ore","M","A","Control",2.32889916657912,"B",2.40979361102357
"ZH23","Ore","M","A","Rotenone",2.45964249183517,"B",1.97504249183517
"ZH26","375","F","A","Control",3.19068753156565,"B",2.67846530934343
"ZH26","375","F","A","Rotenone",3.32041058527306,"B",3.07333836305084
"ZH26","375","M","A","Control",4.22621500478575,"B",3.78020389367464
"ZH26","375","M","A","Rotenone",3.19556656590925,"B",3.50877767702036
"ZH26","Ore","F","A","Control",1.86496206860269,"B",1.20089308712121
"ZH26","Ore","F","A","Rotenone",1.68198928897677,"B",1.72327169638418
"ZH26","Ore","M","A","Control",1.78610622450171,"B",2.90813167145241
"ZH26","Ore","M","A","Rotenone",2.70042688336957,"B",3.2112721214648
"ZH33","375","F","A","Control",3.2313694760101,"B",3.41976669823232
"ZH33","375","F","A","Rotenone",2.9196245899027,"B",2.47389125656936
"ZH33","375","M","A","Control",3.3903887316376,"B",3.19827484274871
"ZH33","375","M","A","Rotenone",3.33215175109443,"B",2.84174063998332
"ZH33","Ore","F","A","Control",1.77835003156566,"B",1.85617503156566
"ZH33","Ore","F","A","Rotenone",1.61036625656936,"B",1.35143570101381
"ZH33","Ore","M","A","Control",2.81055817608205,"B",2.58956095385982
"ZH33","Ore","M","A","Rotenone",1.87799897331665,"B",1.9117434177611
"ZH42","375","F","A","Control",3.26330419823232,"B",3.74162642045454
"ZH42","375","F","A","Rotenone",2.53750595564344,"B",3.47581706675455
"ZH42","375","M","A","Control",3.32302333811908,"B",3.75111778256353
"ZH42","375","M","A","Rotenone",3.13925638072406,"B",3.80281749183517
"ZH42","Ore","F","A","Control",1.3147319760101,"B",1.40940975378788
"ZH42","Ore","F","A","Rotenone",1.64691706675455,"B",2.23291151119899
"ZH42","Ore","M","A","Control",1.82210111589686,"B",2.4303344492302
"ZH42","Ore","M","A","Rotenone",1.97914526961295,"B",2.44661193627961
"ZW09","375","F","A","Control",3.42167086489899,"B",3.48284308712121
"ZW09","375","F","A","Rotenone",3.06707007601381,"B",3.05172007601381
"ZW09","375","M","A","Control",3.26342449552649,"B",2.9680856066376
"ZW09","375","M","A","Rotenone",3.02005800109444,"B",2.95146911220555
"ZW09","Ore","F","A","Control",1.64285975378788,"B",2.04561739267677
"ZW09","Ore","F","A","Rotenone",2.1505089649027,"B",1.94720433134965
"ZW09","Ore","M","A","Control",2.52719116219316,"B",2.58530677065876
"ZW09","Ore","M","A","Rotenone",2.32709133442777,"B",2.88357436683517
"ZW133","375","F","A","Control",3.19654956860269,"B",3.3882194760101
"ZW133","375","F","A","Rotenone",2.60706097107554,"B",2.27860792323603
"ZW133","375","M","A","Control",3.38540088441538,"B",3.35926095385982
"ZW133","375","M","A","Rotenone",3.13722181282283,"B",2.8278934177611
"ZW133","Ore","F","A","Control",2.1469815791847,"B",1.63011669823232
"ZW133","Ore","F","A","Rotenone",1.67540792323603,"B",0.451046812124917
"ZW133","Ore","M","A","Control",2.99018317608205,"B",3.04311928719316
"ZW133","Ore","M","A","Rotenone",1.8356934177611,"B",1.66537952887221
"ZW140","375","F","A","Control",3.38852642045455,"B",3.49358753156566
"ZW140","375","F","A","Rotenone",3.20799229823603,"B",3.09144785379159
"ZW140","375","M","A","Control",3.8571356066376,"B",3.15673005108205
"ZW140","375","M","A","Rotenone",2.92641911220555,"B",2.74506355664999
"ZW140","Ore","F","A","Control",2.14311530934344,"B",1.9190319760101
"ZW140","Ore","F","A","Rotenone",1.8052589649027,"B",2.12842007601381
"ZW140","Ore","M","A","Control",2.52099671774872,"B",3.20605227330427
"ZW140","Ore","M","A","Rotenone",2.82209133442777,"B",2.45279133442777
