"dataset","term","n_mito_label","n","min","q1","median","q3","max","whisker_lower","whisker_upper","n_outliers","prop_sig"
"climbF","Mito:Nuc","k = 5",1000,0.000682824059306008,0.169545414109142,0.420034433708378,1.15051893876515,15.438847216498,0.000682824059306008,2.60505448046293,33,0.124
"climbF","Mito:Nuc","k = 10",1000,0.00181832004746734,0.315901725425801,0.871785241719876,1.74659648871875,3.59968601750856,0.00181832004746734,3.59968601750856,0,0.197
"climbF","Mito:Nuc","k = 15",1000,0.00941621055060281,0.565053172714574,1.46633839322566,1.83456016684828,3.42167273025584,0.00941621055060281,3.42167273025584,0,0.209
"climbF","Mito:Nuc","k = 20",1000,0.181259690900467,1.44925723529993,1.60746363182244,1.71024669979364,2.25416270874886,1.06723766179705,2.10003569063343,120,0.093
"climbF","Mito:Nuc:Treatment","k = 5",1000,0.00986378947608229,0.686409962915104,2.10121195668683,4.19321574975536,13.6138399773988,0.00986378947608229,9.38866472351095,21,0.529
"climbF","Mito:Nuc:Treatment","k = 10",1000,0.0619560204174823,2.25167690862962,4.45544841551534,6.69156674648243,12.4788032275065,0.0619560204174823,12.4788032275065,0,0.803
"climbF","Mito:Nuc:Treatment","k = 15",1000,0.483950253643442,4.64660997369375,6.78045115772484,8.2624039048879,11.8227455768027,0.483950253643442,11.8227455768027,0,0.958
"climbF","Mito:Nuc:Treatment","k = 20",1000,2.41126323862846,7.13957609385755,8.87904440072526,9.2129916885568,9.83623290149149,4.23533526801829,9.83623290149149,12,1
"climbF","Mito:Treatment","k = 5",1000,0.00465577991469098,1.86519562497848,3.19854352842632,5.22520262929273,13.6799307096814,0.00465577991469098,9.77429035152855,7,0.743
"climbF","Mito:Treatment","k = 10",1000,0.65097524456323,4.68133302306465,6.73977356459167,8.66254978242003,14.2525254501421,0.65097524456323,14.2525254501421,0,0.983
"climbF","Mito:Treatment","k = 15",1000,2.7000780209351,8.0970537477194,9.59171482390767,11.3094267705132,15.9796011901624,3.45208424411426,15.9796011901624,2,1
