"Mito","Nuc","Build","Set","Treatment","Sex","Y_adj","Larval_density"
"Bei04","Ore","A",5,"Rotenone","F",0.00147082632114645,0.633087845968714
"Bei04","Ore","A",5,"Control","F",0.00133561504451002,0.433989399521686
"Bei04","Ore","B",6,"Control","F",0.00130362115414114,1.31819210135092
"Bei04","Ore","B",6,"Rotenone","F",0.00124045521262535,1.45465222623345
"Bei04","Ore","B",5,"Rotenone","F",0.00133513686245699,1.11636101083032
"Bei04","Ore","B",5,"Control","F",0.00125842254811753,1.03427380259841
"Bei59","375","A",9,"Rotenone","F",0.000949557271545661,0.826397111913357
"Bei59","375","A",9,"Control","F",0.00112977250094248,0.880146726132764
"Bei59","375","B",9,"Control","F",0.00101840880002352,1.46015125072717
"Bei59","375","B",9,"Rotenone","F",0.000946150838797126,1.73495066185319
"ZW142","Ore","A",9,"Control","F",0.00124726059618057,1.45203929933424
"ZW142","Ore","A",9,"Rotenone","F",0.00108723782710122,1.59480144404332
"ZW142","Ore","B",9,"Control","F",0.00113633784485782,1.49665503199534
"ZW142","Ore","B",9,"Rotenone","F",0.00111114616043455,1.00520818291215
"Bei52","375","A",3,"Control","F",0.00109764019460934,0.799027212203477
"Bei52","375","A",3,"Rotenone","F",0.000995385704891354,0.700746089049338
"Bei52","375","B",3,"Control","F",0.00109624489546404,0.78280330941762
"Bei52","375","B",3,"Rotenone","F",0.00108102982253842,0.8988880866426
"Bei42","375","A",3,"Rotenone","F",0.00111535108950675,0.802233453670276
"Bei42","375","A",3,"Control","F",0.00102000492890884,0.81119513929287
"Bei42","375","B",3,"Control","F",0.00102023047238711,0.555668670415616
"Bei42","375","B",3,"Rotenone","F",0.00114849681600247,0.753906137184115
"Bei38","375","A",6,"Control","F",0.00118379038491037,0.892314653222158
"Bei38","375","A",6,"Rotenone","F",0.00107244783111796,0.676582430806258
"Bei38","375","B",6,"Rotenone","F",0.00118776834393846,0.787735258724428
"Bei38","375","B",6,"Control","F",0.00120504679516678,0.762523430935298
"Bei23","375","A",9,"Control","F",0.00119280145194317,0.892314653222158
"Bei23","375","A",9,"Rotenone","F",0.000993862033450428,0.889222623345367
"Bei23","375","A",2,"Rotenone","F",0.0010691009538724,1.38699398315283
"Bei23","375","A",2,"Control","F",0.00104368595203817,1.15189709779588
"Bei23","375","B",9,"Control","F",0.00118091633356325,1.03832977829487
"Bei23","375","B",2,"Control","F",0.00113853515838737,0.884202701829228
"Bei23","375","B",2,"Rotenone","F",0.00122626411176713,1.08736462093863
"Bei23","375","B",9,"Rotenone","F",0.00113826737255576,1.22268110709988
"Bei12","375","A",7,"Rotenone","F",0.00123123974475987,0.821564380264741
"Bei12","375","A",7,"Control","F",0.00129007257309256,0.790915260810549
"Bei12","375","B",7,"Rotenone","F",0.00121199615501628,0.608924187725632
"Bei12","375","B",7,"Control","F",0.00124691017993017,0.884202701829229
"Bei11","375","A",2,"Rotenone","F",0.00121425482384144,1.28550661853189
"Bei11","375","A",9,"Rotenone","F",0.00112998430972935,1.18885198555957
"Bei11","375","A",2,"Control","F",0.00101167087267309,1.07888953525952
"Bei11","375","A",9,"Control","F",0.00108802367053312,1.1032253894383
"Bei11","375","B",2,"Control","F",0.000970516110768334,0.827419042078729
"Bei11","375","B",2,"Rotenone","F",0.00114848048603615,1.08736462093863
"Bei11","375","B",9,"Rotenone","F",0.000965570304127115,1.5271432009627
"Bei11","375","B",9,"Control","F",0.000995645642128781,1.28168832008274
"375","375","parental",6,"Control","F",0.00111471346183344,0.912594531704478
"375","375","parental",6,"Rotenone","F",0.000967498502668625,0.797400722021661
"375","375","parental",2,"Control","F",0.00112766847244174,0.644900135737832
"375","375","parental",7,"Rotenone","F",0.000971924726444852,1.09703008423586
"375","375","parental",4,"Rotenone","F",0.000977451405321522,0.633087845968712
"375","375","parental",5,"Control","F",0.00112774635764133,0.786859285114084
"375","375","parental",4,"Control","F",0.00103873732223231,0.433989399521686
"375","375","parental",2,"Rotenone","F",0.00104837332229344,0.357622141997593
"375","375","parental",3,"Control","F",0.00111227865350166,0.99777002133023
"375","375","parental",3,"Rotenone","F",0.00106065792711358,0.850560770156437
"375","375","parental",5,"Rotenone","F",0.00117955688687702,0.855393501805054
"375","375","parental",7,"Control","F",0.000894068299588282,0.628676232951975
"Bei05","375","A",4,"Control","F",0.0011080851077801,0.766579406631763
"Bei05","375","A",4,"Rotenone","F",0.00107606678993691,0.981044524669075
"Bei05","375","B",4,"Control","F",0.00108686186435685,0.567836597505009
"Bei05","375","B",4,"Rotenone","F",0.00110215885342897,0.831229843561973
"Bei04","375","A",5,"Control","F",0.00119701302430801,0.920706483097408
"Bei04","375","A",5,"Rotenone","F",0.00130628216160228,0.816731648616125
"Bei04","375","B",5,"Control","F",0.00113319080208578,1.35063990692263
"Bei04","375","B",5,"Rotenone","F",0.00125637446929459,1.10669554753309
"Zim53","Ore","A",7,"Rotenone","F",0.00123373857925871,1.35799759326113
"Zim53","Ore","A",7,"Control","F",0.00143712812864811,1.03832977829488
"Zim53","Ore","B",7,"Rotenone","F",0.0012200382795584,0.821564380264741
"Zim53","Ore","B",7,"Control","F",0.00141181616283615,0.575948548897938
"ZW140","Ore","A",3,"Control","F",0.00119275130572044,0.332590007110077
"ZW140","Ore","A",3,"Rotenone","F",0.00125538570489135,0.343123947051745
"ZW140","Ore","B",3,"Control","F",0.00133268781365696,0.693571844095403
"ZW140","Ore","B",3,"Rotenone","F",0.00127377544848111,0.372120336943441
"siI","Ore","A",3,"Control","F",0.00123173615420529,0.766579406631763
"siI","Ore","A",5,"Rotenone","F",0.00132702446929459,1.15985559566787
"siI","Ore","A",4,"Rotenone","F",0.00131152832839845,1.15985559566787
"siI","Ore","A",9,"Control","F",0.00130213043745042,1.3993116152802
"siI","Ore","A",6,"Rotenone","F",0.00121694006111019,1.06320096269555
"siI","Ore","A",7,"Control","F",0.00141487599189598,1.25329649020749
"siI","Ore","A",3,"Rotenone","F",0.00135478741429307,0.734575210589651
"siI","Ore","A",5,"Control","F",0.00123167969097466,0.709795746881262
"siI","Ore","A",9,"Rotenone","F",0.00111382354834877,1.53197593261131
"siI","Ore","A",6,"Control","F",0.0012119955131155,1.19245685476052
"siI","Ore","A",7,"Rotenone","F",0.00133173791325804,1.45948495788207
"siI","Ore","A",4,"Control","F",0.00126531973981471,0.827419042078728
"siI","Ore","A",2,"Control","F",0.00134670182505405,1.07483355956306
"siI","Ore","A",2,"Rotenone","F",0.00136151975086488,0.734575210589652
"siI","Ore","B",3,"Rotenone","F",0.00123150237155802,0.77323706377858
"siI","Ore","B",9,"Rotenone","F",0.00117131437508883,1.78327797833935
"siI","Ore","B",2,"Control","F",0.00130140499965722,0.936930385883267
"siI","Ore","B",9,"Control","F",0.00120946366185129,1.50071100769181
"siI","Ore","B",2,"Rotenone","F",0.0013709658661531,0.695913357400722
"siI","Ore","B",3,"Control","F",0.00132408463905377,1.01399392411609
"yak","Ore","A",9,"Rotenone","F",0.00131478628198024,0.826397111913358
"yak","Ore","A",4,"Rotenone","F",0.00139882234549247,0.874724428399519
