"Sex","Nuc","Treatment","boot"
"F","375","Control",0.0744026450635366
"F","375","Control",0.0788006967061068
"F","375","Control",0.0888920325773206
"F","375","Control",0.0763812100171873
"F","375","Control",0.105434980907481
"F","375","Control",0.0992880185248705
"F","375","Control",0.0958572119866404
"F","375","Control",0.0743491595247213
"F","375","Control",0.0673678869017347
"F","375","Control",0.106317631606892
"F","375","Control",0.0914852728936129
"F","375","Control",0.076506372627811
"F","375","Control",0.10305397310787
"F","375","Control",0.0800582384340067
"F","375","Control",0.115189593244521
"F","375","Control",0.0996848944041904
"F","375","Control",0.0950816901632864
"F","375","Control",0.094484770037606
"F","375","Control",0.0801324036963117
"F","375","Control",0.114723104015785
"F","375","Control",0.0805166996237322
"F","375","Control",0.0926204135425076
"F","375","Control",0.0973842776831881
"F","375","Control",0.0713825893517206
"F","375","Control",0.0685672536565164
"F","375","Control",0.122339146219235
"F","375","Control",0.0877027296596027
"F","375","Control",0.094864534232689
"F","375","Control",0.0982580860623968
"F","375","Control",0.0999081697809463
"F","375","Control",0.0908634599406449
"F","375","Control",0.0954617855453907
"F","375","Control",0.0948195404892384
"F","375","Control",0.0969229743358938
"F","375","Control",0.0850125202192174
"F","375","Control",0.101295397012519
"F","375","Control",0.0808942629728394
"F","375","Control",0.0905285084794806
"F","375","Control",0.0863944166930264
"F","375","Control",0.0588431205959166
"F","375","Control",0.102423672838729
"F","375","Control",0.0860562928228565
"F","375","Control",0.0826557094121801
"F","375","Control",0.089310444983076
"F","375","Control",0.0759174200569448
"F","375","Control",0.0740322429725412
"F","375","Control",0.0597561207217407
"F","375","Control",0.0836551694767491
"F","375","Control",0.0882732775294425
"F","375","Control",0.106041258508877
"F","375","Control",0.102847009385768
"F","375","Control",0.0886810518639377
"F","375","Control",0.0926428895245299
"F","375","Control",0.0784886419788288
"F","375","Control",0.0801554928019765
"F","375","Control",0.0785882908040527
"F","375","Control",0.0940260386018562
"F","375","Control",0.0980228406488445
"F","375","Control",0.074133089829998
"F","375","Control",0.0898324620725689
"F","375","Control",0.0905071714990865
"F","375","Control",0.0883581888120063
"F","375","Control",0.0998039118610847
"F","375","Control",0.0888297282584533
"F","375","Control",0.0831898264101309
"F","375","Control",0.0825750725295606
"F","375","Control",0.0818963916547188
"F","375","Control",0.0822841402694371
"F","375","Control",0.0585953150383111
"F","375","Control",0.0852465702141488
"F","375","Control",0.110833325275451
"F","375","Control",0.104247553538036
"F","375","Control",0.094948770034326
"F","375","Control",0.0916150246900478
"F","375","Control",0.0998214618306113
"F","375","Control",0.0699680726830947
"F","375","Control",0.0743427370707525
"F","375","Control",0.0934497478695482
"F","375","Control",0.0696766923147485
"F","375","Control",0.0759698298381848
"F","375","Control",0.0910268291463154
"F","375","Control",0.104462255943908
"F","375","Control",0.0874951778993787
"F","375","Control",0.0866138892105778
"F","375","Control",0.120556814472816
"F","375","Control",0.100357157508786
"F","375","Control",0.114853399966349
"F","375","Control",0.0608948580855221
"F","375","Control",0.0736809212280162
"F","375","Control",0.101848938736851
"F","375","Control",0.0857385040031354
"F","375","Control",0.0876510414771645
"F","375","Control",0.0884062131700156
"F","375","Control",0.0894536912995965
"F","375","Control",0.0978196383543196
"F","375","Control",0.0756225645479078
"F","375","Control",0.0973589219886253
"F","375","Control",0.0779626049445246
"F","375","Control",0.0541607848453765
"F","375","Control",0.0799835511046704
"F","375","Control",0.0941876612520993
"F","375","Control",0.0928151487871629
"F","375","Control",0.074897172488189
"F","375","Control",0.0734110147293903
"F","375","Control",0.0833275268620579
"F","375","Control",0.0907266809636773
"F","375","Control",0.0917130415255656
"F","375","Control",0.071140640888621
"F","375","Control",0.0759806599499495
"F","375","Control",0.102182281092773
"F","375","Control",0.0946132339299567
"F","375","Control",0.0901125891930451
"F","375","Control",0.0868517647448092
"F","375","Control",0.0838386256882473
"F","375","Control",0.0820089943761053
"F","375","Control",0.105794582916732
"F","375","Control",0.0853597303421156
"F","375","Control",0.0822208688117036
"F","375","Control",0.0703575194986814
"F","375","Control",0.101113722736186
"F","375","Control",0.0778481799004941
"F","375","Control",0.0987638075016482
"F","375","Control",0.0722503395159434
"F","375","Control",0.0787962697043007
"F","375","Control",0.0822662730844308
"F","375","Control",0.0974822166429538
"F","375","Control",0.0870339467704709
"F","375","Control",0.0855865727512934
"F","375","Control",0.0993259777301951
"F","375","Control",0.101658472134752
"F","375","Control",0.0963528783808498
"F","375","Control",0.0988079810454976
"F","375","Control",0.113324457866912
"F","375","Control",0.0747865689506084
"F","375","Control",0.0991017498928325
"F","375","Control",0.109226406077323
"F","375","Control",0.09934163568593
"F","375","Control",0.0996472084164115
"F","375","Control",0.0975989229351084
"F","375","Control",0.107884918815516
"F","375","Control",0.0686830009695758
"F","375","Control",0.0940686673304424
"F","375","Control",0.113956718438855
"F","375","Control",0.0901019168997496
"F","375","Control",0.0803746289796787
"F","375","Control",0.0883787090687314
"F","375","Control",0.0909914199402484
"F","375","Control",0.0923890428330971
"F","375","Control",0.106558493058898
"F","375","Control",0.102288940355391
"F","375","Control",0.0922911573086216
"F","375","Control",0.0744981108991597
"F","375","Control",0.100680791570537
"F","375","Control",0.0869653462761556
"F","375","Control",0.0732695894515623
"F","375","Control",0.111858787830134
"F","375","Control",0.0932421566664874
"F","375","Control",0.0791640890624255
"F","375","Control",0.101983047171462
"F","375","Control",0.0773584062704733
"F","375","Control",0.0927568468821347
"F","375","Control",0.100284764159897
"F","375","Control",0.120620100884018
"F","375","Control",0.0931367072659592
"F","375","Control",0.0875486557215489
"F","375","Control",0.0781978668461496
"F","375","Control",0.0778966281344325
"F","375","Control",0.090234955225261
"F","375","Control",0.10931757997158
"F","375","Control",0.10081181027581
"F","375","Control",0.0954169056878173
"F","375","Control",0.0756006375444373
"F","375","Control",0.110208417124449
"F","375","Control",0.0923891554073557
"F","375","Control",0.0773772724623623
"F","375","Control",0.0837916398292535
"F","375","Control",0.0935173348436948
"F","375","Control",0.0898157640458118
"F","375","Control",0.0917554919657329
"F","375","Control",0.0953179207247757
"F","375","Control",0.0901565059181079
"F","375","Control",0.0785019682107973
"F","375","Control",0.0822163966401386
"F","375","Control",0.0822083897941051
"F","375","Control",0.0972706184028962
"F","375","Control",0.0968235232808966
