"Sex","Mito","Nuc","Treatment","Y.x","Y.y","avg","diff","rank.x","rank.y"
"F","Bei11","375","Control",0.00109368199665831,0.000991093491720712,0.00104238774418951,-0.0001025885049376,28,30
"F","Bei11","375","Rotenone",0.00119013114649368,0.00118136765493879,0.00118574940071624,-8.76349155489093e-06,22,17
"F","Bei11","Ore","Control",0.00124735630743526,0.00121793208499018,0.00123264419621272,-2.94242224450725e-05,11,13
"F","Bei11","Ore","Rotenone",0.00126341284829721,0.00120063848520072,0.00123202566674896,-6.27743630964967e-05,7,14
"F","Bei23","375","Control",0.00123870623308057,0.00109111055521277,0.00116490839414667,-0.0001475956778678,14,26
"F","Bei23","375","Rotenone",0.00120841854256854,0.00114768253281977,0.00117805053769416,-6.07360097487773e-05,17,20
"F","Bei23","Ore","Control",0.00127813774714564,0.00123101282313748,0.00125457528514156,-4.7124924008156e-05,6,9
"F","Bei23","Ore","Rotenone",0.00125949513420303,0.00121867789745685,0.00123908651582994,-4.08172367461768e-05,8,12
"F","Bei59","375","Control",0.00112593799081036,0.00128393992184502,0.00120493895632769,0.000158001931034659,26,6
"F","Bei59","375","Rotenone",0.00109020789473684,0.0012244645958204,0.00115733624527862,0.000134256701083558,29,10
"F","Bei59","Ore","Control",0.00137691829573935,0.00118928433526829,0.00128310131550382,-0.000187633960471064,2,16
"F","Bei59","Ore","Rotenone",0.00133091197786132,0.00135397855780871,0.00134244526783501,2.30665799473885e-05,3,1
"F","ZH33","375","Control",0.00104061864035088,0.00105153543481374,0.00104607703758231,1.09167944628567e-05,31,29
"F","ZH33","375","Rotenone",0.00110861929824561,0.000970051100071225,0.00103933519915842,-0.000138568198174387,27,32
"F","ZH33","Ore","Control",0.00122616255569479,0.00119498662358884,0.00121057458964182,-3.11759321059498e-05,16,15
"F","ZH33","Ore","Rotenone",0.00120779268745245,0.00117405161899675,0.00119092215322459,-3.37410684557e-05,18,18
"F","ZW133","375","Control",0.00106466140350877,0.000985263069130249,0.00102496223631951,-7.9398334378518e-05,30,31
"F","ZW133","375","Rotenone",0.00102885428849903,0.00112269932089801,0.00107577680469852,9.38450323989877e-05,32,23
"F","ZW133","Ore","Control",0.00123534993077098,0.00124812738527813,0.00124173865802456,1.27774545071492e-05,15,8
"F","ZW133","Ore","Rotenone",0.00125272885716707,0.00116020457229344,0.00120646671473026,-9.25242848736293e-05,10,19
"F","ZW142","375","Control",0.00119568421052632,0.00113719913452132,0.00116644167252382,-5.84850760049925e-05,19,21
"F","ZW142","375","Rotenone",0.00119435826166724,0.0012188464441299,0.00120660235289857,2.44881824626609e-05,20,11
"F","ZW142","Ore","Control",0.00124364656084656,0.0010720532366885,0.00115784989876753,-0.000171593324158055,12,28
"F","ZW142","Ore","Rotenone",0.00124154583333333,0.00133872391037281,0.00129013487185307,9.71780770394766e-05,13,2
"F","siI","375","Control",0.00116100843776107,0.00111107719653265,0.00113604281714686,-4.99312412284233e-05,24,24
"F","siI","375","Rotenone",0.00119281905901117,0.00112652280373318,0.00115967093137217,-6.62962552779864e-05,21,22
"F","siI","Ore","Control",0.00130764438997822,0.00128146250942764,0.00129455344970293,-2.6181880550577e-05,4,7
"F","siI","Ore","Rotenone",0.00128492280128425,0.00129001843963716,0.00128747062046071,5.09563835291425e-06,5,5
"F","yak","375","Control",0.00114289098124098,0.00107808617242537,0.00111048857683318,-6.48048088156133e-05,25,27
"F","yak","375","Rotenone",0.00117653166430569,0.00109284669725559,0.00113468918078064,-8.36849670501005e-05,23,25
"F","yak","Ore","Control",0.00125782615097321,0.00132532758228615,0.00129157686662968,6.750143131294e-05,9,3
