"Mito","Nuc","Treatment","dev","weight_M","climb_F","climb_M","flight_F","flight_M","weight_F"
"375","375","Control",11.3258268964042,0.00065645448070448,2.82952777777778,3.23073148148148,0.830402137079314,0.860384284582136,0.00105984233238954
"375","375","Rotenone",11.4448531599639,0.000603018083743901,2.82469382716049,3.33829320987654,0.813390959712061,0.851602550358396,0.00101103130002713
"Bei04","375","Control",11.1233956447801,0.000679520146520146,3.60421111111111,4.15670555555556,0.785732708593045,0.820762305743821,0.00110524444444444
"Bei04","375","Rotenone",11.1946747974944,0.000663436297036297,3.53632777777778,3.86001666666667,0.766635859519408,0.835535662455508,0.00110402051282051
"Bei04","Ore","Control",9.95121676129951,0.000760630443630446,2.08500740740741,2.25121111111111,0.69090072264463,0.774868930732128,0.00121430755170755
"Bei04","Ore","Rotenone",10.7256190740166,0.000760392385392382,1.96288518518519,2.56135,0.759651346766771,0.694482076920699,0.00120675222308556
"Bei05","375","Control",11.141168000011,0.000778503663003663,2.45976111111111,3.02641388888889,0.806577616573083,0.882248540068375,0.00115858231768232
"Bei05","375","Rotenone",11.0082286858713,0.000761932234432234,2.308475,3.22698888888889,0.810339220921476,0.88529472170877,0.00112704603174603
"Bei05","Ore","Control",11.0050855566996,0.000755264957264959,2.16307222222222,2.70426666666667,0.729238661630368,0.81266884686478,0.00117731666666666
"Bei05","Ore","Rotenone",10.6172903432585,0.000779663919413919,2.16101666666667,2.56294444444444,0.751900546189874,0.804459826169033,0.00128298962148963
"Bei11","375","Control",11.1244193704821,0.000744550341933265,2.90786666666667,3.07318194444444,0.860991776922671,0.860564608425527,0.00107714681704261
"Bei11","375","Rotenone",11.0315998181579,0.000757028718855963,2.61759404761905,3.26316666666667,0.852183989643797,0.862942122186495,0.00115704642095435
"Bei11","Ore","Control",10.5490796612668,0.000838509596171804,1.72503611111111,2.6932,0.693152774342485,0.781752411575563,0.00126008684081656
"Bei11","Ore","Rotenone",10.795873718817,0.000837305420380273,1.81209027777778,2.18457361111111,0.724500680187979,0.817565797308563,0.00120872377414123
"Bei12","375","Control",10.9311371231108,0.000783545177045177,2.45662222222222,3.32537222222222,0.844895787550024,0.858861931209198,0.00125641880341881
"Bei12","375","Rotenone",11.2166107190301,0.000782820512820512,2.8732,3.50558611111111,0.832954704319866,0.868829925627746,0.00124145512820513
"Bei12","Ore","Control",10.6554855118229,0.000717811965811964,1.22366944444444,1.88666388888889,0.732752986693854,0.832829841302769,0.00127834848484849
"Bei12","Ore","Rotenone",10.642018816614,0.000763631562881563,1.62486111111111,1.94544166666667,0.728295819935691,0.847432561792789,0.00126625303030303
"Bei23","375","Control",11.015927738449,0.000747124941702081,3.33072222222222,2.99227361111111,0.853868648251766,0.868890135738794,0.00120416818429279
"Bei23","375","Rotenone",11.125269979082,0.000776366921090602,2.82699583333333,2.90128194444444,0.849699472500683,0.860762316051353,0.00115454480975165
"Bei23","Ore","Control",10.6821129193487,0.000742568575851392,1.68158472222222,2.79788333333333,0.74213466016188,0.832882944516659,0.00128378799990171
"Bei23","Ore","Rotenone",10.9491695787907,0.000790671339947463,1.48512361111111,2.37156527777778,0.735340543700672,0.79225667820925,0.00121358891058718
"Bei38","375","Control",11.4776009310772,0.00069359696969697,3.24662777777778,3.67718333333333,0.751103395061728,0.828497942386831,0.00105939743589744
"Bei38","375","Rotenone",11.5940606003398,0.000669366666666668,3.16103333333333,3.32616111111111,0.759556574923547,0.848747723132969,0.00105856196581196
"Bei38","Ore","Control",11.4430806376264,0.000660265540015538,1.67806111111111,2.07225,0.689126984126984,0.757492225049477,0.00105451582491582
"Bei38","Ore","Rotenone",11.8783047452172,0.000743888888888892,1.41631944444444,2.27312222222222,0.60194885361552,0.744570298453794,0.0011328553113553
"Bei42","375","Control",11.4502094356261,0.000726866666666666,3.17045555555556,3.17999722222222,0.828060296035192,0.868174642794501,0.00111469972826087
"Bei42","375","Rotenone",11.4204081964765,0.000770151255589957,3.29916666666667,3.03846388888889,0.813198662089605,0.864289776766671,0.00121753824786325
"Bei42","Ore","Control",10.8245898199023,0.000839708537581695,2.20911111111111,2.58595277777778,0.639566761511143,0.746605149402535,0.00136251730769231
"Bei42","Ore","Rotenone",11.0384710026693,0.000876550505050507,1.84168888888889,3.04117777777778,0.677475828238305,0.733965613355632,0.00139204444444445
"Bei52","375","Control",10.9635902577054,0.000810121439628483,3.17365,3.537775,0.83118545040911,0.872569840458305,0.00119152457264958
"Bei52","375","Rotenone",11.5167574937094,0.00077171818181818,2.81735,3.42469722222222,0.807073494571868,0.853960429930855,0.00112382205882353
"Bei52","Ore","Control",10.4344357984064,0.000879558441558443,1.51873888888889,2.88223055555556,0.617796262066133,0.774398011690064,0.00131856527777778
"Bei52","Ore","Rotenone",11.0947100707636,0.00088076445374801,1.28699166666667,3.15725277777778,0.707571712192784,0.797109614362039,0.00124818174603175
"Bei54","375","Control",11.1013364928179,0.00114995016339869,3.35936944444444,3.45567222222222,0.829495614035088,0.864625726744186,0.00087859129106188
"Bei54","375","Rotenone",11.3780563242794,0.000944394736842104,3.291275,3.56825555555556,0.805924910156989,0.85112540192926,0.00103564298245614
"Bei54","Ore","Control",10.9348933829414,0.000758956907894738,1.68811388888889,2.59669722222222,0.756296992481203,0.835325168918919,0.00112726694186447
"Bei54","Ore","Rotenone",11.1297366593974,0.00170583333333333,1.12983333333333,1.72375,0.756146675760824,0.820686353319463,0.00102387649572649
"Bei59","375","Control",10.7412691316463,0.000675098275713795,2.99322222222222,3.01086666666667,0.865515734265734,0.858292863175676,0.00115176074340262
"Bei59","375","Rotenone",11.0798681113028,0.00054632403097204,2.74450277777778,3.03942777777778,0.826418088877896,0.848082223242995,0.00109283748538011
"Bei59","Ore","Control",10.654462045981,0.00077629170401494,1.48441388888889,2.90009305555556,0.724373653017241,0.81805199795082,0.00133895990601504
"Bei59","Ore","Rotenone",11.2450494056848,0.000825405973266502,1.23766805555556,1.69230277777778,0.720643402055356,0.787716807097425,0.00128906552005012
"Ore","Ore","Control",10.7149264036374,0.00078934589994736,1.29589382716049,2.29358333333333,0.722865980415766,0.810214954221979,0.0012583627518315
"Ore","Ore","Rotenone",10.8046375179598,0.000863629003288379,1.3624012345679,2.26108395061728,0.721863732540857,0.816357838498346,0.00141428285984848
"ZH23","375","Control",11.2770636670404,0.000655134226884224,2.92986666666667,3.40998611111111,0.799537037037037,0.81770730907899,0.00106399242424242
"ZH23","375","Rotenone",11.8791327984876,0.000610080586080588,2.82473611111111,3.07938333333333,0.810138888888889,0.730570252792475,0.00102764935064936
"ZH23","Ore","Control",11.2510961856264,0.00068963247863248,1.72783333333333,2.29084166666667,0.679543314500942,0.783378500451671,0.00103157070707071
"ZH23","Ore","Rotenone",11.6754340013253,0.000691508058608056,1.62618055555556,2.14452222222222,0.689996834441279,0.795071225071225,0.00115407037037037
"ZH26","375","Control",10.4911477733268,0.000818450183150182,3.31946111111111,3.87787222222222,0.806347995811951,0.835243941732097,0.00127438231213231
"ZH26","375","Rotenone",10.8803727547456,0.000802497028897031,3.33845833333333,3.52294444444444,0.834548344187814,0.842308643951854,0.00116452380952381
"ZH26","Ore","Control",10.7469599656485,0.000961619047619048,1.70778888888889,2.05773962264151,0.685996679170744,0.809046487674029,0.00116306515151516
"ZH26","Ore","Rotenone",10.8346826411588,0.000741527625152621,1.75158333333333,2.951375,0.73447158549157,0.795401364028135,0.00115918333333333
"ZH33","375","Control",11.0567336902102,0.000671355463659149,3.30710416666667,3.16970972222222,0.817306856695924,0.857050427417457,0.00106948558049536
"ZH33","375","Rotenone",11.4854661296825,0.000712209614723081,2.92850555555556,3.24201111111111,0.863922366929607,0.865632455139508,0.00102361269005848
"ZH33","Ore","Control",10.6921642087354,0.000765715254557964,1.79879861111111,2.5754375,0.716367596722332,0.806490331674228,0.00123819240521175
"ZH33","Ore","Rotenone",10.9990892950462,0.000740870877192979,1.71264861111111,2.04993611111111,0.705176848874598,0.822798352957505,0.00116471693115278
"ZH42","375","Control",11.0944328927927,0.000721773892773891,3.33783333333333,3.30274166666667,0.870861302980186,0.857164439072942,0.00111905494505495
"ZH42","375","Rotenone",11.3006473716744,0.000666664957264961,3.08732222222222,3.60506944444444,0.825460663123845,0.827257335466534,0.00105589044289044
"ZH42","Ore","Control",10.857233855239,0.000732485185185186,1.19743888888889,1.89188888888889,0.759454169837991,0.825156813429896,0.00130237777777777
"ZH42","Ore","Rotenone",10.9929929701686,0.000744923076923079,2.020575,2.34691111111111,0.733476754842418,0.803555595629894,0.00116816876456877
"ZW09","375","Control",11.129523730146,0.000772676942355887,3.14540833333333,3.12621388888889,0.775922315347024,0.85425571857671,0.00133005884103642
"ZW09","375","Rotenone",11.4865619024723,0.000829480392156859,2.94201388888889,3.26598333333333,0.79969245968513,0.852433764633395,0.00126996729323308
"ZW09","Ore","Control",10.4655904047311,0.000799950285063519,1.84343787878788,2.51311333333333,0.662203648637788,0.756207542060586,0.0012161315424926
"ZW09","Ore","Rotenone",11.0015433082923,0.000802642901773153,1.99704155844156,2.96513717948718,0.720881744564739,0.789813103306634,0.00125435030414029
"ZW133","375","Control",11.0981054774381,0.000693274153131225,3.22552,3.23644215686275,0.84846627407715,0.875824186469858,0.00105485681718456
"ZW133","375","Rotenone",11.4295599958696,0.00068933893103073,2.67721,3.16434888888889,0.849177621000119,0.656006958016458,0.00106538671679198
"ZW133","Ore","Control",10.5369188555451,0.00104832418042656,1.88567692307692,2.89202916666667,0.753188638799571,0.840319246669729,0.00126496113493318
"ZW133","Ore","Rotenone",11.0526995230582,0.000814212215724495,1.294975,1.90560138888889,0.704024933716929,0.788386088085194,0.00118613981430024
"ZW140","375","Control",11.4066948629083,0.000763012698412703,3.13420833333333,3.51739166666667,0.790827171903882,0.831230745532964,0.00132339705882353
"ZW140","375","Rotenone",11.478992983955,0.000883684210526319,3.03233888888889,3.11596111111111,0.823768089806591,0.864385537444687,0.00135096428571429
"ZW140","Ore","Control",10.5364583333333,0.000852209064327488,1.724225,2.87398333333333,0.693201587474176,0.809681942762445,0.00135730158730158
"ZW140","Ore","Rotenone",10.7961270229539,0.000863734523809522,1.84945833333333,2.91766111111111,0.725695839695679,0.799429672812298,0.00135019487179487
"ZW142","375","Control",10.7372638373733,0.000651072263993317,3.01915277777778,3.10971805555556,0.811234032846715,0.862429617117117,0.00113491216030272
"ZW142","375","Rotenone",10.8289011047704,0.000727826173890611,3.18084861111111,2.975275,0.791434178172877,0.858577866673418,0.00115308044486216
"ZW142","Ore","Control",10.7131418477539,0.000789641633986927,2.0501375,2.84651111111111,0.737363591269841,0.791438356164384,0.00113763121136174
"ZW142","Ore","Rotenone",10.979438891401,0.000717027360066834,1.43253,1.60150694444444,0.724970052329614,0.790156108097494,0.00122934397435898
"ZW144","375","Control",11.3433892351977,0.000856183528265106,3.19519722222222,3.62180555555556,0.850473443259352,0.891284891617696,0.00113901658850409
"ZW144","375","Rotenone",11.2204260598327,0.000727650000000002,3.12760138888889,3.48154615384615,0.821317323151125,0.856029319882355,0.00105683321866759
"ZW144","Ore","Control",10.8051909384187,0.000626436842105263,2.53450277777778,2.75564444444444,0.75750625,0.81320256294964,0.00101974999999999
