"Mito","Nuc","Sex","Build.x","Treatment","Y_adj.x","Build.y","Y_adj.y"
"ZH26","375","F","A","Rotenone",0.862120587721964,"B",0.853445949404021
"ZH26","375","M","A","Control",0.876135033750296,"B",0.853229897664033
"ZH26","375","M","A","Rotenone",0.87087040293385,"B",0.845865242813472
"ZH26","Ore","F","A","Control",0.691432783874719,"B",0.718255643211406
"ZH26","Ore","F","A","Rotenone",0.790991512296087,"B",0.722549059586453
"ZH26","Ore","M","A","Control",0.825019450916132,"B",0.837245518699878
"ZH26","Ore","M","A","Rotenone",0.803545745876349,"B",0.820981501459686
"ZH33","375","F","A","Control",0.80584191950706,"B",0.835069303518764
"ZH33","375","F","A","Rotenone",0.838848560790305,"B",0.845473153868134
"ZH33","375","M","A","Control",0.882591655968493,"B",0.88681607993399
"ZH33","375","M","A","Rotenone",0.866766484810016,"B",0.845241365294543
"ZH33","Ore","F","A","Control",0.758373346374121,"B",0.674373508496848
"ZH33","Ore","F","A","Rotenone",0.639885921072038,"B",0.714895556814571
"ZH33","Ore","M","A","Control",0.823627928321401,"B",0.843101400990212
"ZH33","Ore","M","A","Rotenone",0.812345419642632,"B",0.811388838321868
"ZH42","375","F","A","Control",0.870686630346454,"B",0.859081437941816
"ZH42","375","F","A","Rotenone",0.813533057964671,"B",0.798905192505013
"ZH42","375","M","A","Control",0.823097335760906,"B",0.875820722388863
"ZH42","375","M","A","Rotenone",0.806046027931454,"B",0.808869667735752
"ZH42","Ore","F","A","Control",0.77489632078774,"B",0.74099404166588
"ZH42","Ore","F","A","Rotenone",0.737164509692241,"B",0.696642323240737
"ZH42","Ore","M","A","Control",0.819204825681023,"B",0.82257440418437
"ZH42","Ore","M","A","Rotenone",0.746558158834108,"B",0.815771058332055
"ZW09","375","F","A","Control",0.80231153831555,"B",0.775625734305794
"ZW09","375","F","A","Rotenone",0.79154639381762,"B",0.76523318689117
"ZW09","375","M","A","Control",0.882523921325247,"B",0.845696402982017
"ZW09","375","M","A","Rotenone",0.840076242062216,"B",0.849423744016003
"ZW09","Ore","F","A","Control",0.627268580523255,"B",0.703873440649413
"ZW09","Ore","F","A","Rotenone",0.708486484130774,"B",0.725818081680499
"ZW09","Ore","M","A","Control",0.762924707641006,"B",0.785415499013359
"ZW09","Ore","M","A","Rotenone",0.783737304762096,"B",0.796115957834098
"ZW133","375","F","A","Control",0.853279433942942,"B",0.84309192834067
"ZW133","375","F","A","Rotenone",0.826440012648708,"B",0.830937731667659
"ZW133","375","M","A","Control",0.885976273361017,"B",0.905609676004397
"ZW133","375","M","A","Rotenone",0.55383022639191,"B",0.859638612983646
"ZW133","Ore","F","A","Control",0.806210809333581,"B",0.693245044249413
"ZW133","Ore","F","A","Rotenone",0.749223980237063,"B",0.610383617373593
"ZW133","Ore","M","A","Control",0.880514316317114,"B",0.858836931536835
"ZW133","Ore","M","A","Rotenone",0.809075720510137,"B",0.754217785444596
"ZW140","375","F","A","Control",0.8252943472503,"B",0.782944645196346
"ZW140","375","F","A","Rotenone",0.828883254452494,"B",0.770150830046825
"ZW140","375","M","A","Control",0.873611600793321,"B",0.810100387882693
"ZW140","375","M","A","Rotenone",0.850149220018743,"B",0.861140262248233
"ZW140","Ore","F","A","Control",0.697599989422253,"B",0.726591091171813
"ZW140","Ore","F","A","Rotenone",0.759785524551534,"B",0.662087901147726
"ZW140","Ore","M","A","Control",0.808087985521474,"B",0.831206549028208
"ZW140","Ore","M","A","Rotenone",0.814202429813965,"B",0.7757510048817
"ZW142","375","F","A","Control",0.726420335151372,"B",0.795857054901693
"ZW142","375","F","A","Rotenone",0.74108508632265,"B",0.823673667525424
"ZW142","375","M","A","Control",0.844032408859083,"B",0.826555377812799
"ZW142","375","M","A","Rotenone",0.821434405627031,"B",0.83090240843147
"ZW142","Ore","F","A","Control",0.67619869526109,"B",0.699057785017683
"ZW142","Ore","F","A","Rotenone",0.706887089785425,"B",0.729021024982061
"ZW142","Ore","M","A","Control",0.780864737577154,"B",0.749696603774337
"ZW142","Ore","M","A","Rotenone",0.806901489736017,"B",0.711740238116303
"ZW144","375","F","A","Control",0.790280211488271,"B",0.841650987649869
"ZW144","375","F","A","Rotenone",0.780332394181082,"B",0.81986784195766
"ZW144","375","M","A","Control",0.874137641510186,"B",0.890235222005398
"ZW144","375","M","A","Rotenone",0.827045238553873,"B",0.834110184286133
"ZW144","Ore","F","A","Control",0.684107610869076,"B",0.729273777664742
"ZW144","Ore","F","A","Rotenone",0.766201525281805,"B",0.719432141197036
"ZW144","Ore","M","A","Control",0.805308736127278,"B",0.76871685025321
"ZW144","Ore","M","A","Rotenone",0.777455229654841,"B",0.7883281270689
"Zim53","375","F","A","Control",0.868077642359686,"B",0.845588543893397
"Zim53","375","F","A","Rotenone",0.819443651526033,"B",0.827594452279218
"Zim53","375","M","A","Control",0.842978558618766,"B",0.856107576232468
"Zim53","375","M","A","Rotenone",0.839645306000735,"B",0.825948255812002
"Zim53","Ore","F","A","Control",0.736096633517242,"B",0.728198723549397
"Zim53","Ore","F","A","Rotenone",0.706354312006545,"B",0.751993922678311
"Zim53","Ore","M","A","Control",0.763858464707675,"B",0.806195013475092
"Zim53","Ore","M","A","Rotenone",0.801706783180751,"B",0.806308704949837
"siI","375","F","A","Control",0.790667868720598,"B",0.822416111596342
"siI","375","F","A","Rotenone",0.821538365140023,"B",0.814353282485595
"siI","375","M","A","Control",0.841393454811103,"B",0.867785722534179
"siI","375","M","A","Rotenone",0.845016727032664,"B",0.853045375160928
"siI","Ore","F","A","Control",0.690334424297889,"B",0.700656506819545
"siI","Ore","F","A","Rotenone",0.687250388775847,"B",0.718436718415513
"siI","Ore","M","A","Control",0.775294233448084,"B",0.78680334297259
"siI","Ore","M","A","Rotenone",0.781445844084693,"B",0.784682449251607
"yak","375","F","A","Control",0.820545504183607,"B",0.803555961194928
"yak","375","F","A","Rotenone",0.81265591232351,"B",0.824222125993102
"yak","375","M","A","Control",0.847485544526005,"B",0.859175384654435
"yak","375","M","A","Rotenone",0.842058746582788,"B",0.843786063982749
"yak","Ore","F","A","Control",0.69315733996841,"B",0.693707058992412
"yak","Ore","F","A","Rotenone",0.741002819615237,"B",0.729066033214051
"yak","Ore","M","A","Control",0.792965638078202,"B",0.836938068797841
"yak","Ore","M","A","Rotenone",0.789732148667411,"B",0.797456933382039
