"Sex","Nuc","Treatment","n","min","q1","median","q3","max","whisker_lower","whisker_upper","n_outliers"
"F","375","Control",1000,0.0227735746507993,0.0318762521240054,0.034673977022967,0.0376631666086054,0.0470113135469906,0.0233913736137848,0.0461220458037115,3
"F","375","Rotenone",1000,0.0166523475820111,0.0233493547083191,0.0255279692532168,0.0275701683702706,0.0351276799606624,0.0170465464127661,0.0338747262875973,7
"F","Ore","Control",1000,0.017708634757835,0.0361576280202424,0.0402451047131827,0.0447079883505355,0.0590100164540438,0.0236871616083029,0.0556167135530597,13
"F","Ore","Rotenone",1000,0.0181415317709457,0.0398795262142087,0.0451203106550844,0.0511008520806865,0.0701013617843508,0.0232794955493101,0.0677716119050317,6
"M","375","Control",1000,0.0163252604207439,0.0229628130330728,0.0244500854485413,0.0259438621580048,0.0311575213735967,0.0185912087191605,0.0299693960651819,13
"M","375","Rotenone",1000,0.0126526823546197,0.0320995512444798,0.0438025997646785,0.050892562547469,0.0735982448774514,0.0126526823546197,0.0735982448774514,0
"M","Ore","Control",1000,0.0174797578830355,0.0303788745470023,0.0340267154507914,0.0377377460928825,0.0481440248365579,0.019427393054277,0.0481440248365579,3
"M","Ore","Rotenone",1000,0.0145273569515148,0.0267931022145284,0.030905876405343,0.0345084222493576,0.0449804512026757,0.0156394908047097,0.0449804512026757,2
