"Nuc","emmean","SE","df","lower.CL","upper.CL"
"375",0.70876554469853,0.00684290143936076,121.194026470541,0.695218435449232,0.722312653947828
"Ore",0.751796144015831,0.00670013653386149,112.024711835525,0.738520714310526,0.765071573721136
