"Nuc","emmean","SE","df","asymp.LCL","asymp.UCL"
"375",0.815996305417908,0.00376783531592459,Inf,0.808611483899018,0.823381126936799
"Ore",0.709990056777345,0.00396197931680307,Inf,0.702224720008918,0.717755393545772
