"Mito","emmean","SE","df","lower.CL","upper.CL","mitoOrig"
"Bei54",0.581716967822457,0.0423885013016279,512.073958191917,0.498440202772605,0.664993732872309,"Beijing"
"ZH33",0.66293210655398,0.0166753919035807,40.761484212096,0.62924948385571,0.69661472925225,"Zimbabwe"
"Bei59",0.672505545077656,0.0188220058669443,65.1555373003856,0.634917104712061,0.71009398544325,"Beijing"
"ZW142",0.674515913804184,0.0180415485440672,54.3741781853976,0.638350486605267,0.710681341003101,"Zimbabwe"
"Bei23",0.678355277828748,0.0169066381485927,42.901415352147,0.644257526645386,0.712453029012111,"Beijing"
"ZW133",0.681896254936137,0.01662095154703,38.3930668642056,0.648260206571082,0.715532303301191,"Zimbabwe"
"ZW144",0.687798375559725,0.0314088768483955,269.498287669549,0.625960405327654,0.749636345791796,"Zimbabwe"
"ZH42",0.700322308343221,0.0215278383780167,108.702531525474,0.657653522020216,0.742991094666227,"Zimbabwe"
"ZH23",0.725639403747814,0.0215278383780167,108.702531525474,0.682970617424809,0.768308190070819,"Zimbabwe"
"Bei11",0.734742823356013,0.0166753919035808,40.7614842120955,0.701060200657742,0.768425446054283,"Beijing"
"siI",0.738898533531657,0.0106349951987974,3.94883268123918,0.709219547675267,0.768577519388048,"D.simulans"
"Bei42",0.741203085706347,0.026366109645623,216.867251359985,0.689236457396575,0.79316971401612,"Beijing"
"Bei05",0.752701723835136,0.0215278383780168,108.702531525473,0.71003293751213,0.795370510158141,"Beijing"
"Bei38",0.755830082513494,0.0215278383780167,108.702531525473,0.713161296190489,0.798498868836499,"Beijing"
"ZW09",0.763541786880701,0.0223013490570403,92.0475074458716,0.719249687253378,0.807833886508023,"Zimbabwe"
"Bei04",0.767931888847602,0.019684377262767,69.6974589894306,0.728669640009537,0.807194137685666,"Beijing"
"Bei52",0.77342447367242,0.026366109645623,216.867251359985,0.721457845362647,0.825391101982193,"Beijing"
"yak",0.77480091885703,0.0103723857188988,3.87648319173492,0.745637039104353,0.803964798609707,"D.yakuba"
"Zim53",0.776061403738569,0.0215278383780167,108.702531525474,0.733392617415564,0.818730190061575,"Zimbabwe"
"ZW140",0.778543968753149,0.0274451237714805,239.733590249866,0.724479579866836,0.832608357639462,"Zimbabwe"
"Bei12",0.80443136710853,0.0215278383780167,108.702531525474,0.761762580785525,0.847100153431535,"Beijing"
"ZH26",0.8383843653834,0.0220612161691912,117.7229310626,0.794696086047675,0.882072644719124,"Zimbabwe"
