"Nuc","emmean","SE","df","asymp.LCL","asymp.UCL"
"375",3.09689359526786,0.0376693126753368,Inf,3.02306309910182,3.1707240914339
"Ore",1.75805946297406,0.0375820994102937,Inf,1.68439990166648,1.83171902428164
