"Treatment","emmean","SE","df","asymp.LCL","asymp.UCL"
"Control",3.06533201773854,0.0369426088043251,Inf,2.99292583498711,3.13773820048997
"Rotenone",2.75641578665604,0.0369520670307988,Inf,2.68399106612137,2.82884050719072
