"Mito","Nuc","Treatment","Build","Y_avg"
"ZW142","375","Control","B",0.795857054901693
"ZW142","375","Rotenone","A",0.74108508632265
"ZW142","375","Rotenone","B",0.823673667525424
"ZW142","Ore","Control","A",0.67619869526109
"ZW142","Ore","Control","B",0.699057785017683
"ZW142","Ore","Rotenone","A",0.706887089785425
"ZW142","Ore","Rotenone","B",0.729021024982061
"ZW144","375","Control","A",0.790280211488271
"ZW144","375","Control","B",0.841650987649869
"ZW144","375","Rotenone","A",0.780332394181082
"ZW144","375","Rotenone","B",0.81986784195766
"ZW144","Ore","Control","A",0.684107610869076
"ZW144","Ore","Control","B",0.729273777664742
"ZW144","Ore","Rotenone","A",0.766201525281805
"ZW144","Ore","Rotenone","B",0.719432141197036
"Zim53","375","Control","A",0.868077642359686
"Zim53","375","Control","B",0.845588543893397
"Zim53","375","Rotenone","A",0.819443651526033
"Zim53","375","Rotenone","B",0.827594452279218
"Zim53","Ore","Control","A",0.736096633517242
"Zim53","Ore","Control","B",0.728198723549397
"Zim53","Ore","Rotenone","A",0.706354312006545
"Zim53","Ore","Rotenone","B",0.751993922678311
"siI","375","Control","A",0.790667868720598
"siI","375","Control","B",0.822416111596342
"siI","375","Rotenone","A",0.821538365140023
"siI","375","Rotenone","B",0.814353282485595
"siI","Ore","Control","A",0.690334424297889
"siI","Ore","Control","B",0.700656506819545
"siI","Ore","Rotenone","A",0.687250388775847
"siI","Ore","Rotenone","B",0.718436718415513
"yak","375","Control","A",0.820545504183607
"yak","375","Control","B",0.803555961194928
"yak","375","Rotenone","A",0.81265591232351
"yak","375","Rotenone","B",0.824222125993102
"yak","Ore","Control","A",0.69315733996841
"yak","Ore","Control","B",0.693707058992412
"yak","Ore","Rotenone","A",0.741002819615237
"yak","Ore","Rotenone","B",0.729066033214051
