"Mito","Nuc","Treatment","Build","Y_avg"
"ZW140","Ore","Rotenone","B",1.27377544848111
"ZW142","375","Control","A",1.25972025202009
"ZW142","375","Control","B",1.02264329983571
"ZW142","375","Rotenone","A",1.15788483366993
"ZW142","375","Rotenone","B",1.07959762815614
"ZW142","Ore","Control","A",1.2064899330855
"ZW142","Ore","Control","B",1.08131172088834
"ZW142","Ore","Rotenone","A",1.17518911938422
"ZW142","Ore","Rotenone","B",1.21482040143549
"ZW144","375","Control","A",1.13681044127228
"ZW144","375","Control","B",1.26906842617738
"ZW144","375","Rotenone","A",1.07280000050859
"ZW144","375","Rotenone","B",1.35421342622976
"ZW144","Ore","Control","A",0.894245049553996
"ZW144","Ore","Control","B",1.33214504955399
"ZW144","Ore","Rotenone","A",1.26163986733251
"ZW144","Ore","Rotenone","B",1.45594939114203
"Zim53","375","Control","A",1.26162812864812
"Zim53","375","Control","B",0.953405906425886
"Zim53","375","Rotenone","A",1.25587649689662
"Zim53","375","Rotenone","B",1.11297234549247
"Zim53","Ore","Control","A",1.43712812864811
"Zim53","Ore","Control","B",1.41181616283615
"Zim53","Ore","Rotenone","A",1.23373857925871
"Zim53","Ore","Rotenone","B",1.2200382795584
"siI","375","Control","A",1.14193863260155
"siI","375","Control","B",1.04464787654345
"siI","375","Rotenone","A",1.09890341485829
"siI","375","Rotenone","B",1.14026298824962
"siI","Ore","Control","A",1.28534702562209
"siI","Ore","Control","B",1.25250212410892
"siI","Ore","Rotenone","A",1.27593753309725
"siI","Ore","Rotenone","B",1.22457423628473
"yak","375","Control","A",1.07688341038294
"yak","375","Control","B",1.08953092951655
"yak","375","Rotenone","A",1.1019706090995
"yak","375","Rotenone","B",1.03244498794292
"yak","Ore","Control","A",1.30044209938097
"yak","Ore","Control","B",1.30114039618203
"yak","Ore","Rotenone","A",1.3225829537671
"yak","Ore","Rotenone","B",1.2798847023065
