"Mito","Nuc","Treatment","Build","Y_avg"
"ZW142","375","Control","A",3.32531199552649
"ZW142","375","Control","B",3.16845921774871
"ZW142","375","Rotenone","A",3.29459364924258
"ZW142","375","Rotenone","B",2.77288809368703
"ZW142","Ore","Control","A",3.05305366219316
"ZW142","Ore","Control","B",2.91430366219316
"ZW142","Ore","Rotenone","A",1.90243809368703
"ZW142","Ore","Rotenone","B",1.41750753813147
"ZW144","375","Control","A",3.75707287515612
"ZW144","375","Control","B",3.62020018997094
"ZW144","375","Rotenone","A",3.44011050109443
"ZW144","375","Rotenone","B",3.39962860294629
"ZW144","Ore","Control","A",2.44188352330427
"ZW144","Ore","Control","B",3.29659463441538
"ZW144","Ore","Rotenone","A",1.81292860294629
"ZW144","Ore","Rotenone","B",1.5576397140574
"Zim53","375","Control","A",3.58660630108204
"Zim53","375","Control","B",4.72518407885982
"Zim53","375","Rotenone","A",3.64576378813148
"Zim53","375","Rotenone","B",4.77981934368703
"Zim53","Ore","Control","A",1.94302296774871
"Zim53","Ore","Control","B",1.99513963441538
"Zim53","Ore","Rotenone","A",2.1450860103537
"Zim53","Ore","Rotenone","B",1.93690823257592
"siI","375","Control","A",3.31514455435412
"siI","375","Control","B",3.73182692608205
"siI","375","Rotenone","A",3.23620588882592
"siI","375","Rotenone","B",3.22790308211295
"siI","Ore","Control","A",2.16409185602844
"siI","Ore","Control","B",3.17211581497094
"siI","Ore","Rotenone","A",2.10803644438147
"siI","Ore","Rotenone","B",2.43487808211295
"yak","375","Control","A",3.30966963380622
"yak","375","Control","B",3.30156720385982
"yak","375","Rotenone","A",3.24965588882592
"yak","375","Rotenone","B",2.82654335989073
"yak","Ore","Control","A",2.71873170400602
"yak","Ore","Control","B",2.30306581497094
"yak","Ore","Rotenone","A",2.80201422215925
"yak","Ore","Rotenone","B",2.57457113766851
