"Treatment","emmean","SE","df","asymp.LCL","asymp.UCL"
"Control",2.588559440675,0.0295838226286926,Inf,2.53057621379774,2.64654266755226
"Rotenone",2.26639361756692,0.0296254284931764,Inf,2.20832884469373,2.32445839044012
