"type","climb","PC1","PC2","PC3","name","mitoOrig"
"GEN",2.84864226905811,0.0044066342069887,0.0139075164139028,-0.118622940618491,"375","parental"
"GEN",3.1854358602744,0.491589605976643,-0.132460870607153,0.335969020628249,"Bei04","Beijing"
"GEN",2.93030166497713,-0.296223954330563,-0.0244874357729259,-0.13125075775469,"Bei05","Beijing"
"GEN",2.78830913025491,-0.191476659420514,0.175866366792531,-0.118716470204511,"Bei11","Beijing"
"GEN",3.14372601682898,0.386906582556615,0.073989637418001,-0.0934955220411488,"Bei12","Beijing"
"GEN",2.75052961636602,-0.416603944424838,0.0179442365163814,0.0561190638150597,"Bei23","Beijing"
"GEN",2.91284166254048,0.333694305067006,-0.184395494402844,0.0757019748385506,"Bei38","Beijing"
"GEN",2.81605860942158,-0.314610541931735,-0.434834599626347,-0.0518210575423364,"Bei42","Beijing"
"GEN",3.1051495816438,-0.239435627210978,-0.304401957070881,-0.021837731499561,"Bei52","Beijing"
"GEN",3.00114981312528,0.191601404357435,0.318097224275916,-0.264970024131045,"Bei54","Beijing"
"GEN",2.75848928071787,-0.271281485639746,0.421614831331397,-0.0798473060328355,"Bei59","Beijing"
"GEN",2.77484413648636,0.0158822988390506,-0.0474491509332234,-0.0145577355812593,"Ore","parental"
"GEN",2.9237753311086,-0.0230121572615698,0.00792342798174631,0.0333240873594582,"siI","D.simulans"
"GEN",2.88572737064843,-0.138533778027744,-0.34913473738947,-0.131111677151087,"yak","D.yakuba"
"GEN",2.80684582920715,0.0895121170002029,-0.0867206469551906,0.0573033194831768,"ZH23","Zimbabwe"
"GEN",3.16458750527231,0.202144126059676,-0.488855696718714,0.224200378356616,"ZH26","Zimbabwe"
"GEN",2.74405218581046,-0.0958247228514992,0.211331981079955,0.0167514883999102,"ZH33","Zimbabwe"
"GEN",2.83680097053268,0.329129880821371,-0.100063514944004,-0.166026701126145,"ZH42","Zimbabwe"
"GEN",3.09469129460676,0.858060596527553,0.123869980859631,-0.128115311484192,"Zim53","Zimbabwe"
"GEN",2.81577510619737,-0.218666292520391,-0.29722068518085,-0.252054059711164,"ZW09","Zimbabwe"
"GEN",2.78051905984596,-0.238700657218903,0.391939404084619,0.230701094776458,"ZW133","Zimbabwe"
"GEN",2.96090999831047,-0.311908086577931,-0.232075888110714,0.262380045193759,"ZW140","Zimbabwe"
"GEN",2.7310694890512,-0.226833973894624,0.444268177272348,0.0862275444766508,"ZW142","Zimbabwe"
"GEN",2.91575733048639,0.0801843298984939,0.481347893685888,0.193749277550585,"ZW144","Zimbabwe"
"ENV",3.49748190790534,0.627683995842866,0.0296059451977655,0.588298076198179,"375:Control","parental"
"ENV",3.242231089291,0.776532489160997,0.408648360378402,-0.484752359989747,"375:Rotenone","parental"
"ENV",2.61642375139938,-1.06748402916691,0.661628893733639,0.0379151202771184,"Ore:Control","parental"
"ENV",2.25652810353306,-0.33673245583695,-1.09988319930981,-0.141460836485551,"Ore:Rotenone","parental"
