"type","climb","PC1","PC2","PC3","name","mitoOrig"
"GEN",2.22433164216558,-0.00127110739009532,-0.0110794229843777,0.0776264667330145,"375","parental"
"GEN",2.65400704453047,-0.0400577347581622,-0.123424794127923,0.32751955267574,"Bei04","Beijing"
"GEN",2.31506688249344,-0.867584579968129,0.0823855133466622,-0.0650816931752797,"Bei05","Beijing"
"GEN",2.16753317661959,-0.261177878083491,-0.0328725802990407,-0.152627939052806,"Bei11","Beijing"
"GEN",2.15597530841936,-0.11127955491552,-0.295882306754822,0.275702913184585,"Bei12","Beijing"
"GEN",2.22446474128973,0.134986436738921,0.105141152005928,-0.291411234867664,"Bei23","Beijing"
"GEN",2.68595947508603,0.280962926101435,0.273963549731249,-0.153685890939448,"Bei38","Beijing"
"GEN",2.84265831767862,-0.0877099289059208,0.127880910667754,0.209091749613262,"Bei42","Beijing"
"GEN",2.41129755378973,0.206086694436629,0.06015420428614,-0.148423051592248,"Bei52","Beijing"
"GEN",2.47585993804899,0.464761652703662,0.0988906478568916,0.168604954848599,"Bei54","Beijing"
"GEN",2.09592996119714,0.136388734913158,0.033190459552742,-0.0423909414246568,"Bei59","Beijing"
"GEN",2.06536515780072,-0.0117018690673393,-0.101628651077515,-0.0220863000675406,"Ore","parental"
"GEN",2.42889762075402,-0.33166534372342,0.0222027806498613,0.071688106855578,"siI","D.simulans"
"GEN",2.32846887034066,-0.204088606465232,-0.170840024408084,-0.112070227447477,"yak","D.yakuba"
"GEN",2.58760322508603,-0.082428688653972,0.230158672169548,-0.187160061495737,"ZH23","Zimbabwe"
"GEN",2.34175224128973,0.0461257167086084,-0.342628461674306,0.345817936216663,"ZH26","Zimbabwe"
"GEN",2.33012238017862,0.023076100870068,0.0430945148265206,-0.21719588971826,"ZH33","Zimbabwe"
"GEN",2.45277799360455,0.148529741434738,-0.51431770918411,-0.236869900648947,"ZH42","Zimbabwe"
"GEN",2.50708641953047,0.477386329792447,-0.282070632449626,0.00520022810241699,"Zim53","Zimbabwe"
"GEN",2.6011868183456,-0.0559340042550444,-0.283075844889297,-0.118433982322788,"ZW09","Zimbabwe"
"GEN",2.17174886896279,0.0805798826334325,0.340446401882235,-0.311710882542903,"ZW133","Zimbabwe"
"GEN",2.64717255378973,-0.0494302778833341,-0.139018795770324,-0.0139183454841574,"ZW140","Zimbabwe"
"GEN",2.39726939020949,0.0484652426799723,0.226956176564456,0.29376261002824,"ZW142","Zimbabwe"
"GEN",2.58529815178356,0.0569801150565865,0.65237424007944,0.298051822521817,"ZW144","Zimbabwe"
"ENV",3.2311310803357,0.655656755377182,0.0746381790914219,-0.690825847598952,"375:Control","parental"
"ENV",2.91601851798726,0.617820096252515,-0.221254682748042,0.690752413581927,"375:Rotenone","parental"
"ENV",1.89049476674375,-0.528933586790557,0.91332121616916,0.121694843023006,"Ore:Control","parental"
"ENV",1.57866125709906,-0.744543264839139,-0.76670471251254,-0.12162140900598,"Ore:Rotenone","parental"
