"Nuc","emmean","SE","df","asymp.LCL","asymp.UCL"
"375",3.37832950876642,0.0484425261346353,Inf,3.28338390222239,3.47327511531044
"Ore",2.44341829562817,0.0483835697266409,Inf,2.34858824152047,2.53824834973587
