"Mito","Nuc","Treatment","Build","Y_avg","mitoOrig"
"ZH33","Ore","Control","B",1.17991572020859,"Zimbabwe"
"ZH33","Ore","Rotenone","A",1.09987717280826,"Zimbabwe"
"ZH33","Ore","Rotenone","B",1.11789073985353,"Zimbabwe"
"ZH42","375","Control","A",1.0124003258953,"Zimbabwe"
"ZH42","375","Control","B",1.10349190098689,"Zimbabwe"
"ZH42","375","Rotenone","A",0.999591265461388,"Zimbabwe"
"ZH42","375","Rotenone","B",1.03632320019332,"Zimbabwe"
"ZH42","Ore","Control","A",1.11724672394169,"Zimbabwe"
"ZH42","Ore","Control","B",1.36529116838615,"Zimbabwe"
"ZH42","Ore","Rotenone","A",1.15866072933086,"Zimbabwe"
"ZH42","Ore","Rotenone","B",1.1018103796805,"Zimbabwe"
"ZW09","375","Control","A",1.18303982112661,"Zimbabwe"
"ZW09","375","Control","B",1.28791380572044,"Zimbabwe"
"ZW09","375","Rotenone","A",1.19098570489136,"Zimbabwe"
"ZW09","375","Rotenone","B",1.17772029135752,"Zimbabwe"
"ZW09","Ore","Control","A",1.20376183203624,"Zimbabwe"
"ZW09","Ore","Control","B",1.17146369522722,"Zimbabwe"
"ZW09","Ore","Rotenone","A",1.25790590691156,"Zimbabwe"
"ZW09","Ore","Rotenone","B",1.26291972810497,"Zimbabwe"
"ZW133","375","Control","A",0.983611773219907,"Zimbabwe"
"ZW133","375","Control","B",1.02096633544819,"Zimbabwe"
"ZW133","375","Rotenone","A",1.0196572669543,"Zimbabwe"
"ZW133","375","Rotenone","B",1.00412796085063,"Zimbabwe"
"ZW133","Ore","Control","A",1.17624493517663,"Zimbabwe"
"ZW133","Ore","Control","B",1.24246008157822,"Zimbabwe"
"ZW133","Ore","Rotenone","A",1.09273271022405,"Zimbabwe"
"ZW133","Ore","Rotenone","B",1.16788096873265,"Zimbabwe"
"ZW140","375","Control","A",1.11991797238711,"Zimbabwe"
"ZW140","375","Control","B",1.33771209003417,"Zimbabwe"
"ZW140","375","Rotenone","A",1.28011427631993,"Zimbabwe"
"ZW140","375","Rotenone","B",1.25058570489137,"Zimbabwe"
"ZW140","Ore","Control","A",1.19275130572044,"Zimbabwe"
"ZW140","Ore","Control","B",1.33268781365696,"Zimbabwe"
"ZW140","Ore","Rotenone","A",1.25538570489135,"Zimbabwe"
"ZW140","Ore","Rotenone","B",1.27377544848111,"Zimbabwe"
"ZW142","375","Control","A",1.25972025202009,"Zimbabwe"
"ZW142","375","Control","B",1.02264329983571,"Zimbabwe"
"ZW142","375","Rotenone","A",1.15788483366993,"Zimbabwe"
"ZW142","375","Rotenone","B",1.07959762815614,"Zimbabwe"
"ZW142","Ore","Control","A",1.2064899330855,"Zimbabwe"
"ZW142","Ore","Control","B",1.08131172088834,"Zimbabwe"
"ZW142","Ore","Rotenone","A",1.17518911938422,"Zimbabwe"
"ZW142","Ore","Rotenone","B",1.21482040143549,"Zimbabwe"
"ZW144","375","Control","A",1.13681044127228,"Zimbabwe"
"ZW144","375","Control","B",1.26906842617738,"Zimbabwe"
"ZW144","375","Rotenone","A",1.07280000050859,"Zimbabwe"
"ZW144","375","Rotenone","B",1.35421342622976,"Zimbabwe"
"ZW144","Ore","Control","A",0.894245049553996,"Zimbabwe"
"ZW144","Ore","Control","B",1.33214504955399,"Zimbabwe"
"ZW144","Ore","Rotenone","A",1.26163986733251,"Zimbabwe"
"ZW144","Ore","Rotenone","B",1.45594939114203,"Zimbabwe"
"Zim53","375","Control","A",1.26162812864812,"Zimbabwe"
"Zim53","375","Control","B",0.953405906425886,"Zimbabwe"
"Zim53","375","Rotenone","A",1.25587649689662,"Zimbabwe"
"Zim53","375","Rotenone","B",1.11297234549247,"Zimbabwe"
"Zim53","Ore","Control","A",1.43712812864811,"Zimbabwe"
"Zim53","Ore","Control","B",1.41181616283615,"Zimbabwe"
"Zim53","Ore","Rotenone","A",1.23373857925871,"Zimbabwe"
"Zim53","Ore","Rotenone","B",1.2200382795584,"Zimbabwe"
"siI","375","Control","A",1.14193863260155,"D.simulans"
"siI","375","Control","B",1.04464787654345,"D.simulans"
"siI","375","Rotenone","A",1.09890341485829,"D.simulans"
"siI","375","Rotenone","B",1.14026298824962,"D.simulans"
"siI","Ore","Control","A",1.28534702562209,"D.simulans"
"siI","Ore","Control","B",1.25250212410892,"D.simulans"
"siI","Ore","Rotenone","A",1.27593753309725,"D.simulans"
"siI","Ore","Rotenone","B",1.22457423628473,"D.simulans"
"yak","375","Control","A",1.07688341038294,"D.yakuba"
"yak","375","Control","B",1.08953092951655,"D.yakuba"
"yak","375","Rotenone","A",1.1019706090995,"D.yakuba"
"yak","375","Rotenone","B",1.03244498794292,"D.yakuba"
"yak","Ore","Control","A",1.30044209938097,"D.yakuba"
"yak","Ore","Control","B",1.30114039618203,"D.yakuba"
"yak","Ore","Rotenone","A",1.3225829537671,"D.yakuba"
"yak","Ore","Rotenone","B",1.2798847023065,"D.yakuba"
