"Treatment","emmean","SE","df","asymp.LCL","asymp.UCL"
"Control",0.832386949623698,0.00353881210931915,Inf,0.825451005341378,0.839322893906018
"Rotenone",0.80659622793587,0.00350683904332583,Inf,0.799722949711373,0.813469506160368
