Mito,Nuc,Sex,Rep,Slope,Build,Vial,Set,Treatment,Stock,Set_adj,Pos_adj,Y_adj
375,375,F,1,2.1872,parental,1,1,Rotenone,375,2.20929814814815,2.28314493771958,2.26104678957143
375,375,F,1,2.3031,parental,2,1,Rotenone,375,2.20929814814815,2.28314493771958,2.37694678957143
375,375,F,1,2.3474,parental,3,1,Rotenone,375,2.20929814814815,2.28314493771958,2.42124678957143
375,375,F,1,2.5902,parental,4,1,Rotenone,375,2.20929814814815,2.28314493771958,2.66404678957143
375,375,F,1,2.7419,parental,5,1,Rotenone,375,2.20929814814815,2.28314493771958,2.81574678957143
375,375,F,1,2.4779,parental,6,1,Rotenone,375,2.20929814814815,2.28314493771958,2.55174678957143
375,375,F,2,3.2607,parental,1,1,Rotenone,375,2.20929814814815,2.28314493771958,3.33454678957143
375,375,F,2,2.3755,parental,2,1,Rotenone,375,2.20929814814815,2.28314493771958,2.44934678957143
375,375,F,2,2.2385,parental,3,1,Rotenone,375,2.20929814814815,2.28314493771958,2.31234678957143
375,375,F,2,3.7217,parental,4,1,Rotenone,375,2.20929814814815,2.28314493771958,3.79554678957143
375,375,F,2,2.7367,parental,5,1,Rotenone,375,2.20929814814815,2.28314493771958,2.81054678957143
375,375,F,2,2.8046,parental,6,1,Rotenone,375,2.20929814814815,2.28314493771958,2.87844678957143
375,375,F,3,2.4678,parental,1,1,Rotenone,375,2.20929814814815,2.28314493771958,2.54164678957143
375,375,F,3,3.0451,parental,2,1,Rotenone,375,2.20929814814815,2.28314493771958,3.11894678957143
375,375,F,3,2.7371,parental,3,1,Rotenone,375,2.20929814814815,2.28314493771958,2.81094678957143
375,375,F,3,3.0091,parental,4,1,Rotenone,375,2.20929814814815,2.28314493771958,3.08294678957143
375,375,F,3,2.1848,parental,5,1,Rotenone,375,2.20929814814815,2.28314493771958,2.25864678957143
375,375,F,3,3.4954,parental,6,1,Rotenone,375,2.20929814814815,2.28314493771958,3.56924678957143
375,375,F,1,2.8667,parental,1,1,Control,375,2.24363611111111,2.38444825581395,3.00751214470284
375,375,F,1,3.431,parental,2,1,Control,375,2.24363611111111,2.38444825581395,3.57181214470284
375,375,F,1,3.3871,parental,3,1,Control,375,2.24363611111111,2.38444825581395,3.52791214470284
375,375,F,1,2.5355,parental,4,1,Control,375,2.24363611111111,2.38444825581395,2.67631214470284
375,375,F,1,3.2369,parental,5,1,Control,375,2.24363611111111,2.38444825581395,3.37771214470284
375,375,F,1,3.1928,parental,6,1,Control,375,2.24363611111111,2.38444825581395,3.33361214470284
375,375,F,2,3.4956,parental,1,1,Control,375,2.24363611111111,2.38444825581395,3.63641214470284
375,375,F,2,2.4043,parental,2,1,Control,375,2.24363611111111,2.38444825581395,2.54511214470284
375,375,F,2,3.7438,parental,3,1,Control,375,2.24363611111111,2.38444825581395,3.88461214470284
375,375,F,2,3.1171,parental,4,1,Control,375,2.24363611111111,2.38444825581395,3.25791214470284
375,375,F,2,3.9037,parental,5,1,Control,375,2.24363611111111,2.38444825581395,4.04451214470284
375,375,F,2,2.6959,parental,6,1,Control,375,2.24363611111111,2.38444825581395,2.83671214470284
375,375,F,3,2.6303,parental,1,1,Control,375,2.24363611111111,2.38444825581395,2.77111214470284
375,375,F,3,2.8015,parental,2,1,Control,375,2.24363611111111,2.38444825581395,2.94231214470284
375,375,F,3,3.6808,parental,3,1,Control,375,2.24363611111111,2.38444825581395,3.82161214470284
375,375,F,3,2.6089,parental,4,1,Control,375,2.24363611111111,2.38444825581395,2.74971214470284
375,375,F,3,3.7323,parental,5,1,Control,375,2.24363611111111,2.38444825581395,3.87311214470284
375,375,F,3,4.0779,parental,6,1,Control,375,2.24363611111111,2.38444825581395,4.21871214470284
375,375,M,1,3.7937,parental,1,1,Rotenone,375,2.62182314814815,2.80163090211132,3.97350775396318
375,375,M,1,3.5062,parental,2,1,Rotenone,375,2.62182314814815,2.80163090211132,3.68600775396318
375,375,M,1,3.3233,parental,3,1,Rotenone,375,2.62182314814815,2.80163090211132,3.50310775396318
375,375,M,1,4.8897,parental,4,1,Rotenone,375,2.62182314814815,2.80163090211132,5.06950775396318
375,375,M,1,3.0022,parental,5,1,Rotenone,375,2.62182314814815,2.80163090211132,3.18200775396318
375,375,M,1,2.4203,parental,6,1,Rotenone,375,2.62182314814815,2.80163090211132,2.60010775396318
375,375,M,2,3.0544,parental,1,1,Rotenone,375,2.62182314814815,2.80163090211132,3.23420775396318
375,375,M,2,3.7859,parental,2,1,Rotenone,375,2.62182314814815,2.80163090211132,3.96570775396318
375,375,M,2,3.1275,parental,3,1,Rotenone,375,2.62182314814815,2.80163090211132,3.30730775396318
375,375,M,2,4.1821,parental,4,1,Rotenone,375,2.62182314814815,2.80163090211132,4.36190775396318
375,375,M,2,3.2809,parental,5,1,Rotenone,375,2.62182314814815,2.80163090211132,3.46070775396318
375,375,M,2,4.2599,parental,6,1,Rotenone,375,2.62182314814815,2.80163090211132,4.43970775396318
375,375,M,3,2.7126,parental,1,1,Rotenone,375,2.62182314814815,2.80163090211132,2.89240775396318
375,375,M,3,4.1643,parental,2,1,Rotenone,375,2.62182314814815,2.80163090211132,4.34410775396318
375,375,M,3,4.0775,parental,3,1,Rotenone,375,2.62182314814815,2.80163090211132,4.25730775396318
375,375,M,3,2.9975,parental,4,1,Rotenone,375,2.62182314814815,2.80163090211132,3.17730775396318
375,375,M,3,3.7202,parental,5,1,Rotenone,375,2.62182314814815,2.80163090211132,3.90000775396318
