Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
375,375,M,121223Parental,2,Parental_375C_M_121223Parental__2,9,59,2.9149,98.7403,0.9492,0,0.0767,C,parental,2
375,375,M,121223Parental,2,Parental_375C_M_121223Parental__3,0,50,3.3971,111.1331,0.9717,0,0.0655,C,parental,3
375,375,M,121223Parental,2,Parental_375C_M_121223Parental__4,21,71,3.9807,69.4949,0.9909,0,0.0429,C,parental,4
375,375,M,121223Parental,2,Parental_375C_M_121223Parental__5,45,95,2.7207,72.1713,0.9426,0,0.0765,C,parental,5
375,375,M,121223Parental,2,Parental_375C_M_121223Parental__6,19,69,2.5175,73.5812,0.9514,0,0.0647,C,parental,6
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__1,28,78,2.6352,79.1339,0.9768,0,0.0459,R,parental,1
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__2,26,76,3.0267,96.4087,0.9381,0,0.0887,R,parental,2
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__3,82,132,3.6958,66.5056,0.9826,0,0.0554,R,parental,3
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__4,11,61,3.0695,105.2937,0.9754,0,0.055,R,parental,4
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__5,19,69,3.3084,105.9793,0.9837,0,0.048,R,parental,5
375,375,M,121223Parental,2,Parental_375R_M_121223Parental__6,83,133,2.9362,101.9546,0.9339,0,0.0892,R,parental,6
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__1,72,122,2.3593,77.2661,0.9621,0,0.0531,C,parental,1
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__2,3,53,3.2823,86.1216,0.9722,0,0.0627,C,parental,2
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__3,8,58,3.8246,111.1668,0.9841,0,0.0548,C,parental,3
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__4,30,80,3.4056,62.7165,0.9837,0,0.0493,C,parental,4
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__5,33,83,2.8512,47.5751,0.9508,0,0.0737,C,parental,5
375,375,M,121223Parental,3,Parental_375C_M_121223Parental__6,67,117,3.1732,43.0701,0.9875,0,0.0402,C,parental,6
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__1,23,73,3.5941,103.5348,0.9965,0,0.0238,R,parental,1
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__2,32,82,4.1188,20.1748,0.9876,0,0.052,R,parental,2
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__3,29,79,4.487,25.9951,0.9674,0,0.0932,R,parental,3
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__4,19,69,3.1279,113.6072,0.9637,0,0.0688,R,parental,4
375,375,M,121223Parental,3,Parental_375R_M_121223Parental__5,35,85,2.7212,66.2188,0.9721,0,0.0521,R,parental,5
