Mito,Nuc,treatment,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,vial,build
375,375,C,M,71223375,2,375_375_C_M_071223375_5,57,107,3.5336,9.0083,0.9878,0,0.0442,5,parental
375,375,C,M,71223375,2,375_375_C_M_071223375_6,44,94,3.2258,4.7143,0.99,0,0.0365,6,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_1,13,63,2.8543,51.1958,0.9866,0,0.0375,1,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_2,35,85,2.7346,31.5964,0.9684,0,0.0559,2,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_3,16,66,2.3157,70.1411,0.9794,0,0.0378,3,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_4,24,74,3.2755,22.3855,0.9964,0,0.022,4,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_5,44,94,2.2338,55.6125,0.9654,0,0.0479,5,parental
375,375,C,M,71223375,3,375_375_C_M_071223375_6,39,89,3.3511,57.7549,0.9677,0,0.0693,6,parental
375,375,C,M,71323375,1,375_375C_M_071323375__1,23,73,4.4816,43.4367,0.9964,0,0.0305,1,parental
375,375,C,M,71323375,1,375_375C_M_071323375__2,34,84,3.3547,17.3778,0.9927,0,0.0323,2,parental
375,375,C,M,71323375,1,375_375C_M_071323375__3,17,67,5.2454,59.6186,0.9927,0,0.0504,3,parental
375,375,C,M,71323375,1,375_375C_M_071323375__4,3,53,3.5969,66.4732,0.989,0,0.0427,4,parental
375,375,C,M,71323375,1,375_375C_M_071323375__5,3,53,3.4825,72.3445,0.9738,0,0.0645,5,parental
375,375,C,M,71323375,1,375_375C_M_071323375__6,59,109,3.8423,35.9006,0.9529,0,0.097,6,parental
375,375,C,M,71323375,2,375_375C_M_071323375__1,37,87,4.0468,65.2644,0.9777,0,0.069,1,parental
375,375,C,M,71323375,2,375_375C_M_071323375__2,86,136,2.2088,47.4938,0.9685,0,0.045,2,parental
375,375,C,M,71323375,2,375_375C_M_071323375__3,45,95,2.3047,109.044,0.9679,0,0.0475,3,parental
375,375,C,M,71323375,2,375_375C_M_071323375__4,23,73,3.285,51.6856,0.9925,0,0.0322,4,parental
375,375,C,M,71323375,2,375_375C_M_071323375__5,23,73,2.6305,84.5677,0.9904,0,0.0292,5,parental
375,375,C,M,71323375,2,375_375C_M_071323375__6,18,68,3.8128,57.2531,0.9907,0,0.0416,6,parental
375,375,C,M,71323375,3,375_375C_M_071323375__1,64,114,4.2118,-34.4864,0.9885,0,0.051,1,parental
