Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,vial,build
375,375,F,080123Parental,1,Parental_375C_F_080123Parental__6,30,80,2.5349,14.5372,0.9758,0,0.0451,C,6,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__1,29,79,1.8167,26.891,0.9873,0,0.0232,R,1,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__2,48,98,2.1211,40.7765,0.9799,0,0.0342,R,2,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__3,17,67,2.7614,48.2828,0.9914,0,0.029,R,3,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__4,63,113,2.6501,46.7416,0.9953,0,0.0204,R,4,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__5,1,51,2.8058,49.7758,0.987,0,0.0363,R,5,parental
375,375,F,080123Parental,1,Parental_375R_F_080123Parental__6,21,71,2.8505,36.8551,0.9732,0,0.0535,R,6,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__1,16,66,3.5039,22.5696,0.9878,0,0.0439,C,1,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__2,3,53,2.0855,42.4593,0.9832,0,0.0307,C,2,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__3,49,99,3.2693,60.6551,0.9951,0,0.0257,C,3,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__4,31,81,2.5843,56.65,0.9477,0,0.0691,C,4,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__5,38,88,1.944,59.5644,0.9452,0,0.0533,C,5,parental
375,375,F,080123Parental,2,Parental_375C_F_080123Parental__6,24,74,2.4651,29.276,0.9894,0,0.0287,C,6,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__1,3,53,2.6352,70.1823,0.9896,0,0.0304,R,1,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__2,4,54,3.472,59.2271,0.9922,0,0.0345,R,2,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__3,39,89,2.7725,35.8564,0.9857,0,0.0376,R,3,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__4,6,56,3.2888,64.4794,0.9705,0,0.0649,R,4,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__5,70,120,3.2555,9.1879,0.9857,0,0.0442,R,5,parental
375,375,F,080123Parental,2,Parental_375R_F_080123Parental__6,11,61,2.7371,37.3234,0.984,0,0.0394,R,6,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__1,0,50,2.0162,66.3617,0.9819,0,0.0309,C,1,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__2,24,74,2.8508,41.6643,0.9906,0,0.0313,C,2,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__3,54,104,3.8477,19.2795,0.9972,0,0.0228,C,3,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__4,5,55,2.8719,53.2459,0.9888,0,0.0343,C,4,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__5,37,87,2.3191,50.9546,0.9767,0,0.0404,C,5,parental
375,375,F,080123Parental,3,Parental_375C_F_080123Parental__6,78,128,2.171,28.8978,0.965,0,0.0469,C,6,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__1,36,86,3.0418,34.7859,0.991,0,0.0327,R,1,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__2,0,50,3.1657,57.0674,0.9922,0,0.0315,R,2,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__3,34,84,3.8835,20.71,0.9967,0,0.0252,R,3,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__4,6,56,2.5754,48.9759,0.9477,0,0.0689,R,4,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__5,4,54,2.6917,53.2713,0.9861,0,0.036,R,5,parental
375,375,F,080123Parental,3,Parental_375R_F_080123Parental__6,5,55,3.1307,40.4406,0.9788,0,0.052,R,6,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__1,31,81,3.8254,30.7586,0.9795,0,0.0624,C,1,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__2,48,98,3.2625,69.148,0.9903,0,0.0363,C,2,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__3,16,66,3.3655,59.8585,0.9893,0,0.0393,C,3,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__4,8,58,2.8888,48.139,0.9836,0,0.042,C,4,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__5,14,64,3.0235,53.8034,0.9875,0,0.0384,C,5,parental
375,375,M,073123OreR375,1,Parental_375C_M_073123OreR375__6,32,82,4.9597,6.4718,0.9924,0,0.0489,C,6,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__1,9,59,2.7002,75.9262,0.9499,0,0.0705,R,1,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__2,3,53,2.8357,51.7014,0.9926,0,0.0275,R,2,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__3,70,120,3.9652,8.513,0.9927,0,0.0383,R,3,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__4,7,57,2.2244,67.3079,0.9791,0,0.0367,R,4,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__5,16,66,3.5541,79.8219,0.9941,0,0.0309,R,5,parental
375,375,M,073123OreR375,1,Parental_375R_M_073123OreR375__6,29,79,4.0599,33.2645,0.9851,0,0.0563,R,6,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__1,52,102,3.9841,44.5736,0.984,0,0.0573,C,1,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__2,64,114,4.2246,-13.8587,0.9815,0,0.0655,C,2,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__3,28,78,3.8794,36.9614,0.9925,0,0.038,C,3,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__4,48,98,3.3964,30.2858,0.9834,0,0.0497,C,4,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__5,27,77,3.0242,51.0229,0.9919,0,0.0308,C,5,parental
375,375,M,073123OreR375,2,Parental_375C_M_073123OreR375__6,18,68,3.0971,38.5934,0.9821,0,0.0471,C,6,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__1,32,82,3.0125,53.4945,0.9675,0,0.0625,R,1,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__2,36,86,3.0569,33.165,0.9847,0,0.0429,R,2,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__3,68,118,2.3008,95.229,0.95,0,0.06,R,3,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__4,22,72,3.2204,58.4236,0.9862,0,0.0429,R,4,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__5,36,86,3.9143,21.9801,0.9855,0,0.0534,R,5,parental
375,375,M,073123OreR375,2,Parental_375R_M_073123OreR375__6,30,80,2.6977,76.6297,0.9819,0,0.0413,R,6,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__1,48,98,3.4326,20.4575,0.9781,0,0.0579,C,1,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__2,13,63,4.721,35.5706,0.9888,0,0.0566,C,2,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__3,47,97,3.5968,-3.7276,0.9903,0,0.0401,C,3,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__4,25,75,3.1295,67.4557,0.9847,0,0.0439,C,4,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__5,27,77,3.2758,52.6213,0.9882,0,0.0403,C,5,parental
375,375,M,073123OreR375,3,Parental_375C_M_073123OreR375__6,46,96,2.7013,88.5882,0.9423,0,0.0761,C,6,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__1,4,54,2.9956,61.6601,0.9667,0,0.063,R,1,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__2,24,74,2.3371,61.6677,0.9824,0,0.0353,R,2,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__3,17,67,4.138,59.6455,0.9947,0,0.034,R,3,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__4,23,73,3.3797,43.5854,0.9892,0,0.0397,R,4,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__5,20,70,4.901,18.0103,0.9859,0,0.0659,R,5,parental
375,375,M,073123OreR375,3,Parental_375R_M_073123OreR375__6,53,103,2.6689,37.3759,0.9913,0,0.0281,R,6,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__1,28,78,3.7516,23.1738,0.9742,0,0.069,C,1,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__2,19,69,4.2795,28.2485,0.9896,0,0.0493,C,2,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__3,44,94,3.1835,55.828,0.9884,0,0.0389,C,3,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__4,4,54,2.6455,72.9316,0.9777,0,0.0451,C,4,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__5,48,98,3.1799,73.1959,0.9878,0,0.0398,C,5,parental
375,375,M,080123Parental,1,Parental_375C_M_080123Parental__6,2,52,3.7328,50.8293,0.9753,0,0.0671,C,6,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__1,2,52,1.7338,47.7522,0.9675,0,0.0359,R,1,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__2,51,101,2.8444,96.5312,0.9884,0,0.0347,R,2,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__3,41,91,3.0263,47.6776,0.9809,0,0.0476,R,3,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__4,38,88,2.9446,67.4422,0.9938,0,0.0261,R,4,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__5,44,94,3.9287,43.8508,0.9964,0,0.0267,R,5,parental
375,375,M,080123Parental,1,Parental_375R_M_080123Parental__6,22,72,3.5057,53.4762,0.9912,0,0.0371,R,6,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__1,5,55,3.1264,60.6377,0.9823,0,0.0473,C,1,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__2,16,66,4.5106,44.5674,0.9833,0,0.0663,C,2,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__3,16,66,3.9796,63.2014,0.987,0,0.0514,C,3,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__4,23,73,3.6851,25.175,0.979,0,0.0608,C,4,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__5,18,68,3.703,54.5897,0.9932,0,0.0345,C,5,parental
375,375,M,080123Parental,2,Parental_375C_M_080123Parental__6,14,64,3.5381,38.7365,0.9821,0,0.0539,C,6,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__1,25,75,1.9715,17.379,0.9663,0,0.0417,R,1,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__2,83,133,2.7094,48.4631,0.9894,0,0.0316,R,2,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__3,31,81,3.2375,100.0964,0.9859,0,0.0435,R,3,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__4,37,87,4.0669,29.1818,0.988,0,0.0505,R,4,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__5,23,73,3.4384,47.5447,0.9902,0,0.0385,R,5,parental
375,375,M,080123Parental,2,Parental_375R_M_080123Parental__6,18,68,3.1297,54.4907,0.9835,0,0.0457,R,6,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__1,21,71,4.0253,12.2519,0.9921,0,0.0405,C,1,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__2,28,78,3.5302,52.6872,0.9666,0,0.0743,C,2,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__3,0,50,3.3061,69.2435,0.9796,0,0.0539,C,3,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__4,2,52,2.8019,59.9415,0.9727,0,0.0531,C,4,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__5,34,84,3.7543,32.132,0.9884,0,0.0459,C,5,parental
375,375,M,080123Parental,3,Parental_375C_M_080123Parental__6,41,91,3.9422,7.2788,0.9797,0,0.064,C,6,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__1,12,62,1.6306,21.0557,0.977,0,0.0283,R,1,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__2,12,62,3.9686,49.0185,0.9961,0,0.0278,R,2,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__3,39,89,3.1878,62.8946,0.9943,0,0.0271,R,3,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__4,40,90,4.1884,24.4172,0.9892,0,0.0491,R,4,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__5,51,101,2.9642,52.6185,0.9901,0,0.0333,R,5,parental
375,375,M,080123Parental,3,Parental_375R_M_080123Parental__6,3,53,3.1394,65.8974,0.976,0,0.0555,R,6,parental
Bei42,375,F,73123,1,Bei42A_375C_F_073123__1,55,105,3.3775,2.7311,0.9843,0,0.048,C,1,A
Bei42,375,F,73123,1,Bei42A_375C_F_073123__2,63,113,2.1013,75.1287,0.9706,0,0.0414,C,2,A
Bei42,375,F,73123,1,Bei42A_375C_F_073123__3,8,58,1.9157,57.8708,0.9334,0,0.0585,C,3,A
