Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
OreR,1.041226,10,1.055618,F,Rotenone,3
375,1.046174,18,1.066882,F,Rotenone,3
375,1.058126,20,1.080968,F,Rotenone,3
3A,1.028408,14,1.040372,M,Rotenone,3
3A,1.036356,15,1.048954,M,Rotenone,3
5A,1.027354,19,1.043336,M,Rotenone,3
5A,1.034394,17,1.048952,M,Rotenone,3
21A,1.034876,19,1.052116,M,Rotenone,3
21A,1.032146,20,1.050336,M,Rotenone,3
22A,1.026178,9,1.034588,M,Rotenone,3
22A,1.034968,9,1.043182,M,Rotenone,3
41A,1.03086,20,1.048566,M,Rotenone,3
41A,1.038182,19,1.054986,M,Rotenone,3
42A,1.037166,19,1.053846,M,Rotenone,3
42A,1.037802,13,1.049078,M,Rotenone,3
12A,1.03598,18,1.051748,M,Rotenone,3
12A,1.034338,19,1.051476,M,Rotenone,3
14A,1.03522,17,1.04876,M,Rotenone,3
14A,1.03603,17,1.051564,M,Rotenone,3
31A,1.032552,11,1.041332,M,Rotenone,3
31A,1.037994,15,1.048858,M,Rotenone,3
32A,1.031942,18,1.046302,M,Rotenone,3
32A,1.041004,10,1.048388,M,Rotenone,3
45A,1.035148,18,1.049362,M,Rotenone,3
45A,1.036098,19,1.050394,M,Rotenone,3
46A,1.035158,18,1.0499,M,Rotenone,3
46A,1.03177,18,1.04681,M,Rotenone,3
3B,1.026008,20,1.043628,M,Rotenone,3
3B,1.02695,12,1.037504,M,Rotenone,3
5B,1.028464,6,1.033794,M,Rotenone,3
5B,1.028436,7,1.034526,M,Rotenone,3
21B,1.039804,22,1.058048,M,Rotenone,3
21B,1.032106,24,1.053152,M,Rotenone,3
22B,1.032244,22,1.050992,M,Rotenone,3
22B,1.034752,22,1.052504,M,Rotenone,3
41B,1.03436,20,1.050808,M,Rotenone,3
41B,1.027542,21,1.045168,M,Rotenone,3
42B,1.037482,13,1.04898,M,Rotenone,3
42B,1.034318,18,1.050134,M,Rotenone,3
12B,1.026294,19,1.042754,M,Rotenone,3
12B,1.032196,19,1.049114,M,Rotenone,3
14B,1.026068,17,1.03998,M,Rotenone,3
14B,1.036192,24,1.055136,M,Rotenone,3
31B,1.025762,21,1.042422,M,Rotenone,3
31B,1.028304,22,1.045268,M,Rotenone,3
32B,1.026778,17,1.039818,M,Rotenone,3
32B,1.036082,19,1.050852,M,Rotenone,3
45B,1.037148,20,1.052976,M,Rotenone,3
45B,1.028856,19,1.043926,M,Rotenone,3
46B,1.030048,18,1.043132,M,Rotenone,3
46B,1.038146,4,1.040722,M,Rotenone,3
OreR,1.035958,19,1.053024,M,Rotenone,3
OreR,1.031,23,1.051468,M,Rotenone,3
375,1.037854,20,1.053496,M,Rotenone,3
375,1.028786,27,1.048776,M,Rotenone,3
