Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
3A,1.04638,6,1.054718,F,Control,3
3A,1.041202,6,1.048312,F,Control,3
5A,1.04016,19,1.065476,F,Control,3
5A,1.040776,15,1.05974,F,Control,3
21A,1.03452,15,1.053736,F,Control,3
21A,1.041394,9,1.054134,F,Control,3
22A,1.035972,5,1.042748,F,Control,3
22A,1.03102,13,1.04936,F,Control,3
41A,1.03894,11,1.052466,F,Control,3
41A,1.038446,6,1.046984,F,Control,3
42A,1.041152,8,1.05115,F,Control,3
42A,1.038156,2,1.041244,F,Control,3
12A,1.041376,20,1.064532,F,Control,3
12A,1.037266,15,1.056334,F,Control,3
14A,1.035496,21,1.06342,F,Control,3
14A,1.0365,17,1.057334,F,Control,3
31A,1.038078,18,1.05857,F,Control,3
31A,1.038568,18,1.060996,F,Control,3
32A,1.041228,18,1.061082,F,Control,3
32A,1.046078,23,1.07198,F,Control,3
45A,1.035444,15,1.053884,F,Control,3
45A,1.035022,18,1.057876,F,Control,3
46A,1.038674,20,1.062902,F,Control,3
46A,1.032426,19,1.056174,F,Control,3
3B,1.040732,14,1.061304,F,Control,3
3B,1.03782,9,1.050286,F,Control,3
5B,1.035598,12,1.050246,F,Control,3
5B,1.038824,19,1.06322,F,Control,3
21B,1.035736,9,1.04604,F,Control,3
21B,1.030962,8,1.042424,F,Control,3
22B,1.032644,10,1.04623,F,Control,3
22B,1.039574,4,1.044876,F,Control,3
41B,1.03133,0,1.03133,F,Control,3
41B,1.040364,15,1.061644,F,Control,3
42B,1.03703,17,1.06063,F,Control,3
42B,1.040168,6,1.049006,F,Control,3
12B,1.039684,17,1.06403,F,Control,3
12B,1.041856,17,1.066208,F,Control,3
14B,1.03566,15,1.055878,F,Control,3
14B,1.041444,16,1.064118,F,Control,3
31B,1.034084,16,1.05254,F,Control,3
31B,1.041038,13,1.057004,F,Control,3
32B,1.045444,16,1.062414,F,Control,3
32B,1.034792,18,1.055834,F,Control,3
45B,1.036508,17,1.055316,F,Control,3
45B,1.041302,17,1.060908,F,Control,3
46B,1.041376,11,1.055044,F,Control,3
46B,1.03276,10,1.044374,F,Control,3
OreR,1.040572,17,1.063528,F,Control,3
OreR,1.040626,14,1.057596,F,Control,3
375,1.039012,19,1.061382,F,Control,3
375,1.04158,17,1.062598,F,Control,3
3A,0.99162,19,1.007244,M,Control,3
3A,1.025268,18,1.040782,M,Control,3
5A,0.998094,17,1.013112,M,Control,3
5A,1.005424,16,1.018966,M,Control,3
21A,1.007362,22,1.02613,M,Control,3
21A,0.987346,20,1.004866,M,Control,3
22A,1.013974,17,1.028876,M,Control,3
22A,0.986736,17,1.00192,M,Control,3
41A,0.99582,19,1.012404,M,Control,3
41A,1.003476,17,1.018404,M,Control,3
42A,1.01414,20,1.031528,M,Control,3
42A,1.009356,15,1.022244,M,Control,3
12A,0.997902,20,1.012674,M,Control,3
12A,1.005454,21,1.02102,M,Control,3
14A,0.990094,21,1.006106,M,Control,3
14A,0.998146,19,1.012808,M,Control,3
31A,1.025574,20,1.04158,M,Control,3
31A,1.0107,17,1.02705,M,Control,3
32A,1.003338,12,1.012008,M,Control,3
32A,1.010744,18,1.023824,M,Control,3
45A,0.99077,20,1.006572,M,Control,3
45A,1.010718,28,1.03231,M,Control,3
46A,1.00763,21,1.02377,M,Control,3
46A,1.011182,24,1.029862,M,Control,3
3B,0.998806,19,1.01542,M,Control,3
3B,0.998104,19,1.014258,M,Control,3
5B,1.01048,15,1.023526,M,Control,3
5B,1.014568,,,M,Control,3
21B,0.992512,14,1.005062,M,Control,3
21B,1.003556,14,1.016054,M,Control,3
22B,1.005656,16,1.018594,M,Control,3
22B,1.024898,18,1.038946,M,Control,3
41B,1.005538,21,1.023328,M,Control,3
41B,1.025486,20,1.04264,M,Control,3
42B,1.00292,21,1.021136,M,Control,3
42B,0.998742,23,1.01845,M,Control,3
12B,1.041465,21,1.032064,M,Control,3
12B,1.00717,20,1.023354,M,Control,3
14B,0.99919,20,1.014742,M,Control,3
14B,0.998488,19,1.013288,M,Control,3
31B,1.025754,25,1.043904,M,Control,3
31B,0.995704,19,1.01,M,Control,3
32B,0.999288,20,1.013762,M,Control,3
32B,1.025106,20,1.039798,M,Control,3
45B,0.999,19,1.013494,M,Control,3
45B,1.01797,19,1.03183,M,Control,3
46B,1.007262,20,1.021752,M,Control,3
46B,1.025432,20,1.03917,M,Control,3
OreR,0.990024,17,1.004476,M,Control,3
OreR,0.995168,19,1.011372,M,Control,3
375,0.980266,22,0.99715,M,Control,3
375,0.977636,20,0.992656,M,Control,3
3A,1.056656,7,1.066172,F,Rotenone,3
3A,1.06897,7,1.078228,F,Rotenone,3
5A,1.041922,11,1.056594,F,Rotenone,3
5A,1.044218,18,1.068576,F,Rotenone,3
21A,1.04103,14,1.059266,F,Rotenone,3
21A,1.059502,18,1.083866,F,Rotenone,3
22A,1.054832,10,1.068494,F,Rotenone,3
22A,1.047846,10,1.062818,F,Rotenone,3
41A,1.055188,9,1.06805,F,Rotenone,3
41A,1.057202,13,1.076074,F,Rotenone,3
42A,1.055284,11,1.071532,F,Rotenone,3
42A,1.04869,9,1.060972,F,Rotenone,3
12A,1.040692,10,1.054708,F,Rotenone,3
12A,1.05739,14,1.076008,F,Rotenone,3
14A,1.053272,20,1.077016,F,Rotenone,3
14A,1.048818,16,1.070674,F,Rotenone,3
31A,1.060016,20,1.081408,F,Rotenone,3
31A,1.030308,20,1.052156,F,Rotenone,3
32A,1.040818,20,1.064192,F,Rotenone,3
32A,1.047504,13,1.063536,F,Rotenone,3
45A,1.068992,15,1.087026,F,Rotenone,3
45A,1.045864,17,1.066616,F,Rotenone,3
46A,1.06944,19,1.092648,F,Rotenone,3
46A,1.069206,16,1.088034,F,Rotenone,3
3B,1.040638,13,1.05881,F,Rotenone,3
3B,1.041466,15,1.06128,F,Rotenone,3
5B,1.047654,5,1.054422,F,Rotenone,3
5B,1.044518,8,1.054978,F,Rotenone,3
21B,1.04101,10,1.053932,F,Rotenone,3
21B,1.054788,5,1.06001,F,Rotenone,3
22B,1.06905,12,1.085406,F,Rotenone,3
22B,1.048034,18,1.072186,F,Rotenone,3
41B,1.053314,20,1.080396,F,Rotenone,3
41B,1.056318,15,1.07552,F,Rotenone,3
42B,1.043108,9,1.055452,F,Rotenone,3
42B,1.056158,9,1.06901,F,Rotenone,3
12B,1.05761,15,1.078086,F,Rotenone,3
12B,1.053682,21,1.081136,F,Rotenone,3
14B,1.055442,19,1.079772,F,Rotenone,3
14B,1.041414,14,1.05886,F,Rotenone,3
31B,1.033904,17,1.053362,F,Rotenone,3
31B,1.05257,20,1.076344,F,Rotenone,3
32B,1.046766,18,1.067722,F,Rotenone,3
32B,1.056034,12,1.071682,F,Rotenone,3
45B,1.051454,18,1.07346,F,Rotenone,3
45B,1.0434,16,1.063276,F,Rotenone,3
46B,1.049802,17,1.067626,F,Rotenone,3
46B,1.046768,18,1.066008,F,Rotenone,3
OreR,1.054986,14,1.072996,F,Rotenone,3
