Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
6A,1.018684,6,1.025898,F,Control,4
6A,1.027678,6,1.034916,F,Control,4
6A,1.010712,5,1.016344,F,Control,4
6B,1.026516,5,1.033386,F,Control,4
6B,1.018678,5,1.026138,F,Control,4
6B,1.031954,5,1.03902,F,Control,4
27A,1.0224,11,1.035264,F,Control,4
27A,1.014472,11,1.028842,F,Control,4
27A,1.014092,10,1.027266,F,Control,4
27B,1.0196,11,1.030316,F,Control,4
27B,1.022022,12,1.035108,F,Control,4
27B,1.01784,12,1.032312,F,Control,4
15A,1.025338,14,1.040138,F,Control,4
15A,1.004256,13,1.01864,F,Control,4
15A,0.998634,13,1.012374,F,Control,4
15B,1.02771,14,1.043398,F,Control,4
15B,1.04034,13,1.05593,F,Control,4
15B,1.010546,13,1.025808,F,Control,4
37A,1.022848,11,1.035968,F,Control,4
37A,1.0104,11,1.02333,F,Control,4
37A,1.023378,10,1.034772,F,Control,4
37B,1.026394,14,1.042594,F,Control,4
37B,1.018822,13,1.033266,F,Control,4
37B,1.02585,13,1.041134,F,Control,4
5B,1.01048,11,1.024612,F,Control,4
5B,1.023434,11,1.037658,F,Control,4
5B,1.01922,10,1.031072,F,Control,4
13A,1.02387,14,1.038454,F,Control,4
13A,1.022698,13,1.035718,F,Control,4
13A,1.022722,13,1.03585,F,Control,4
41A,1.040882,7,1.04927,F,Control,4
41A,1.018628,7,1.027854,F,Control,4
41A,1.031074,6,1.039852,F,Control,4
42A,1.02288,13,1.04128,F,Control,4
42A,1.010584,13,1.029274,F,Control,4
42A,1.012012,12,1.028226,F,Control,4
45A,1.028024,7,1.035732,F,Control,4
45A,1.003914,5,1.009904,F,Control,4
45A,1.02066,7,1.028202,F,Control,4
46A,1.010468,14,1.025028,F,Control,4
46A,1.017814,13,1.031688,F,Control,4
46A,1.01899,13,1.032332,F,Control,4
Ore,1.00414,6,1.012146,F,Control,4
Ore,1.027592,6,1.036262,F,Control,4
