Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
11A,0.994314,19,1.019114,F,Control,9,ZW142_375,ZW142,375,0.00130526315789474,A,0.606795578338783,0.001235392995893,0.00118354565556564,0.00125341581756738
11A,0.963996,19,0.977508,M,Control,9,ZW142_375,ZW142,375,0.000711157894736846,A,-0.23432052200978,0.000853247961816306,0.000743674151688568,0.000601584084609108
11A,0.99903,19,1.024138,F,Control,9,ZW142_375,ZW142,375,0.00132147368421053,A,0.684826085239887,0.001235392995893,0.00118354565556564,0.00126962634388317
11A,1.003384,17,1.016594,M,Rotenone,9,ZW142_375,ZW142,375,0.000777058823529408,A,0.0397419110540898,0.000812438967070082,0.000751470968198374,0.0007160908246577
11A,0.978108,15,0.991714,M,Control,1,ZW142_375,ZW142,375,0.000907066666666667,A,0.580406002750542,0.000704426334064328,0.000743674151688568,0.000946314484290907
11A,0.947768,20,0.962086,M,Control,9,ZW142_375,ZW142,375,0.000715899999999997,A,-0.214599511546407,0.000853247961816306,0.000743674151688568,0.000606326189872259
11A,1.023868,14,1.040044,F,Rotenone,1,ZW142_375,ZW142,375,0.00115542857142857,A,-0.114443726635793,0.00104212393115141,0.00116980665562678,0.00128311129590394
11A,0.971594,19,0.983624,M,Control,1,ZW142_375,ZW142,375,0.000633157894736847,A,-0.558699406657523,0.000704426334064328,0.000743674151688568,0.000672405712361087
11A,1.03932,15,1.057924,F,Rotenone,9,ZW142_375,ZW142,375,0.00124026666666667,A,0.293930403049608,0.00131216049519223,0.00116980665562678,0.00109791282710122
11A,1.030432,12,1.044376,F,Rotenone,9,ZW142_375,ZW142,375,0.001162,A,-0.0828116936897928,0.00131216049519223,0.00116980665562678,0.00101964616043455
11A,1.002082,20,1.026962,F,Control,9,ZW142_375,ZW142,375,0.001244,A,0.311901065244997,0.001235392995893,0.00118354565556564,0.00119215265967264
11A,0.964036,18,0.977136,M,Control,9,ZW142_375,ZW142,375,0.000727777777777778,A,-0.165203353756017,0.000853247961816306,0.000743674151688568,0.00061820396765004
11A,1.024132,15,1.042864,F,Rotenone,9,ZW142_375,ZW142,375,0.0012488,A,0.335006202353375,0.00131216049519223,0.00116980665562678,0.00110644616043455
11A,1.017842,16,1.036316,F,Rotenone,1,ZW142_375,ZW142,375,0.00115462500000001,A,-0.118311774142721,0.00104212393115141,0.00116980665562678,0.00128230772447538
11A,1.004592,19,1.019732,M,Rotenone,9,ZW142_375,ZW142,375,0.000796842105263166,A,0.122014716995994,0.000812438967070082,0.000751470968198374,0.000735874106391458
