Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
4A,1.00286,17,1.024848,F,Control,2
4A,0.996288,20,1.019646,F,Control,2
4B,0.99554,5,1.002576,F,Control,2
4B,1.001936,8,1.012888,F,Control,2
7A,0.9989,6,1.006102,F,Control,2
7A,1.001898,10,1.014998,F,Control,2
7B,1.000984,5,1.007524,F,Control,2
7B,0.993894,13,1.00958,F,Control,2
13A,1.00227,12,1.015072,F,Control,2
13A,0.996354,8,1.003982,F,Control,2
13B,1.002574,22,1.026072,F,Control,2
13B,1.00207,17,1.022192,F,Control,2
16A,0.998826,17,1.019242,F,Control,2
16A,1.00044,17,1.018412,F,Control,2
16B,0.998768,19,1.019602,F,Control,2
16B,1.000574,16,1.018118,F,Control,2
24A,1.000594,17,1.021768,F,Control,2
24A,0.997078,17,1.020058,F,Control,2
24B,0.999184,19,1.021898,F,Control,2
24B,1.001484,21,1.030386,F,Control,2
26A,1.007204,13,1.023772,F,Control,2
26A,0.99391,17,1.016016,F,Control,2
26B,0.991926,13,1.00774,F,Control,2
26B,0.993858,11,1.008438,F,Control,2
34A,0.997342,14,1.012272,F,Control,2
34A,1.00211,18,1.022692,F,Control,2
34B,1.00258,14,1.018334,F,Control,2
34B,1.003036,14,1.020876,F,Control,2
36A,0.997382,20,1.018656,F,Control,2
36A,1.0024,14,1.01755,F,Control,2
36B,1.002282,26,1.02628,F,Control,2
36B,0.999266,15,1.016374,F,Control,2
41A,0.997416,12,1.01332,F,Control,2
41A,0.998986,14,1.019854,F,Control,2
41B,0.999172,18,1.023606,F,Control,2
41B,1.0026,15,1.023118,F,Control,2
42A,0.993826,11,1.007578,F,Control,2
42A,0.999316,7,1.009006,F,Control,2
42B,1.002642,12,1.021284,F,Control,2
42B,0.99376,,,F,Control,2
45A,1.00233,,,F,Control,2
45A,0.99392,,,F,Control,2
45B,0.99737,10,1.00764,F,Control,2
45B,0.99677,10,1.00638,F,Control,2
46A,1.000672,18,1.021942,F,Control,2
46A,1.000158,13,1.015436,F,Control,2
46B,0.99515,14,1.010128,F,Control,2
46B,0.999308,14,1.014008,F,Control,2
Ore,0.99922,9,1.010752,F,Control,2
Ore,1.003158,12,1.018852,F,Control,2
375,0.993982,19,1.016054,F,Control,2
375,0.99907,13,1.01488,F,Control,2
10A,0.993852,18,1.014226,F,Control,2
10A,1.002964,15,1.020082,F,Control,2
4A,0.940072,16,0.980638,M,Control,2
4A,0.956374,18,0.969208,M,Control,2
4B,0.986264,19,1.001146,M,Control,2
4B,0.968344,20,0.985,M,Control,2
7A,0.955372,19,0.969162,M,Control,2
7A,0.956194,18,0.970786,M,Control,2
7B,0.967706,20,0.982378,M,Control,2
7B,0.947202,21,0.96251,M,Control,2
13A,0.958196,10,0.964824,M,Control,2
13A,0.970096,,0.970198,M,Control,2
13B,0.952146,16,0.963419,M,Control,2
13B,0.964116,19,0.976342,M,Control,2
16A,0.947372,20,0.961206,M,Control,2
16A,0.968712,18,0.979386,M,Control,2
16B,0.959378,18,0.97253,M,Control,2
16B,0.950558,21,0.96484,M,Control,2
24A,0.967582,19,0.981922,M,Control,2
24A,0.971024,20,0.986818,M,Control,2
24B,0.955228,20,0.96193,M,Control,2
24B,0.958574,19,0.97425,M,Control,2
26A,0.958664,18,0.97981,M,Control,2
26A,0.966698,18,0.974238,M,Control,2
26B,0.966386,20,0.981338,M,Control,2
26B,0.95879,17,0.979338,M,Control,2
34A,0.970028,23,0.97531,M,Control,2
34A,0.950526,20,0.98394,M,Control,2
34B,0.964054,20,0.966174,M,Control,2
34B,0.959066,20,0.978172,M,Control,2
36A,0.952514,19,0.963212,M,Control,2
36A,0.950664,18,0.969148,M,Control,2
36B,0.950715,21,0.96577,M,Control,2
36B,0.953018,21,0.972858,M,Control,2
41A,0.947462,21,0.970609,M,Control,2
41A,0.966882,16,0.961442,M,Control,2
41B,0.955836,16,0.980184,M,Control,2
41B,0.958834,19,0.970912,M,Control,2
42A,0.952368,18,0.973909,M,Control,2
42A,0.971032,17,0.967182,M,Control,2
42B,0.963936,16,0.983932,M,Control,2
42B,0.96779,19,0.979774,M,Control,2
45A,0.984674,19,0.977132,M,Control,2
45A,0.955618,19,0.999754,M,Control,2
45B,0.961572,10,0.961968,M,Control,2
45B,0.950516,12,0.958558,M,Control,2
46A,0.952594,14,0.963816,M,Control,2
46A,0.963328,14,0.974058,M,Control,2
46B,0.95265,19,0.965482,M,Control,2
46B,0.963654,19,0.977582,M,Control,2
Ore,0.959118,18,0.972742,M,Control,2
Ore,0.978226,17,0.990614,M,Control,2
375,0.963744,18,0.977628,M,Control,2
375,0.963234,20,0.977492,M,Control,2
10A,0.958684,19,0.97225,M,Control,2
10A,0.958328,19,0.971912,M,Control,2
4A,1.030536,16,1.046214,F,Rotenone,2
4A,1.016798,16,1.034514,F,Rotenone,2
4B,1.01475,12,1.029756,F,Rotenone,2
4B,1.017262,20,1.03741,F,Rotenone,2
7A,1.018532,10,1.029388,F,Rotenone,2
7A,1.018618,13,1.033992,F,Rotenone,2
7B,1.02296,14,1.037204,F,Rotenone,2
7B,1.03086,13,1.045352,F,Rotenone,2
13A,1.027264,14,1.043054,F,Rotenone,2
13A,1.018716,18,1.036178,F,Rotenone,2
13B,1.01357,20,1.038782,F,Rotenone,2
13B,1.014274,20,1.034484,F,Rotenone,2
16A,1.027796,20,1.049262,F,Rotenone,2
16A,1.011014,18,1.03128,F,Rotenone,2
16B,1.017116,18,1.027224,F,Rotenone,2
16B,1.02663,6,1.031572,F,Rotenone,2
24A,1.027714,12,1.042924,F,Rotenone,2
24A,1.03942,17,1.057602,F,Rotenone,2
24B,1.026576,9,1.03769,F,Rotenone,2
24B,1.012204,14,1.026302,F,Rotenone,2
26A,1.018612,14,1.033688,F,Rotenone,2
26A,1.027394,12,1.041872,F,Rotenone,2
26B,1.030252,6,1.036616,F,Rotenone,2
26B,1.016656,19,1.038748,F,Rotenone,2
34A,1.039088,19,1.057862,F,Rotenone,2
34A,1.016964,20,1.037008,F,Rotenone,2
34B,1.011648,19,1.033174,F,Rotenone,2
34B,1.023774,19,1.046036,F,Rotenone,2
36A,1.020776,19,1.041482,F,Rotenone,2
36A,1.014472,17,1.034716,F,Rotenone,2
36B,1.0248,18,1.045792,F,Rotenone,2
36B,1.027838,19,1.046512,F,Rotenone,2
41A,1.019912,5,1.025612,F,Rotenone,2
41A,1.039492,7,1.049538,F,Rotenone,2
41B,1.013408,19,1.038704,F,Rotenone,2
41B,1.02518,15,1.04412,F,Rotenone,2
42A,1.024074,12,1.039986,F,Rotenone,2
42A,1.039168,18,1.063828,F,Rotenone,2
42B,1.024886,14,1.043982,F,Rotenone,2
42B,1.039252,14,1.057342,F,Rotenone,2
45A,1.023092,15,1.037494,F,Rotenone,2
45A,1.022738,18,1.043734,F,Rotenone,2
45B,1.022156,19,1.04412,F,Rotenone,2
45B,1.016218,20,1.035262,F,Rotenone,2
46A,1.019982,4,1.024694,F,Rotenone,2
46A,1.02648,15,1.040194,F,Rotenone,2
46B,1.029924,18,1.046016,F,Rotenone,2
46B,1.02317,14,1.036704,F,Rotenone,2
