Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
35B,0.958866,12,0.968624,M,Control,7
43A,0.963736,14,0.973952,M,Control,7
43A,0.970774,13,0.980612,M,Control,7
43A,0.963454,13,0.972892,M,Control,7
43B,0.958972,13,0.967412,M,Control,7
43B,0.955912,13,0.96388,M,Control,7
43B,0.95908,12,0.966682,M,Control,7
41A,0.959296,13,0.9688,M,Control,7
41A,0.964194,13,0.973644,M,Control,7
41A,0.94739,12,0.956736,M,Control,7
42A,0.974704,13,0.984708,M,Control,7
42A,0.978924,12,0.98856,M,Control,7
42A,0.947932,12,0.957616,M,Control,7
45A,0.958682,14,0.968046,M,Control,7
45A,0.98555,13,0.994762,M,Control,7
45A,0.959212,13,0.968252,M,Control,7
46A,0.975126,12,0.982718,M,Control,7
46A,0.966022,12,0.9736,M,Control,7
46A,0.959188,11,0.965934,M,Control,7
Ore,0.956164,14,0.966934,M,Control,7
Ore,0.95318,13,0.963488,M,Control,7
Ore,0.974566,13,0.984518,M,Control,7
375,0.952518,11,0.958374,M,Control,7
375,0.95887,11,0.965234,M,Control,7
375,0.96793,11,0.974316,M,Control,7
25A,1.030548,12,1.045838,F,Rotenone,7
25A,1.019644,11,1.03324,F,Rotenone,7
25A,1.0149,11,1.028714,F,Rotenone,7
25B,0.999926,15,1.018894,F,Rotenone,7
25B,1.02603,14,1.043428,F,Rotenone,7
25B,1.027026,14,1.045566,F,Rotenone,7
39A,1.01585,12,1.03085,F,Rotenone,7
39A,1.022952,11,1.036082,F,Rotenone,7
39A,1.011798,11,1.026286,F,Rotenone,7
39B,1.024622,14,1.04205,F,Rotenone,7
39B,1.040144,13,1.054822,F,Rotenone,7
39B,1.02729,13,1.044784,F,Rotenone,7
35A,1.014578,13,1.031026,F,Rotenone,7
35A,1.024998,13,1.040786,F,Rotenone,7
35A,1.03936,13,1.055916,F,Rotenone,7
35B,1.014576,12,1.02968,F,Rotenone,7
35B,1.022858,12,1.03727,F,Rotenone,7
35B,1.012158,12,1.026988,F,Rotenone,7
43A,1.012918,12,1.028168,F,Rotenone,7
43A,1.024706,13,1.041076,F,Rotenone,7
43A,1.022674,13,1.039536,F,Rotenone,7
43B,1.02337,14,1.039896,F,Rotenone,7
43B,1.031322,13,1.046188,F,Rotenone,7
43B,1.023824,13,1.037792,F,Rotenone,7
41A,1.020404,14,1.04354,F,Rotenone,7
41A,1.011702,13,1.0277,F,Rotenone,7
41A,1.014734,13,1.029964,F,Rotenone,7
42A,1.023218,5,1.02902,F,Rotenone,7
42A,1.01821,6,1.026458,F,Rotenone,7
42A,1.016914,6,1.024804,F,Rotenone,7
45A,1.017496,15,1.033298,F,Rotenone,7
45A,1.02283,14,1.037728,F,Rotenone,7
45A,1.00019,14,1.015448,F,Rotenone,7
46A,1.014894,13,1.03038,F,Rotenone,7
46A,1.022474,13,1.037026,F,Rotenone,7
46A,1.03961,13,1.05449,F,Rotenone,7
Ore,1.017774,7,1.02688,F,Rotenone,7
Ore,1.00447,7,1.013734,F,Rotenone,7
Ore,1.025234,7,1.03483,F,Rotenone,7
375,1.01509,14,1.028696,F,Rotenone,7
375,1.039626,14,1.05374,F,Rotenone,7
375,1.01358,14,1.027514,F,Rotenone,7
25A,0.998668,12,1.008084,M,Rotenone,7
25A,0.996926,12,1.005608,M,Rotenone,7
25A,1.005706,12,1.014558,M,Rotenone,7
25B,1.005204,14,1.01568,M,Rotenone,7
25B,1.006126,14,1.017358,M,Rotenone,7
25B,1.011442,13,1.021652,M,Rotenone,7
39A,1.005132,14,1.015794,M,Rotenone,7
39A,1.005294,14,1.016106,M,Rotenone,7
39A,1.00846,13,1.017838,M,Rotenone,7
39B,1.00224,7,1.007842,M,Rotenone,7
39B,1.007032,7,1.01278,M,Rotenone,7
39B,1.0062,6,1.0115,M,Rotenone,7
35A,1.004616,13,1.015078,M,Rotenone,7
35A,1.005886,13,1.015814,M,Rotenone,7
35A,0.99802,13,1.00789,M,Rotenone,7
35B,1.000722,13,1.0108,M,Rotenone,7
35B,1.011364,12,1.020822,M,Rotenone,7
35B,1.01136,12,1.02103,M,Rotenone,7
43A,1.000742,13,1.010442,M,Rotenone,7
43A,0.998602,13,1.008288,M,Rotenone,7
43A,0.998768,13,1.008874,M,Rotenone,7
43B,1.007836,14,1.017818,M,Rotenone,7
43B,0.99634,14,1.00624,M,Rotenone,7
43B,1.004909,13,1.014002,M,Rotenone,7
41A,1.000472,13,1.010398,M,Rotenone,7
41A,0.998038,13,1.007414,M,Rotenone,7
41A,1.000606,13,1.009674,M,Rotenone,7
42A,1.006092,8,1.012946,M,Rotenone,7
42A,1.005772,8,1.012132,M,Rotenone,7
42A,1.008492,7,1.014468,M,Rotenone,7
45A,1.004758,15,1.015276,M,Rotenone,7
45A,0.998138,15,1.008684,M,Rotenone,7
45A,1.010276,15,1.01995,M,Rotenone,7
46A,1.003714,15,1.01314,M,Rotenone,7
46A,1.005732,15,1.015528,M,Rotenone,7
46A,0.998562,15,1.009654,M,Rotenone,7
Ore,0.99895,15,1.010328,M,Rotenone,7
Ore,1.00543,14,1.015808,M,Rotenone,7
Ore,1.008756,14,1.020232,M,Rotenone,7
375,1.003376,16,1.012784,M,Rotenone,7
375,0.998746,15,1.00803,M,Rotenone,7
375,1.005286,15,1.014184,M,Rotenone,7
