Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
25A,1.002302,13,1.019306,F,Control,7
25A,1.002078,13,1.01851,F,Control,7
25A,1.003618,12,1.019014,F,Control,7
25B,0.999264,11,1.012124,F,Control,7
25B,0.999416,12,1.015436,F,Control,7
25B,0.997352,12,1.013084,F,Control,7
39A,0.99378,12,1.01436,F,Control,7
39A,0.995536,12,1.011668,F,Control,7
39A,0.995672,12,1.010262,F,Control,7
39B,1.000682,13,1.019168,F,Control,7
39B,0.993908,13,1.012254,F,Control,7
39B,1.001738,13,1.019496,F,Control,7
35A,0.997288,11,1.01146,F,Control,7
35A,0.994742,11,1.008994,F,Control,7
35A,0.997338,10,1.009838,F,Control,7
35B,1.000568,13,1.016088,F,Control,7
35B,1.000148,12,1.01521,F,Control,7
35B,1.000742,12,1.015808,F,Control,7
43A,0.99826,12,1.01254,F,Control,7
43A,0.99351,12,1.008494,F,Control,7
43A,0.991808,12,1.007528,F,Control,7
43B,0.99745,12,1.009258,F,Control,7
43B,0.996216,12,1.00741,F,Control,7
43B,1.002588,12,1.013474,F,Control,7
41A,1.0001,13,1.018652,F,Control,7
41A,0.999366,12,1.015652,F,Control,7
41A,1.002794,12,1.019884,F,Control,7
42A,0.996358,13,1.015228,F,Control,7
42A,0.996894,13,1.01517,F,Control,7
42A,0.997268,12,1.013872,F,Control,7
45A,1.000144,12,1.014122,F,Control,7
45A,0.99716,12,1.012264,F,Control,7
45A,1.000686,12,1.015968,F,Control,7
46A,0.991998,11,1.003978,F,Control,7
46A,0.993594,12,1.005916,F,Control,7
46A,0.996468,12,1.009032,F,Control,7
Ore,0.99635,7,1.005942,F,Control,7
Ore,1.002376,7,1.011744,F,Control,7
Ore,0.997462,7,1.006556,F,Control,7
375,0.999144,13,1.010862,F,Control,7
375,0.99223,13,1.00381,F,Control,7
375,1.003028,12,1.013274,F,Control,7
25A,0.958254,12,0.967078,M,Control,7
25A,0.96771,12,0.97664,M,Control,7
25A,0.966196,13,0.975654,M,Control,7
25B,0.95894,12,0.967548,M,Control,7
25B,0.958806,12,0.96713,M,Control,7
25B,0.985822,12,0.994088,M,Control,7
39A,0.951736,12,0.959838,M,Control,7
39A,0.968378,11,0.976062,M,Control,7
39A,0.958978,11,0.966408,M,Control,7
39B,0.95929,13,0.969438,M,Control,7
39B,0.952826,12,0.961706,M,Control,7
39B,0.950568,12,0.959926,M,Control,7
35A,0.947806,14,0.958336,M,Control,7
35A,0.978544,13,0.988598,M,Control,7
35A,0.96811,13,0.97829,M,Control,7
35B,0.959952,12,0.96947,M,Control,7
35B,0.971572,12,0.981008,M,Control,7
