Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
9A,1.002236,12,1.014324,F,Control,6
9A,0.999344,12,1.010772,F,Control,6
9A,1.002876,12,1.015292,F,Control,6
9B,1.000762,11,1.012632,F,Control,6
9B,1.000786,11,1.01246,F,Control,6
9B,0.99896,11,1.010562,F,Control,6
23A,0.997056,11,1.00946,F,Control,6
23A,1.002598,11,1.014868,F,Control,6
23A,0.994394,11,1.006276,F,Control,6
23B,0.99551,10,1.005766,F,Control,6
23B,0.998672,9,1.008074,F,Control,6
23B,0.999226,9,1.007628,F,Control,6
18A,0.99721,9,1.006732,F,Control,6
18A,0.99692,8,1.005376,F,Control,6
18A,1.001398,8,1.010146,F,Control,6
18B,0.996942,11,1.008612,F,Control,6
18B,0.993432,11,1.004936,F,Control,6
18B,0.998898,11,1.010654,F,Control,6
33A,0.999084,13,1.012264,F,Control,6
33A,1.003074,13,1.01703,F,Control,6
33A,0.998038,13,1.011804,F,Control,6
33B,0.994342,14,1.009196,F,Control,6
33B,0.997266,13,1.011092,F,Control,6
33B,0.993522,13,1.007634,F,Control,6
41A,0.991932,13,1.006134,F,Control,6
41A,0.99732,13,1.010992,F,Control,6
41A,0.994376,13,1.008504,F,Control,6
42A,0.996958,13,1.011072,F,Control,6
42A,1.002952,12,1.016644,F,Control,6
42A,1.002424,12,1.014938,F,Control,6
45A,1.002814,14,1.01881,F,Control,6
45A,0.998024,13,1.01127,F,Control,6
45A,1.003024,13,1.016672,F,Control,6
46A,0.993412,10,1.003544,F,Control,6
46A,1.00275,9,1.012008,F,Control,6
46A,0.997136,9,1.00636,F,Control,6
Ore,0.99349,13,1.00825,F,Control,6
Ore,0.991978,13,1.005698,F,Control,6
Ore,0.996874,12,1.010268,F,Control,6
375,0.99746,13,1.011548,F,Control,6
375,1.000572,13,1.012492,F,Control,6
375,0.99694,13,1.00914,F,Control,6
8A,0.993582,11,1.006408,F,Control,6
8A,1.002492,11,1.015022,F,Control,6
8A,0.993534,10,1.004572,F,Control,6
28B,0.99199,10,1.004666,F,Control,6
28B,0.99426,10,1.005338,F,Control,6
28B,1.007036,10,1.01834,F,Control,6
9A,0.956388,12,0.96469,M,Control,6
9A,0.950888,12,0.959322,M,Control,6
9A,0.966042,12,0.973946,M,Control,6
9B,0.966288,13,0.974716,M,Control,6
9B,0.978906,13,0.98806,M,Control,6
9B,0.967548,12,0.976332,M,Control,6
23A,0.971134,12,0.979394,M,Control,6
23A,0.970944,11,0.97808,M,Control,6
23A,0.958906,11,0.966018,M,Control,6
23B,0.966118,12,0.973268,M,Control,6
23B,0.986128,13,0.995072,M,Control,6
23B,0.970936,13,0.97996,M,Control,6
18A,0.950612,11,0.95761,M,Control,6
18A,0.958514,11,0.965976,M,Control,6
18A,0.968724,11,0.976152,M,Control,6
18B,0.959344,12,0.967154,M,Control,6
18B,0.958834,13,0.966934,M,Control,6
18B,0.950976,13,0.959648,M,Control,6
33A,0.95917,11,0.96641,M,Control,6
33A,0.965976,11,0.973276,M,Control,6
33A,0.963338,10,0.970412,M,Control,6
33B,0.947788,11,0.955818,M,Control,6
33B,0.9589,11,0.966348,M,Control,6
33B,0.966466,11,0.974444,M,Control,6
41A,0.952362,9,0.958888,M,Control,6
41A,0.964194,10,0.971234,M,Control,6
41A,0.959068,10,0.966588,M,Control,6
42A,0.97746,14,0.988352,M,Control,6
42A,0.968138,13,0.977762,M,Control,6
42A,0.96839,13,0.978072,M,Control,6
45A,0.971636,14,0.980954,M,Control,6
45A,0.959174,13,0.968278,M,Control,6
45A,0.958918,13,0.966878,M,Control,6
46A,0.966232,13,0.974706,M,Control,6
46A,0.97127,12,0.978966,M,Control,6
46A,0.968958,12,0.977026,M,Control,6
Ore,0.966078,12,0.97446,M,Control,6
Ore,0.953678,12,0.962806,M,Control,6
Ore,0.968898,12,0.977686,M,Control,6
375,0.96699,13,0.97483,M,Control,6
375,0.959694,12,0.967732,M,Control,6
375,0.970506,12,0.977886,M,Control,6
8A,0.959242,13,0.968758,M,Control,6
8A,0.96807,13,0.97833,M,Control,6
8A,0.986454,13,0.996994,M,Control,6
28B,0.97127,14,0.981578,M,Control,6
28B,0.947556,14,0.957416,M,Control,6
28B,0.96398,12,0.97393,M,Control,6
9A,1.020532,10,1.031874,F,Rotenone,6
9A,1.010658,9,1.021172,F,Rotenone,6
9A,1.012006,9,1.022148,F,Rotenone,6
9B,1.01847,10,1.03003,F,Rotenone,6
9B,1.026432,9,1.037334,F,Rotenone,6
9B,1.027384,9,1.037534,F,Rotenone,6
23A,1.026146,14,1.041396,F,Rotenone,6
23A,1.039554,13,1.053916,F,Rotenone,6
23A,1.02495,13,1.038666,F,Rotenone,6
23B,1.020944,7,1.029066,F,Rotenone,6
23B,1.020744,7,1.02889,F,Rotenone,6
23B,1.030736,6,1.03808,F,Rotenone,6
18A,1.030908,7,1.037458,F,Rotenone,6
18A,1.016684,6,1.02206,F,Rotenone,6
18A,1.015572,6,1.021236,F,Rotenone,6
18B,1.011538,11,1.023746,F,Rotenone,6
18B,1.02336,11,1.035572,F,Rotenone,6
18B,1.020464,11,1.033336,F,Rotenone,6
33A,1.02398,13,1.036738,F,Rotenone,6
33A,1.026536,13,1.039096,F,Rotenone,6
33A,1.027484,12,1.040146,F,Rotenone,6
33B,1.020926,7,1.029674,F,Rotenone,6
33B,1.014842,7,1.0226,F,Rotenone,6
33B,1.01874,6,1.024684,F,Rotenone,6
41A,1.027674,11,1.040132,F,Rotenone,6
41A,1.023226,11,1.036244,F,Rotenone,6
41A,1.02257,11,1.034892,F,Rotenone,6
42A,1.022854,11,1.036342,F,Rotenone,6
42A,1.000702,11,1.013702,F,Rotenone,6
42A,1.030418,11,1.043404,F,Rotenone,6
45A,1.024168,9,1.033388,F,Rotenone,6
45A,1.019164,9,1.02884,F,Rotenone,6
45A,1.025362,8,1.033602,F,Rotenone,6
46A,1.004312,8,1.012894,F,Rotenone,6
46A,1.011058,8,1.01976,F,Rotenone,6
46A,1.030452,8,1.0386,F,Rotenone,6
Ore,1.015022,15,1.03227,F,Rotenone,6
Ore,1.00419,14,1.019678,F,Rotenone,6
Ore,1.022786,14,1.043332,F,Rotenone,6
375,1.022038,14,1.03425,F,Rotenone,6
