Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set
Ore,1.000928,13,1.017328,F,Control,1
1B,1.014642,15,1.08066,M,Rotenone,1
10A,1.039824,17,1.057162,F,Rotenone,1
41B,1.039576,13,1.052666,F,Rotenone,1
46A,1.031494,19,1.051274,F,Rotenone,1
10B,1.028084,19,1.050863,F,Rotenone,1
42A,1.0118,19,1.050486,M,Rotenone,1
42A,1.030178,17,1.049668,F,Rotenone,1
10B,1.026606,18,1.049181,F,Rotenone,1
20B,1.011828,12,1.0484,M,Rotenone,1
45A,1.030954,17,1.047882,F,Rotenone,1
46A,1.026828,19,1.04752,F,Rotenone,1
2B,1.031012,13,1.04717,F,Rotenone,1
Ore,1.030464,15,1.045782,M,Rotenone,1
30B,1.024122,19,1.044074,F,Rotenone,1
30A,1.025188,18,1.04388,F,Rotenone,1
46B,1.02339,20,1.043108,F,Rotenone,1
45B,1.0269,16,1.042778,F,Rotenone,1
45B,1.018472,20,1.041832,F,Rotenone,1
375,1.02367,16,1.041832,F,Rotenone,1
29A,1.022558,19,1.040834,F,Rotenone,1
11A,1.023868,14,1.040044,F,Rotenone,1
2B,1.019436,16,1.039314,F,Rotenone,1
46A,1.020596,20,1.038648,M,Rotenone,1
10A,1.0243,12,1.038568,F,Rotenone,1
30B,1.017342,20,1.037918,F,Rotenone,1
46B,1.021252,17,1.037664,F,Rotenone,1
29B,1.015298,19,1.037228,F,Rotenone,1
11A,1.017842,16,1.036316,F,Rotenone,1
Ore,1.0155,4,1.036312,F,Rotenone,1
20A,1.021102,13,1.036084,F,Rotenone,1
30A,1.017532,18,1.035986,F,Rotenone,1
46A,1.02264,26,1.035074,M,Rotenone,1
46B,1.011524,21,1.035032,M,Rotenone,1
2A,1.023526,10,1.034748,F,Rotenone,1
42B,1.017472,19,1.034276,M,Rotenone,1
19B,1.023692,7,1.033982,F,Rotenone,1
29B,1.015306,18,1.033922,F,Rotenone,1
19A,1.018802,12,1.033086,F,Rotenone,1
41A,1.015482,16,1.033034,F,Rotenone,1
41A,1.02051,11,1.032682,F,Rotenone,1
45B,1.02644,20,1.031788,M,Rotenone,1
29A,1.013158,15,1.03171,F,Rotenone,1
42B,1.018023,12,1.031662,F,Rotenone,1
20A,1.021344,8,1.031176,F,Rotenone,1
375,1.02166,14,1.031174,M,Rotenone,1
20B,1.021184,18,1.029958,F,Rotenone,1
45A,1.012528,17,1.02962,F,Rotenone,1
1A,1.022984,5,1.02921,F,Rotenone,1
45A,1.030508,19,1.028888,M,Rotenone,1
42A,1.029642,19,1.028758,M,Rotenone,1
2A,1.017512,9,1.028642,F,Rotenone,1
20A,1.020936,20,1.028216,M,Rotenone,1
10A,1.007428,18,1.027946,F,Control,1
46B,1.011828,20,1.027874,M,Rotenone,1
1B,1.015206,9,1.026522,F,Rotenone,1
42A,1.012322,12,1.02619,F,Rotenone,1
45B,1.026166,16,1.026082,M,Rotenone,1
1B,1.01198,10,1.025972,F,Rotenone,1
45A,1.011892,17,1.025802,M,Rotenone,1
19B,1.01734,8,1.025638,F,Rotenone,1
2B,1.023744,20,1.025058,M,Rotenone,1
20B,1.012162,10,1.024428,F,Rotenone,1
375,1.004502,18,1.02441,F,Rotenone,1
11B,1.004712,18,1.023608,F,Rotenone,1
375,1.018049,17,1.02331,M,Rotenone,1
19A,1.016776,5,1.022814,F,Rotenone,1
1A,1.02254,16,1.022668,M,Rotenone,1
19B,1.00145,18,1.022402,F,Control,1
30B,1.016944,20,1.022024,M,Rotenone,1
41B,1.004328,20,1.021898,M,Rotenone,1
42B,1.004602,17,1.02178,M,Rotenone,1
29B,1.002286,17,1.021634,F,Control,1
29A,1.001306,19,1.021572,F,Control,1
42A,1.002798,14,1.021196,F,Control,1
11A,1.02355,18,1.021184,M,Rotenone,1
29A,1.001438,16,1.021168,F,Control,1
45B,1.00267,18,1.02086,F,Control,1
375,1.002418,18,1.020748,F,Control,1
46B,0.998892,20,1.020472,F,Control,1
42B,1.00509,14,1.020424,F,Rotenone,1
20B,1.001362,18,1.020336,F,Control,1
10B,1.026174,11,1.020146,M,Rotenone,1
1B,1.011592,24,1.02009,M,Rotenone,1
11A,0.998878,17,1.019776,F,Control,1
